State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Soil_pH,Year,Yield_kg_per_acre
Haryana,Coffee,Clay,Compost,54,84,71,125,34.63,6.37,2011,3363
Madhya Pradesh,Maize,Loamy,NPK,26,72,30,102,36.14,7.48,2010,2688
Haryana,Sugarcane,Red Soil,DAP,70,24,74,295,34.73,7.36,2019,794
Uttar Pradesh,Pulses,Red Soil,Urea,70,41,122,219,27.5,7.24,2022,1080
Punjab,Soybean,Black,Compost,118,113,150,135,24.91,8.0,2016,2064
Haryana,Jute,Loamy,DAP,57,106,122,81,31.83,7.86,2011,1539
Odisha,Coffee,Black,NPK,35,115,138,62,36.35,7.86,2017,3742
Uttar Pradesh,Cotton,Sandy,DAP,94,52,37,97,20.18,6.86,2009,2091
Odisha,Tea,Sandy,Compost,56,99,150,117,25.63,6.8,2008,916
Haryana,Barley,Black,DAP,103,36,197,152,25.5,7.67,2007,1634
Odisha,Barley,Black,Urea,46,31,39,93,28.98,7.53,2009,2048
Kerala,Cotton,Black,Urea,102,34,85,214,37.67,6.51,2008,1596
Odisha,Cotton,Sandy,Compost,128,27,185,174,18.44,6.29,2009,4587
Tamil Nadu,Barley,Red Soil,Urea,46,45,188,89,24.83,6.53,2012,1965
Tamil Nadu,Sugarcane,Red Soil,Compost,71,48,191,79,24.98,7.13,2000,869
Madhya Pradesh,Groundnut,Loamy,Organic,106,16,167,76,22.83,7.12,2008,1532
Karnataka,Jute,Sandy,Urea,135,16,142,192,21.91,6.34,2023,4626
Kerala,Maize,Sandy,NPK,68,78,123,98,37.4,7.67,2008,2729
Gujarat,Cotton,Clay,Urea,75,8,83,54,24.59,7.37,2014,2524
Karnataka,Coffee,Loamy,DAP,63,23,71,214,33.38,5.83,2005,2076
Gujarat,Coffee,Clay,Urea,60,16,13,188,33.69,5.91,2008,2557
West Bengal,Soybean,Clay,DAP,73,43,127,164,30.7,6.28,2005,1451
Odisha,Cotton,Black,Compost,53,6,111,56,22.81,6.2,2023,3571
Karnataka,Sugarcane,Black,Compost,47,109,88,69,37.65,5.68,2022,875
Punjab,Groundnut,Red Soil,Compost,37,38,177,142,24.21,7.06,2015,1463
Kerala,Tea,Red Soil,Urea,112,89,112,140,32.94,7.25,2014,1979
West Bengal,Cotton,Black,Compost,136,113,193,227,19.96,7.5,2024,1344
Madhya Pradesh,Wheat,Loamy,DAP,67,72,138,278,32.35,6.69,2019,1093
Punjab,Barley,Clay,NPK,84,96,57,122,22.23,6.08,2002,2163
Bihar,Wheat,Loamy,Organic,10,55,88,68,34.7,6.73,2010,2912
Haryana,Tea,Loamy,Organic,36,105,188,201,29.32,7.91,2024,2217
Bihar,Sugarcane,Sandy,Compost,93,13,97,77,27.16,5.51,2003,61277
Rajasthan,Cotton,Sandy,Organic,64,76,93,150,23.92,5.6,2005,1376
Haryana,Wheat,Clay,NPK,43,110,39,273,35.36,7.12,2019,3820
Punjab,Sugarcane,Loamy,DAP,25,69,11,208,29.55,6.99,2013,5835
Tamil Nadu,Barley,Clay,Organic,20,28,80,258,19.38,6.1,2005,728
Uttar Pradesh,Rice,Black,NPK,120,20,31,158,24.42,7.51,2023,4917
Madhya Pradesh,Pulses,Clay,Urea,99,28,85,167,37.32,6.32,2004,8213
Maharashtra,Groundnut,Black,DAP,44,114,188,116,24.15,7.68,2015,2580
Tamil Nadu,Soybean,Red Soil,Urea,24,93,181,254,19.47,6.51,2012,631
Madhya Pradesh,Jute,Loamy,Organic,113,117,50,154,27.3,7.87,2006,2179
Maharashtra,Pulses,Red Soil,NPK,48,12,61,240,30.88,6.58,2023,680
Maharashtra,Soybean,Loamy,Urea,60,15,165,299,28.96,5.81,2017,1164
Andhra Pradesh,Pulses,Black,Urea,109,110,137,279,30.84,6.55,2023,3392
Madhya Pradesh,Rice,Loamy,Compost,102,113,33,269,21.38,7.87,2023,1413
Odisha,Coffee,Sandy,Organic,113,102,93,269,33.84,5.62,2004,2633
Andhra Pradesh,Soybean,Black,Urea,95,112,176,244,24.3,6.03,2000,1518
Madhya Pradesh,Cotton,Black,Urea,33,82,111,78,22.74,7.44,2003,1961
Haryana,Maize,Red Soil,Organic,104,52,103,180,31.24,5.97,2004,1494
Tamil Nadu,Pulses,Sandy,NPK,60,7,163,257,35.67,7.07,2017,1145
Karnataka,Jute,Black,Urea,17,40,107,208,28.81,6.16,2006,1350
Kerala,Pulses,Clay,Organic,138,88,155,204,23.69,6.51,2008,1091
Andhra Pradesh,Wheat,Loamy,NPK,64,13,13,115,30.46,7.92,2015,2019
Bihar,Maize,Sandy,DAP,41,37,165,264,37.23,7.7,2013,2961
West Bengal,Jute,Sandy,NPK,138,55,47,65,33.6,6.95,2021,1148
Odisha,Cotton,Clay,Urea,51,80,171,229,25.82,7.19,2006,1729
Bihar,Tea,Black,NPK,73,33,64,91,33.66,5.71,2016,2708
Madhya Pradesh,Tea,Red Soil,Organic,90,16,37,58,31.96,7.55,2015,1519
West Bengal,Pulses,Loamy,Compost,126,103,198,170,34.21,7.79,2016,2267
Karnataka,Coffee,Clay,NPK,101,46,96,131,21.97,6.38,2004,81895
Bihar,Rice,Red Soil,Organic,17,107,33,138,36.82,6.85,2012,1578
Andhra Pradesh,Sugarcane,Black,Urea,29,13,83,145,33.03,7.24,2000,2016
Maharashtra,Groundnut,Red Soil,Organic,104,102,101,236,37.91,7.83,2011,2220
Bihar,Groundnut,Sandy,Urea,81,24,100,89,34.48,7.72,2018,3267
Tamil Nadu,Barley,Sandy,DAP,66,5,79,120,24.78,7.94,2002,1283
Odisha,Tea,Black,Organic,69,111,109,163,25.88,7.64,2006,3072
Tamil Nadu,Sugarcane,Sandy,NPK,17,42,135,239,23.41,6.98,2005,2661
West Bengal,Coffee,Clay,Urea,63,103,60,168,22.28,6.57,2022,1897
Gujarat,Wheat,Loamy,Organic,38,94,50,52,24.86,5.64,2018,3032
Karnataka,Groundnut,Red Soil,Compost,54,18,72,55,28.67,5.55,2019,1825
Odisha,Sugarcane,Red Soil,Urea,52,52,165,65,34.69,6.88,2001,1735
Odisha,Soybean,Clay,Organic,138,94,155,231,18.73,6.39,2004,1142
Tamil Nadu,Sugarcane,Clay,NPK,120,112,21,283,24.47,7.6,2008,1846
Karnataka,Cotton,Black,Compost,76,55,63,299,23.84,7.87,2020,2203
Uttar Pradesh,Jute,Loamy,DAP,112,110,88,227,19.93,7.37,2012,6847
Madhya Pradesh,Soybean,Sandy,Organic,45,103,35,287,37.89,7.35,2022,1213
Bihar,Barley,Red Soil,Organic,26,119,25,64,29.11,7.41,2007,2915
Punjab,Wheat,Black,Compost,108,71,51,144,37.09,7.3,2018,3936
Bihar,Wheat,Clay,Compost,79,20,125,169,30.51,5.52,2012,1284
Uttar Pradesh,Barley,Loamy,Compost,19,86,117,231,22.7,5.66,2020,3543
Odisha,Tea,Black,DAP,74,39,70,223,25.0,7.21,2022,886
Andhra Pradesh,Tea,Loamy,Urea,13,97,63,197,32.9,5.63,2011,3149
Kerala,Jute,Clay,DAP,20,62,96,285,31.8,6.91,2015,2817
Uttar Pradesh,Rice,Sandy,NPK,106,18,100,77,21.58,6.54,2000,1144
Andhra Pradesh,Barley,Loamy,NPK,46,14,78,189,26.01,6.28,2023,2156
Punjab,Sugarcane,Red Soil,NPK,98,114,88,61,23.58,7.45,2002,3488
Tamil Nadu,Maize,Red Soil,Organic,71,35,174,110,29.57,7.78,2020,2773
Madhya Pradesh,Rice,Red Soil,Compost,120,97,127,108,32.29,5.98,2008,1236
Maharashtra,Barley,Clay,Compost,64,85,186,194,22.8,5.72,2010,1137
Maharashtra,Rice,Black,DAP,137,23,148,292,32.69,6.51,2005,2235
Gujarat,Pulses,Clay,DAP,72,35,31,265,23.96,6.32,2015,2091
Punjab,Sugarcane,Clay,NPK,63,104,175,193,18.02,5.73,2014,1432
Gujarat,Groundnut,Loamy,Urea,88,32,127,111,20.93,5.51,2002,1541
Punjab,Maize,Loamy,Organic,14,96,19,257,35.39,7.15,2004,2538
Andhra Pradesh,Sugarcane,Clay,DAP,68,8,34,200,28.09,5.9,2020,2822
Uttar Pradesh,Maize,Clay,Urea,128,58,155,96,30.52,7.83,2008,1126
Gujarat,Groundnut,Sandy,NPK,20,5,199,263,30.01,6.46,2009,1561
Uttar Pradesh,Pulses,Clay,DAP,18,77,174,92,20.3,7.41,2014,1903
Andhra Pradesh,Barley,Red Soil,Compost,139,19,141,150,30.76,7.19,2018,1061
Bihar,Maize,Clay,DAP,107,20,188,143,29.67,6.34,2010,3016
Rajasthan,Cotton,Black,Organic,81,82,182,179,35.02,7.65,2007,1195
Madhya Pradesh,Cotton,Sandy,Urea,13,86,72,122,32.41,6.88,2010,1697
Punjab,Maize,Loamy,Organic,80,99,161,288,31.64,7.79,2020,1487
Gujarat,Pulses,Clay,Organic,59,62,30,245,24.05,6.16,2002,869
Madhya Pradesh,Groundnut,Clay,Organic,101,42,32,85,20.79,6.65,2006,2568
Bihar,Pulses,Black,DAP,50,106,147,221,31.58,6.73,2020,3510
Karnataka,Coffee,Clay,NPK,61,51,179,281,33.13,7.58,2024,1436
Andhra Pradesh,Coffee,Clay,Compost,123,48,21,136,37.01,6.4,2003,3579
Kerala,Jute,Clay,Compost,99,40,30,258,35.56,6.7,2012,1986
Rajasthan,Soybean,Sandy,NPK,136,101,143,62,29.94,5.75,2010,1426
Punjab,Tea,Sandy,Organic,106,93,90,249,25.87,6.4,2022,2977
Gujarat,Rice,Black,Organic,94,64,142,86,18.08,7.82,2001,3388
Rajasthan,Maize,Sandy,Urea,133,53,84,195,35.47,7.89,2019,64159
Karnataka,Barley,Loamy,DAP,106,90,165,132,25.55,5.92,2013,1647
Odisha,Jute,Clay,DAP,51,69,17,183,33.39,6.19,2012,4626
Maharashtra,Jute,Clay,Urea,117,104,80,59,21.91,6.49,2008,732
West Bengal,Rice,Loamy,Organic,51,20,132,242,35.16,5.89,2010,2474
Odisha,Coffee,Red Soil,Organic,38,98,109,111,24.11,5.94,2023,2069
Kerala,Soybean,Black,Compost,45,87,88,241,27.43,7.54,2007,1459
Bihar,Wheat,Sandy,Compost,90,72,30,153,18.0,7.19,2024,1758
Haryana,Barley,Clay,NPK,60,114,118,277,24.31,7.78,2012,3632
Haryana,Coffee,Red Soil,Urea,76,7,167,297,37.66,7.36,2023,71839
Bihar,Sugarcane,Loamy,DAP,29,52,125,179,22.22,6.29,2009,1579
Karnataka,Tea,Loamy,NPK,129,20,63,253,28.11,6.72,2000,2260
West Bengal,Sugarcane,Clay,Compost,72,13,11,125,18.12,7.92,2015,3324
Odisha,Soybean,Black,Urea,31,98,170,74,33.67,5.64,2017,2398
Punjab,Barley,Black,Urea,132,5,116,134,21.38,6.4,2004,2499
Odisha,Cotton,Black,NPK,22,17,74,271,25.92,7.74,2006,3381
Maharashtra,Tea,Sandy,NPK,55,25,107,110,20.49,7.55,2008,6656
Odisha,Rice,Red Soil,Organic,69,8,188,97,26.1,7.94,2019,1792
Kerala,Maize,Red Soil,NPK,124,84,188,261,29.76,7.68,2003,2612
Odisha,Jute,Black,Urea,101,102,73,291,29.48,6.4,2005,61879
Karnataka,Groundnut,Sandy,DAP,84,46,28,171,30.38,7.39,2014,1745
Bihar,Wheat,Sandy,NPK,38,51,56,282,19.93,7.63,2008,2283
Odisha,Rice,Sandy,NPK,122,51,170,198,24.82,6.66,2000,1021
Punjab,Rice,Clay,Urea,41,6,79,201,18.44,7.09,2017,3724
Bihar,Coffee,Loamy,Compost,126,73,178,161,26.51,6.36,2007,2102
Uttar Pradesh,Tea,Red Soil,NPK,48,7,91,194,21.68,6.13,2004,2618
Madhya Pradesh,Cotton,Sandy,Organic,97,79,161,103,32.58,7.06,2015,2269
Tamil Nadu,Soybean,Black,Organic,24,34,72,164,37.75,6.22,2002,920
Odisha,Groundnut,Clay,Organic,95,22,118,212,18.99,6.59,2017,2877
Bihar,Rice,Red Soil,NPK,98,13,176,107,29.28,5.69,2020,4270
Bihar,Jute,Sandy,DAP,15,96,19,269,19.73,6.13,2013,1798
Tamil Nadu,Sugarcane,Black,Urea,10,8,181,85,26.59,6.16,2012,1295
Karnataka,Groundnut,Black,DAP,70,20,178,174,35.81,7.64,2007,2899
Tamil Nadu,Cotton,Loamy,Urea,118,79,130,86,33.27,6.99,2021,3913
West Bengal,Groundnut,Black,Urea,85,7,110,61,23.95,6.3,2009,686
Punjab,Tea,Loamy,Compost,60,23,79,299,32.97,6.17,2021,2043
Odisha,Sugarcane,Red Soil,Urea,81,71,17,165,23.58,6.8,2024,2048
Gujarat,Barley,Black,Compost,16,68,56,161,22.12,5.79,2004,966
Odisha,Coffee,Red Soil,DAP,125,20,92,266,30.02,6.12,2024,1313
Gujarat,Wheat,Red Soil,Urea,14,90,155,89,23.09,5.82,2017,2572
Madhya Pradesh,Barley,Black,Urea,71,114,131,187,19.7,5.76,2021,4921
Gujarat,Cotton,Red Soil,NPK,26,106,197,241,29.08,6.38,2004,919
Andhra Pradesh,Wheat,Clay,NPK,42,116,82,271,29.31,7.07,2006,2194
Maharashtra,Sugarcane,Clay,DAP,89,40,156,176,29.1,7.1,2006,2494
Maharashtra,Tea,Black,Organic,95,64,132,138,35.95,5.83,2013,1059
West Bengal,Rice,Sandy,Compost,88,17,164,130,28.18,5.55,2002,2617
Kerala,Groundnut,Black,Urea,118,86,109,114,36.45,6.31,2013,2870
Gujarat,Barley,Clay,Compost,33,24,140,176,23.57,6.09,2017,3232
West Bengal,Sugarcane,Sandy,Organic,28,103,102,142,30.51,6.75,2020,1340
Tamil Nadu,Pulses,Loamy,Organic,56,24,164,168,20.82,7.95,2020,4584
Maharashtra,Cotton,Sandy,Urea,92,19,35,267,19.09,7.27,2007,2734
Bihar,Barley,Sandy,Compost,77,6,117,280,32.77,7.15,2024,3322
Andhra Pradesh,Rice,Loamy,Urea,38,8,150,140,31.27,7.06,2024,2864
Odisha,Groundnut,Black,NPK,105,90,132,71,21.85,5.78,2006,1174
Rajasthan,Cotton,Clay,Compost,137,35,199,60,27.43,5.54,2008,722
Haryana,Pulses,Sandy,DAP,70,32,56,112,22.49,7.42,2006,863
Odisha,Soybean,Loamy,Urea,13,90,18,236,21.31,5.63,2006,2769
West Bengal,Rice,Sandy,Compost,82,15,54,244,23.27,7.19,2013,1166
Andhra Pradesh,Groundnut,Sandy,Organic,22,11,170,298,31.45,6.74,2012,1136
Haryana,Jute,Sandy,Organic,23,99,120,262,20.79,7.47,2012,1360
Odisha,Wheat,Black,Organic,133,12,166,120,31.83,6.96,2001,3322
Gujarat,Cotton,Red Soil,DAP,73,26,55,177,37.84,6.75,2017,1630
Madhya Pradesh,Maize,Loamy,Compost,85,74,45,269,28.55,8.0,2024,1518
Madhya Pradesh,Soybean,Loamy,DAP,112,110,196,86,21.64,7.64,2002,1485
Bihar,Groundnut,Sandy,Compost,33,113,74,294,29.13,5.62,2009,1624
West Bengal,Rice,Black,Organic,24,34,182,264,29.43,5.55,2021,1499
Tamil Nadu,Wheat,Black,Urea,104,105,191,92,21.84,7.92,2012,1202
Uttar Pradesh,Jute,Loamy,DAP,93,25,116,197,31.74,6.0,2024,2690
Haryana,Jute,Black,Urea,125,76,182,68,21.54,5.64,2021,1818
Uttar Pradesh,Soybean,Black,Organic,13,45,94,284,19.61,6.25,2008,1281
Karnataka,Sugarcane,Red Soil,DAP,63,30,196,112,35.96,7.49,2017,2877
West Bengal,Cotton,Red Soil,Urea,37,55,28,131,26.18,6.59,2012,917
Uttar Pradesh,Coffee,Red Soil,NPK,99,37,75,122,26.4,5.87,2024,3990
Karnataka,Jute,Clay,NPK,30,88,57,161,28.71,7.5,2017,847
Kerala,Barley,Black,NPK,137,60,166,159,21.73,6.27,2005,4142
West Bengal,Coffee,Red Soil,NPK,54,101,92,250,36.2,7.65,2015,5649
Gujarat,Jute,Black,Organic,95,106,26,188,37.65,5.68,2023,830
Kerala,Sugarcane,Clay,Organic,135,113,82,95,29.55,7.54,2024,1802
Gujarat,Groundnut,Clay,NPK,41,74,181,62,18.8,6.95,2018,1831
Tamil Nadu,Cotton,Sandy,Urea,97,80,100,179,20.62,6.57,2018,5184
West Bengal,Groundnut,Red Soil,Compost,101,107,130,150,33.0,7.69,2024,3657
Bihar,Soybean,Clay,Organic,76,74,178,165,32.99,6.37,2001,1107
Punjab,Sugarcane,Loamy,Organic,103,48,57,286,25.54,6.92,2008,4397
Karnataka,Sugarcane,Loamy,NPK,52,34,117,246,26.8,7.54,2000,1471
Kerala,Rice,Clay,NPK,65,55,171,148,25.26,5.63,2005,794
Karnataka,Cotton,Sandy,NPK,32,102,154,159,20.66,7.77,2003,1686
Rajasthan,Tea,Red Soil,DAP,13,56,75,190,20.96,7.73,2002,1727
Odisha,Pulses,Black,Organic,59,25,52,254,24.65,6.63,2014,803
Karnataka,Rice,Loamy,Organic,78,92,33,139,20.75,5.55,2021,1079
Maharashtra,Pulses,Black,Urea,63,29,97,126,28.3,6.83,2000,2244
Tamil Nadu,Wheat,Black,NPK,38,52,142,201,24.56,6.46,2000,3953
Uttar Pradesh,Coffee,Black,Urea,56,54,171,169,30.31,7.68,2012,6753
Punjab,Groundnut,Sandy,Urea,102,112,163,188,20.48,7.46,2003,3577
West Bengal,Coffee,Loamy,Compost,23,58,37,160,37.53,7.26,2003,3174
Uttar Pradesh,Sugarcane,Loamy,Organic,139,53,97,214,30.27,6.56,2023,3238
Odisha,Coffee,Red Soil,Organic,36,85,57,225,37.53,6.88,2022,1996
Kerala,Tea,Sandy,NPK,12,12,80,236,34.33,7.65,2007,931
Maharashtra,Coffee,Clay,Compost,49,108,115,227,36.18,7.31,2021,3213
Odisha,Sugarcane,Black,Organic,128,51,56,280,22.83,6.5,2022,2899
Uttar Pradesh,Tea,Black,Urea,14,20,107,270,22.94,6.81,2007,2986
Maharashtra,Jute,Clay,NPK,112,14,74,232,34.18,7.15,2017,28970
Madhya Pradesh,Pulses,Black,Compost,69,39,135,174,21.24,7.78,2014,843
Odisha,Groundnut,Loamy,Urea,38,60,65,294,27.17,7.48,2003,4000
Tamil Nadu,Groundnut,Clay,NPK,139,33,84,50,24.75,6.98,2024,1395
Odisha,Rice,Loamy,Compost,137,14,120,289,24.44,7.32,2017,724
Bihar,Maize,Clay,Organic,25,68,106,66,28.93,7.52,2009,2969
Kerala,Cotton,Red Soil,Organic,129,35,25,296,29.95,7.45,2023,1417
Karnataka,Rice,Black,Urea,16,25,188,162,26.93,7.81,2022,3970
Rajasthan,Barley,Red Soil,Organic,134,5,191,243,37.49,5.96,2011,2127
Bihar,Barley,Black,DAP,131,19,17,207,22.37,6.65,2012,1649
Uttar Pradesh,Coffee,Sandy,Urea,87,95,33,136,34.24,6.82,2017,3225
Bihar,Groundnut,Sandy,DAP,15,36,123,143,22.65,7.39,2023,1500
Rajasthan,Barley,Loamy,NPK,22,99,54,155,31.23,5.51,2002,1575
Karnataka,Groundnut,Clay,Urea,21,19,43,232,19.45,6.47,2015,1751
Tamil Nadu,Pulses,Loamy,NPK,36,24,98,107,30.51,5.66,2000,3500
Gujarat,Maize,Clay,DAP,71,9,89,200,18.26,7.18,2024,1487
Madhya Pradesh,Soybean,Black,Compost,95,39,10,139,36.98,6.62,2002,3637
Madhya Pradesh,Jute,Red Soil,Organic,27,11,127,177,19.99,7.16,2017,2951
Bihar,Barley,Loamy,Compost,49,50,159,246,19.15,5.72,2010,1146
Tamil Nadu,Sugarcane,Sandy,Urea,98,74,191,208,22.1,6.9,2005,3089
Madhya Pradesh,Sugarcane,Loamy,DAP,108,48,79,182,19.09,6.99,2024,1413
Odisha,Rice,Clay,Compost,86,96,15,116,31.94,6.26,2002,1435
Odisha,Rice,Red Soil,Organic,102,58,197,137,32.62,7.56,2016,4223
Gujarat,Sugarcane,Red Soil,Compost,63,105,44,181,25.76,7.14,2013,2691
Madhya Pradesh,Soybean,Loamy,Compost,123,93,158,241,35.09,6.69,2000,2400
Uttar Pradesh,Maize,Sandy,Urea,122,28,167,185,23.05,5.86,2012,3323
Rajasthan,Wheat,Loamy,NPK,81,46,171,257,36.19,6.3,2020,1432
Uttar Pradesh,Soybean,Loamy,Compost,37,105,68,246,30.16,6.54,2016,1192
West Bengal,Jute,Clay,Urea,56,28,177,215,21.9,7.17,2016,3140
Rajasthan,Cotton,Black,Urea,107,84,93,243,25.74,7.52,2022,2201
Rajasthan,Cotton,Sandy,NPK,58,29,35,212,28.37,5.6,2003,4523
Uttar Pradesh,Pulses,Sandy,NPK,28,66,47,187,35.93,6.87,2015,818
Punjab,Tea,Red Soil,DAP,21,13,12,260,37.13,5.99,2016,1075
Gujarat,Tea,Loamy,NPK,23,32,130,283,36.8,7.97,2007,2352
Kerala,Sugarcane,Red Soil,Urea,26,17,14,52,29.73,7.54,2016,1895
Uttar Pradesh,Rice,Red Soil,Compost,112,116,188,211,32.02,5.59,2019,4381
Madhya Pradesh,Rice,Sandy,Urea,126,64,110,246,19.6,5.72,2023,1788
Andhra Pradesh,Sugarcane,Red Soil,Organic,111,76,148,157,21.38,7.07,2009,1060
Haryana,Barley,Black,Organic,93,65,95,137,30.78,5.6,2003,2123
Maharashtra,Cotton,Red Soil,Urea,60,114,120,215,34.06,6.03,2019,2289
Rajasthan,Cotton,Black,DAP,37,38,108,236,28.81,7.19,2017,783
Punjab,Pulses,Red Soil,Urea,135,72,54,174,32.6,7.11,2009,2147
Madhya Pradesh,Maize,Clay,DAP,55,8,68,186,19.11,6.53,2005,1766
Punjab,Groundnut,Loamy,Compost,134,74,173,264,37.55,6.98,2008,3049
West Bengal,Sugarcane,Red Soil,Organic,62,61,160,238,25.59,6.13,2012,1441
Madhya Pradesh,Groundnut,Loamy,Urea,88,16,114,262,25.84,7.3,2009,885
Madhya Pradesh,Maize,Sandy,Compost,101,17,107,53,32.02,7.83,2009,2523
Karnataka,Groundnut,Loamy,Organic,26,64,174,298,34.05,6.85,2017,3201
Tamil Nadu,Pulses,Loamy,DAP,11,43,67,198,29.01,5.99,2015,3195
Andhra Pradesh,Jute,Clay,Compost,71,96,125,119,20.11,5.92,2023,1681
Andhra Pradesh,Coffee,Sandy,DAP,131,51,175,286,36.83,5.54,2018,53257
Karnataka,Sugarcane,Loamy,Compost,62,23,77,286,18.12,7.21,2021,4461
Madhya Pradesh,Tea,Sandy,Organic,126,97,61,157,32.85,5.54,2010,1727
Karnataka,Barley,Clay,Organic,44,14,171,225,37.56,6.35,2023,1314
Kerala,Jute,Black,Organic,15,25,155,192,31.83,6.11,2012,3165
Haryana,Pulses,Black,Urea,26,87,36,181,26.34,8.0,2002,3634
Odisha,Groundnut,Red Soil,Urea,108,64,50,253,24.07,7.91,2006,2186
Kerala,Soybean,Loamy,Compost,82,15,132,283,18.49,7.0,2023,918
Karnataka,Coffee,Red Soil,Compost,13,110,13,197,24.31,6.11,2024,2132
Odisha,Maize,Loamy,DAP,21,10,62,144,20.7,7.43,2009,1743
Karnataka,Soybean,Loamy,DAP,56,41,51,120,31.06,6.82,2003,1839
Gujarat,Pulses,Loamy,DAP,83,70,92,111,33.65,6.03,2019,1511
Maharashtra,Wheat,Clay,Organic,41,68,94,170,35.96,7.56,2020,2249
Haryana,Jute,Red Soil,NPK,34,26,108,201,21.23,7.72,2016,1519
Punjab,Soybean,Clay,NPK,17,59,48,144,29.37,6.1,2001,1688
West Bengal,Groundnut,Sandy,Compost,101,59,166,217,21.08,6.84,2006,829
Madhya Pradesh,Jute,Black,Organic,20,66,195,284,37.55,6.19,2000,3859
Kerala,Jute,Black,Organic,24,74,11,113,29.87,5.96,2011,2774
Uttar Pradesh,Rice,Loamy,Compost,118,99,37,268,28.26,7.43,2017,2269
Odisha,Maize,Clay,Organic,96,63,186,251,26.87,7.5,2003,2801
Bihar,Jute,Sandy,Organic,43,68,87,62,29.18,6.53,2017,1142
Punjab,Cotton,Clay,Urea,134,85,159,264,30.4,6.07,2002,3464
Haryana,Cotton,Red Soil,NPK,51,85,122,51,37.39,7.22,2022,2563
Odisha,Sugarcane,Sandy,Compost,122,44,73,75,36.26,5.82,2016,1035
Maharashtra,Jute,Loamy,DAP,12,48,58,280,20.51,6.91,2017,3447
Bihar,Groundnut,Loamy,Compost,55,54,83,194,19.38,7.59,2013,3132
Odisha,Coffee,Sandy,Compost,59,21,27,87,21.66,5.7,2014,85516
Bihar,Soybean,Red Soil,Organic,58,74,131,227,27.78,7.44,2004,782
Maharashtra,Rice,Sandy,Organic,87,65,199,121,20.14,5.86,2018,2245
Uttar Pradesh,Jute,Loamy,Urea,10,12,165,267,19.9,7.59,2006,847
West Bengal,Soybean,Red Soil,Compost,137,106,89,178,19.63,7.96,2002,933
Tamil Nadu,Soybean,Sandy,NPK,57,15,77,69,25.09,6.59,2018,2280
Rajasthan,Barley,Red Soil,NPK,96,54,125,133,26.04,6.58,2016,2060
West Bengal,Soybean,Red Soil,Compost,16,116,16,246,19.99,6.84,2023,3201
Andhra Pradesh,Sugarcane,Clay,Organic,83,103,76,154,24.7,6.67,2008,2879
Rajasthan,Wheat,Red Soil,Urea,66,47,165,265,31.9,6.86,2002,4882
Tamil Nadu,Soybean,Black,Urea,136,85,124,159,19.72,6.4,2004,1353
Karnataka,Pulses,Red Soil,NPK,80,29,162,62,20.07,5.57,2018,1704
Uttar Pradesh,Cotton,Black,Urea,136,21,91,146,22.08,7.0,2017,2621
Punjab,Soybean,Red Soil,NPK,105,25,171,72,19.72,7.14,2005,1629
Karnataka,Sugarcane,Red Soil,DAP,133,36,180,192,34.78,7.17,2012,2021
Karnataka,Barley,Red Soil,Organic,123,94,62,144,28.08,6.83,2017,954
Uttar Pradesh,Rice,Red Soil,Organic,31,86,45,180,25.16,6.44,2000,1851
Rajasthan,Rice,Sandy,Compost,95,66,183,141,30.99,6.49,2002,2626
Uttar Pradesh,Soybean,Red Soil,Compost,12,86,48,185,24.64,7.48,2019,3707
Uttar Pradesh,Coffee,Loamy,NPK,95,36,154,190,26.21,6.31,2002,5678
Uttar Pradesh,Cotton,Loamy,Compost,17,91,147,149,32.08,7.55,2003,1700
Maharashtra,Jute,Sandy,Organic,139,34,156,75,28.93,7.85,2007,1898
Rajasthan,Sugarcane,Black,Organic,21,86,75,94,34.61,6.09,2015,1704
Gujarat,Coffee,Red Soil,NPK,20,57,93,233,22.78,5.92,2004,2523
Karnataka,Maize,Loamy,Compost,139,55,146,58,24.26,7.0,2008,735
Haryana,Jute,Clay,Urea,110,115,10,85,27.79,5.71,2013,1260
Haryana,Jute,Black,Organic,18,9,13,180,23.23,6.71,2018,3175
Tamil Nadu,Rice,Red Soil,Organic,105,73,46,297,25.92,6.92,2002,847
Rajasthan,Soybean,Black,DAP,73,114,122,161,31.28,6.99,2006,1490
Bihar,Soybean,Clay,NPK,119,108,146,81,24.24,6.91,2019,3529
Karnataka,Maize,Red Soil,Urea,121,22,140,212,30.98,7.08,2006,2198
Bihar,Jute,Sandy,NPK,115,57,142,200,24.96,6.16,2000,2831
Tamil Nadu,Soybean,Loamy,DAP,105,105,160,273,18.61,6.74,2018,1337
Madhya Pradesh,Jute,Red Soil,NPK,43,110,111,100,37.06,7.48,2007,4146
Odisha,Groundnut,Black,Urea,59,24,121,199,34.83,7.42,2022,855
Maharashtra,Cotton,Black,Organic,113,102,96,126,23.02,7.19,2015,3521
Punjab,Coffee,Sandy,Organic,48,103,110,248,26.25,5.91,2021,1666
Punjab,Soybean,Black,Organic,130,63,77,266,21.36,6.48,2004,1496
Bihar,Jute,Red Soil,Organic,108,26,38,57,25.56,6.11,2003,71416
West Bengal,Barley,Loamy,Urea,60,109,175,89,30.9,7.35,2016,1969
Gujarat,Cotton,Clay,Urea,108,62,119,72,23.64,7.56,2010,1311
Odisha,Cotton,Clay,Organic,14,59,177,197,31.87,7.57,2021,1314
