Crop,Rainfall_mm,Temperature_C,Fertilizer_Used,Irrigation_Used,Weather_Condition,Soil_Type,Region,Nitrogen,Phosphorus,Potassium,Soil_pH,Yield_kg_per_acre
Barley,837.9,32.1,0,0,Stormy,Sandy,North,51,59,78,5.9,1804.0
Sugarcane,822.9,38.0,1,1,Stormy,Silty,West,103,36,117,6.9,5428.9
Barley,1179.4,24.0,0,1,Rainy,Sandy,East,98,77,50,6.72,2324.0
Maize,668.4,28.0,0,0,Stormy,Silty,Central,106,25,65,6.45,2391.6
Sorghum,1418.1,22.5,1,1,Windy,Chalky,North,130,58,100,6.1,2125.8
Maize,496.4,37.2,0,1,Stormy,Silty,South,89,37,98,5.99,2538.7
Rice,1214.5,31.9,0,0,Windy,Chalky,East,62,92,87,6.73,2598.2
Barley,1061.8,22.1,1,1,Stormy,Clay,South,79,91,92,7.0,2595.1
Soybean,1623.0,14.4,1,0,Rainy,Clay,South,136,61,45,6.4,2761.5
Sorghum,563.6,33.2,0,1,Windy,Silty,West,117,23,35,6.73,1928.4
Cotton,199.8,23.6,1,0,Sunny,Silty,West,126,39,107,6.47,1622.8
Sugarcane,1274.8,32.1,0,0,Windy,Chalky,East,134,47,81,6.58,4708.7
Wheat,458.6,28.8,1,1,Rainy,Sandy,Central,116,59,31,6.34,2608.8
Soybean,1084.7,16.0,0,0,Windy,Chalky,East,115,84,118,6.51,1439.6
Soybean,1254.6,22.2,1,0,Stormy,Sandy,Central,138,63,106,8.5,1711.9
Maize,1013.9,24.9,0,1,Stormy,Clay,South,57,42,47,6.75,2940.3
Barley,969.7,22.9,1,1,Rainy,Loamy,North,60,76,110,7.02,2931.1
Sorghum,1020.3,27.7,1,0,Cloudy,Silty,East,40,66,105,6.85,2089.4
Sorghum,1151.2,29.4,1,1,Stormy,Sandy,East,77,32,64,6.29,2017.0
Rice,1076.1,37.7,1,0,Sunny,Chalky,Central,80,35,115,7.54,2844.6
Rice,535.0,29.8,1,0,Rainy,Clay,South,81,74,68,6.27,3012.8
Sugarcane,1447.5,35.9,1,1,Windy,Sandy,South,48,84,30,7.34,5159.0
Maize,915.3,24.1,1,1,Windy,Chalky,Central,62,35,66,6.23,3077.8
Soybean,1055.5,34.0,0,0,Sunny,Silty,South,117,56,50,5.73,2104.0
Sorghum,1113.3,24.7,0,1,Stormy,Silty,West,50,71,30,6.79,1491.5
Cotton,1246.8,21.5,1,1,Rainy,Peaty,North,110,29,33,5.62,2135.2
Maize,1215.6,21.2,1,0,Sunny,Loamy,East,70,57,87,6.93,3254.8
Sugarcane,939.5,11.1,0,0,Stormy,Peaty,North,127,63,30,5.54,4201.3
Sugarcane,920.2,32.1,0,0,Rainy,Clay,East,65,93,42,6.24,5000.5
Maize,1022.6,19.3,1,0,Windy,Sandy,West,69,73,75,5.35,2737.3
Sugarcane,1230.0,35.4,0,0,Rainy,Clay,South,73,70,76,8.5,5179.1
Maize,566.2,26.0,0,0,Cloudy,Chalky,Central,85,71,110,5.18,2668.9
Wheat,1093.2,17.7,1,1,Rainy,Silty,West,108,89,105,6.51,2972.7
Maize,634.1,20.3,1,0,Cloudy,Peaty,North,44,78,36,7.41,2676.6
Barley,1455.4,28.1,1,1,Rainy,Peaty,Central,100,32,80,7.33,2666.3
Maize,1010.2,15.7,0,1,Cloudy,Peaty,South,122,60,32,7.18,2555.7
Sugarcane,775.2,30.5,1,0,Windy,Clay,West,77,31,79,6.25,5240.2
Sorghum,1028.6,17.9,1,1,Stormy,Silty,Central,67,69,55,7.58,2170.3
Barley,902.8,22.6,0,0,Cloudy,Sandy,West,65,76,60,7.23,1907.7
Sugarcane,851.9,28.2,1,1,Cloudy,Chalky,West,100,69,91,6.67,5408.3
Rice,357.2,29.8,0,0,Windy,Sandy,South,62,76,55,6.69,2287.6
Rice,592.7,31.8,0,0,Cloudy,Clay,East,85,73,96,6.26,2662.9
Sorghum,857.9,19.2,0,0,Sunny,Chalky,Central,69,85,84,5.77,1598.5
Sorghum,393.5,25.1,0,0,Windy,Peaty,South,106,27,57,7.49,1562.3
Barley,723.8,33.6,0,1,Sunny,Loamy,West,131,82,73,7.55,2841.0
Wheat,750.0,25.2,0,1,Windy,Clay,South,72,28,110,5.79,2491.7
Sorghum,666.2,28.8,1,1,Cloudy,Clay,East,42,79,67,6.38,2245.9
Rice,1131.7,28.0,1,1,Sunny,Silty,Central,108,82,59,6.39,3827.1
Maize,635.9,34.8,1,1,Cloudy,Sandy,East,122,91,95,6.47,3017.8
Sugarcane,926.5,24.2,0,0,Windy,Clay,North,81,22,37,6.55,4683.7
Rice,794.1,18.7,1,0,Cloudy,Clay,Central,101,92,43,7.26,3155.5
Rice,864.4,21.2,0,0,Sunny,Peaty,East,97,32,91,5.9,2617.7
Wheat,1381.9,28.1,1,0,Sunny,Peaty,West,96,28,104,5.82,2703.4
Barley,953.9,17.6,0,0,Cloudy,Chalky,Central,40,71,92,7.49,2000.4
Barley,1011.9,23.7,1,1,Rainy,Loamy,Central,112,81,108,6.13,3110.8
Soybean,670.4,27.5,0,0,Windy,Silty,South,99,27,95,5.49,1705.3
Wheat,1087.8,22.4,1,0,Windy,Loamy,West,108,64,69,6.11,2697.2
Maize,1075.2,29.0,0,1,Cloudy,Chalky,North,98,72,42,6.24,2653.0
Barley,1046.3,31.3,1,1,Rainy,Peaty,East,85,82,46,7.74,2607.6
Sugarcane,537.2,29.7,0,0,Sunny,Sandy,South,73,76,44,7.24,4932.6
Sorghum,724.4,17.7,1,0,Stormy,Peaty,East,136,73,62,7.42,1715.7
Wheat,1330.1,27.5,1,1,Stormy,Silty,North,64,38,45,7.16,3115.6
Sorghum,693.7,27.9,1,0,Cloudy,Peaty,North,81,86,42,7.26,2089.3
Rice,1371.0,24.7,0,0,Rainy,Silty,Central,68,65,115,5.95,3260.4
Sugarcane,736.1,28.9,0,0,Rainy,Silty,North,64,29,52,6.34,5178.6
Sugarcane,944.5,28.7,0,1,Windy,Silty,East,93,37,65,5.71,5217.6
Rice,843.8,26.5,0,0,Sunny,Chalky,West,112,31,72,6.33,2607.8
Wheat,646.6,21.0,0,0,Rainy,Silty,West,106,68,79,7.05,2612.7
Rice,650.9,26.8,1,1,Stormy,Silty,Central,54,42,103,6.61,3310.7
Sorghum,688.7,38.2,0,1,Sunny,Sandy,East,43,81,110,7.55,1742.8
Soybean,944.4,24.6,1,1,Sunny,Loamy,East,77,30,42,5.59,2710.9
Sugarcane,1167.1,33.3,1,0,Cloudy,Clay,North,59,92,59,6.9,5514.9
Cotton,924.9,27.2,0,1,Rainy,Loamy,East,62,75,86,5.5,2028.4
Cotton,890.0,22.2,1,0,Cloudy,Silty,South,76,74,59,6.58,1552.2
Sorghum,1263.1,25.2,0,1,Rainy,Sandy,North,101,44,100,7.09,2114.2
Maize,912.4,26.9,0,0,Windy,Peaty,South,47,28,39,6.33,2340.0
Barley,737.1,30.9,0,1,Cloudy,Sandy,Central,76,31,95,6.94,2235.4
Rice,600.7,41.3,1,0,Cloudy,Silty,West,84,30,112,5.73,3247.9
Rice,1281.1,27.3,0,0,Stormy,Sandy,Central,136,57,68,5.17,2812.7
Maize,801.2,19.6,0,1,Cloudy,Sandy,West,72,47,66,6.95,2477.3
Maize,726.4,17.1,0,1,Rainy,Silty,Central,46,27,32,7.9,2787.9
Sorghum,700.5,24.5,1,0,Stormy,Chalky,East,61,93,118,5.7,1677.2
Sorghum,1264.3,20.2,0,1,Cloudy,Sandy,South,44,66,63,7.48,1772.8
Maize,728.1,30.3,1,0,Cloudy,Clay,West,54,55,115,6.53,2689.7
Sugarcane,1197.1,30.4,1,1,Windy,Clay,North,60,69,67,5.43,5563.7
Sorghum,830.9,26.1,0,1,Cloudy,Sandy,South,128,28,43,5.59,1794.1
Soybean,537.5,30.9,1,0,Sunny,Chalky,North,56,79,93,6.51,2184.4
Sorghum,800.3,27.4,1,1,Stormy,Peaty,South,95,91,68,6.18,1979.8
Rice,890.2,38.2,0,1,Sunny,Silty,South,89,86,83,5.45,3322.9
Sorghum,865.4,30.8,0,0,Stormy,Clay,Central,46,72,31,5.14,1358.3
Sugarcane,858.0,32.4,0,0,Windy,Peaty,West,89,36,72,5.82,4920.3
Maize,803.4,18.3,1,1,Cloudy,Sandy,West,99,72,82,6.66,3054.9
Rice,664.5,20.0,0,0,Cloudy,Peaty,South,122,47,32,6.49,2604.7
Sorghum,903.2,29.9,1,1,Cloudy,Loamy,East,46,82,70,6.1,2342.4
Sugarcane,1062.3,17.7,1,1,Stormy,Clay,East,79,34,37,6.66,5178.9
Soybean,461.2,23.3,1,0,Cloudy,Sandy,North,84,38,119,7.33,1720.6
Sorghum,1289.7,34.1,1,0,Sunny,Silty,North,98,89,104,6.82,2590.4
Sugarcane,100.0,23.1,1,0,Cloudy,Chalky,Central,127,66,92,6.4,4609.0
Soybean,922.6,19.7,0,0,Windy,Sandy,South,114,90,94,7.24,1602.9
Maize,1039.8,31.0,0,0,Sunny,Silty,North,94,67,108,5.73,3062.1
Sorghum,719.0,39.4,1,0,Cloudy,Chalky,North,103,92,33,6.32,1787.6
Soybean,262.2,22.1,1,1,Cloudy,Chalky,South,104,39,97,6.34,1907.8
Rice,871.0,34.3,0,1,Rainy,Sandy,Central,93,56,39,5.51,3071.1
Maize,950.9,21.4,0,0,Stormy,Peaty,North,135,94,104,6.16,2226.1
Rice,555.4,26.3,1,1,Sunny,Peaty,Central,79,21,79,4.84,3281.1
Cotton,651.0,26.6,1,1,Rainy,Chalky,West,92,83,52,8.03,1849.5
Wheat,1188.8,22.3,0,1,Windy,Peaty,Central,83,55,90,5.75,2422.6
Sorghum,935.3,32.3,0,1,Stormy,Loamy,East,102,24,76,7.77,1786.5
Soybean,447.4,17.8,1,0,Sunny,Chalky,East,41,83,32,6.53,1965.7
Wheat,1034.9,28.2,0,1,Cloudy,Chalky,Central,118,26,46,6.95,2382.3
Wheat,620.8,33.4,0,1,Sunny,Silty,East,60,89,51,6.11,2720.4
Soybean,667.6,31.8,1,0,Cloudy,Peaty,West,127,41,45,6.67,2227.4
Maize,959.3,29.9,1,0,Stormy,Chalky,South,89,93,109,7.02,2688.8
Sorghum,931.3,36.5,1,0,Cloudy,Loamy,East,120,65,32,7.03,2400.4
Cotton,779.2,25.7,0,0,Windy,Silty,East,91,59,81,7.12,1403.9
Rice,748.7,17.9,1,1,Cloudy,Sandy,Central,48,80,62,6.21,3219.7
Sugarcane,824.8,27.8,0,0,Windy,Chalky,West,138,65,71,6.12,4746.0
Rice,665.8,26.2,1,1,Stormy,Loamy,South,59,47,31,5.22,3001.9
Sugarcane,1226.7,14.3,1,1,Stormy,Clay,Central,122,54,68,6.92,5346.6
Rice,429.2,20.2,0,0,Sunny,Loamy,Central,57,20,75,7.37,2938.2
Soybean,827.7,19.5,0,0,Windy,Loamy,West,123,48,77,7.79,2002.3
Cotton,462.2,22.1,1,0,Windy,Silty,South,69,28,56,6.74,1454.4
Sorghum,1180.8,24.9,1,0,Rainy,Sandy,West,104,28,44,5.89,1949.4
Sugarcane,827.3,25.1,0,0,Rainy,Clay,South,63,41,36,5.14,5103.0
Sorghum,583.0,22.3,1,0,Rainy,Peaty,West,127,82,86,7.33,1810.0
Sorghum,1105.5,19.5,0,1,Cloudy,Peaty,Central,86,85,71,5.06,2158.0
Sorghum,212.4,29.3,0,1,Rainy,Loamy,Central,122,99,38,6.23,2117.2
Barley,984.3,27.7,1,1,Windy,Silty,North,133,77,35,6.32,2783.7
Maize,1245.4,27.9,0,1,Cloudy,Silty,East,129,89,86,6.44,3356.1
Rice,953.9,37.7,0,0,Stormy,Peaty,West,83,74,105,6.53,2504.0
Sorghum,748.0,28.0,0,0,Sunny,Clay,North,68,32,59,6.61,1610.2
Rice,527.3,24.8,1,1,Rainy,Sandy,East,116,38,84,4.57,3386.2
Sorghum,1224.8,26.4,0,1,Stormy,Clay,West,107,98,113,6.51,2002.3
Sugarcane,1178.2,27.6,1,1,Windy,Chalky,South,56,52,113,4.72,5164.3
Maize,706.4,30.7,1,0,Sunny,Chalky,East,136,93,83,7.09,2782.4
Maize,714.4,26.7,1,0,Stormy,Sandy,Central,44,84,56,6.06,2372.4
Soybean,1256.0,15.3,0,0,Sunny,Peaty,North,131,79,113,4.77,1781.2
Barley,1059.5,24.4,0,1,Rainy,Sandy,East,127,31,88,5.85,2589.5
Soybean,364.0,27.0,1,1,Windy,Silty,East,120,62,36,6.04,2559.7
Soybean,841.3,34.8,1,0,Sunny,Chalky,Central,89,36,69,7.45,2038.9
Soybean,830.2,22.3,0,0,Stormy,Loamy,West,79,87,101,6.66,1707.2
Soybean,974.3,17.2,1,1,Rainy,Loamy,South,85,48,31,6.78,2576.1
Soybean,901.8,27.4,1,1,Rainy,Peaty,Central,90,74,43,7.44,2525.9
Cotton,746.2,32.2,0,0,Stormy,Silty,South,50,26,39,6.42,1300.8
Maize,953.5,24.6,1,1,Stormy,Clay,West,51,63,79,7.1,2842.9
Soybean,765.7,41.3,0,0,Sunny,Silty,East,52,96,47,7.05,1747.4
Sorghum,1924.3,39.9,0,0,Cloudy,Loamy,South,103,24,47,5.47,2377.6
Maize,936.8,26.6,1,1,Rainy,Loamy,North,47,79,45,7.68,3195.2
Maize,895.6,28.1,0,1,Sunny,Chalky,North,104,25,81,5.36,2672.9
Wheat,1452.8,35.2,0,1,Stormy,Silty,Central,48,26,98,7.23,2358.6
Cotton,490.7,26.5,0,0,Sunny,Silty,West,131,65,81,5.29,1347.1
Soybean,867.0,22.2,1,1,Stormy,Loamy,Central,41,76,60,6.98,2381.2
Rice,615.1,32.3,1,1,Windy,Clay,Central,117,73,113,7.99,3430.5
Sugarcane,1090.5,29.8,1,0,Stormy,Peaty,Central,52,65,52,6.33,4768.9
Barley,751.7,22.2,0,0,Stormy,Peaty,North,41,29,71,6.29,1689.7
Sorghum,1074.0,28.7,0,1,Stormy,Silty,North,107,23,110,6.99,2156.5
Rice,1052.4,26.0,1,0,Cloudy,Peaty,Central,115,86,91,6.24,3175.5
Cotton,1134.1,24.7,1,0,Stormy,Loamy,North,87,44,106,7.95,1568.3
Sugarcane,1057.4,22.3,0,0,Rainy,Loamy,West,113,97,79,6.65,5675.8
Cotton,832.8,27.7,1,1,Rainy,Silty,Central,42,80,106,6.24,2211.0
Sorghum,480.7,25.4,1,1,Sunny,Silty,North,107,57,110,6.07,2527.8
Maize,1202.7,28.7,1,0,Cloudy,Chalky,South,45,51,44,5.75,2978.6
Sugarcane,1322.7,31.9,1,0,Sunny,Silty,Central,126,42,119,6.0,5725.2
Maize,618.6,28.4,1,0,Rainy,Clay,Central,44,56,73,6.22,2873.0
Sorghum,1120.8,28.5,0,1,Rainy,Peaty,West,42,22,71,6.11,1979.4
Rice,548.9,23.8,1,0,Windy,Silty,East,49,32,74,5.97,3154.6
Sorghum,961.0,34.0,1,0,Stormy,Sandy,East,82,53,64,8.18,1266.9
Rice,1022.8,21.9,0,1,Rainy,Chalky,West,58,84,51,5.68,2922.3
Sugarcane,772.1,17.3,0,0,Sunny,Sandy,West,53,95,103,6.62,4999.1
Sugarcane,928.5,20.6,0,1,Sunny,Loamy,West,60,27,104,6.97,5351.4
Soybean,1154.5,33.2,0,1,Stormy,Peaty,East,82,28,67,7.0,1945.2
Cotton,867.2,29.8,1,1,Stormy,Silty,West,67,47,99,6.45,1932.0
Soybean,697.5,34.9,1,0,Windy,Sandy,North,60,97,93,6.31,1764.5
Cotton,532.9,19.1,1,0,Cloudy,Peaty,Central,75,37,36,6.86,1255.7
Soybean,782.8,40.9,1,1,Sunny,Loamy,Central,63,61,73,6.71,2482.5
Maize,547.6,25.3,0,0,Stormy,Clay,South,93,60,105,6.29,2737.0
Sugarcane,786.8,16.4,0,1,Sunny,Chalky,South,77,89,36,5.25,5265.9
Rice,760.4,40.2,1,0,Stormy,Peaty,Central,56,52,95,6.13,2588.0
Cotton,1141.2,19.1,1,1,Rainy,Peaty,North,61,96,89,5.58,1814.9
Sorghum,922.0,24.6,1,1,Sunny,Clay,East,122,73,30,5.97,2526.6
Cotton,1664.2,25.8,1,0,Rainy,Peaty,East,84,55,91,6.53,1919.3
Rice,295.9,29.7,0,0,Sunny,Loamy,North,113,75,116,6.79,2862.8
Soybean,994.0,22.3,1,0,Cloudy,Loamy,East,100,36,118,7.92,2401.0
Cotton,764.5,33.2,0,0,Windy,Clay,West,50,29,47,6.07,1317.4
Barley,613.2,31.5,0,1,Rainy,Chalky,Central,100,63,36,7.12,1817.5
Maize,891.1,27.1,0,1,Stormy,Silty,Central,77,21,83,6.74,2864.1
Sugarcane,868.6,34.9,0,0,Cloudy,Sandy,North,105,33,96,7.54,4969.7
Rice,1223.3,26.6,1,0,Sunny,Silty,East,72,60,39,6.96,3404.4
Sugarcane,927.4,25.3,1,1,Rainy,Peaty,South,82,21,90,5.69,5730.1
Barley,692.2,39.0,1,0,Sunny,Sandy,South,70,38,88,5.12,2013.5
Cotton,1000.3,28.8,1,0,Sunny,Clay,East,74,99,88,6.75,1932.5
Cotton,831.1,21.1,0,0,Sunny,Clay,South,76,20,98,6.08,1373.3
Sorghum,562.4,21.9,0,0,Windy,Chalky,North,86,21,92,5.72,1243.5
Barley,825.4,27.1,0,1,Windy,Sandy,North,139,46,37,5.49,1997.8
Rice,969.3,12.6,1,1,Stormy,Loamy,East,62,21,107,6.63,3264.9
Sorghum,921.7,23.2,0,0,Rainy,Sandy,South,75,70,84,7.71,1806.3
Maize,999.1,26.4,0,1,Cloudy,Peaty,North,79,29,35,6.17,2793.3
Sorghum,742.1,26.0,0,0,Cloudy,Loamy,North,129,38,30,6.97,1747.5
Wheat,995.3,19.5,0,0,Cloudy,Clay,West,128,99,85,6.42,2447.8
Rice,936.0,24.3,1,0,Sunny,Sandy,West,120,32,104,5.47,3224.7
Wheat,938.5,34.1,0,1,Windy,Silty,North,54,67,117,7.09,2451.1
Barley,909.7,32.8,0,1,Rainy,Chalky,East,76,75,39,5.62,2418.5
Soybean,1552.8,27.6,1,1,Sunny,Silty,Central,43,91,52,6.52,2588.6
Wheat,1233.0,26.6,1,1,Windy,Chalky,Central,61,75,45,6.23,2237.3
Maize,988.6,26.0,1,1,Windy,Peaty,North,120,69,45,7.21,2964.7
Sorghum,659.9,28.4,0,0,Rainy,Silty,North,61,64,85,5.65,2005.7
Soybean,812.3,27.6,0,0,Rainy,Sandy,North,120,78,35,6.81,1669.2
Sorghum,1384.7,28.9,0,1,Rainy,Sandy,East,117,58,59,5.83,1980.7
Wheat,731.1,30.0,0,1,Sunny,Silty,West,117,40,92,6.09,2885.5
Sorghum,850.3,19.7,1,1,Stormy,Sandy,North,56,74,30,4.5,1809.7
Barley,833.6,25.1,0,0,Rainy,Peaty,North,111,76,80,8.17,2134.9
Soybean,1010.4,28.2,0,1,Stormy,Loamy,South,137,60,118,6.94,2270.8
Barley,769.0,21.2,1,0,Sunny,Peaty,East,129,89,75,5.89,2311.1
Wheat,953.1,23.0,1,0,Stormy,Chalky,North,133,68,50,5.6,2068.0
Barley,775.7,25.7,1,1,Cloudy,Peaty,South,125,63,67,6.1,2662.6
Maize,1294.4,26.0,0,0,Stormy,Chalky,Central,119,54,98,7.07,2147.3
Wheat,694.1,28.3,0,0,Rainy,Sandy,North,133,24,92,4.99,1868.5
Wheat,1193.3,21.9,0,1,Sunny,Loamy,North,119,90,79,6.39,2882.0
Wheat,724.5,32.8,0,0,Rainy,Sandy,South,77,93,41,7.92,2239.4
Rice,643.9,25.9,0,1,Cloudy,Clay,East,63,93,98,5.59,3138.4
Sorghum,689.8,27.9,1,0,Rainy,Sandy,North,139,70,102,6.56,2172.0
Rice,386.6,24.8,1,1,Rainy,Chalky,Central,138,76,73,8.26,2925.8
Rice,1031.6,28.4,0,1,Rainy,Sandy,North,45,77,81,7.01,3092.4
Maize,550.8,37.0,0,0,Windy,Sandy,Central,107,55,38,6.6,2316.8
Soybean,792.6,24.7,0,1,Cloudy,Loamy,West,121,29,94,6.91,2113.9
Sorghum,1128.5,23.7,0,0,Rainy,Sandy,West,45,69,39,6.18,1807.1
Barley,1118.8,22.0,0,0,Rainy,Loamy,Central,65,56,75,7.54,2328.7
Cotton,470.5,26.6,1,1,Rainy,Silty,East,130,39,87,6.18,2547.6
Wheat,993.2,26.6,1,0,Sunny,Clay,North,80,32,66,4.93,2396.0
Barley,1242.1,27.3,1,1,Windy,Loamy,North,114,94,81,6.19,3091.7
Wheat,708.9,29.8,0,0,Sunny,Chalky,West,77,38,110,5.73,2026.4
Maize,1054.1,29.1,0,0,Windy,Silty,Central,119,75,42,6.28,2542.2
Wheat,557.0,26.9,1,1,Rainy,Loamy,North,122,64,35,6.29,2968.8
Rice,1015.7,38.7,1,0,Cloudy,Loamy,North,82,79,87,7.46,3359.0
Sorghum,939.4,31.1,0,0,Stormy,Clay,East,92,87,77,7.06,1692.5
Cotton,1098.3,20.5,1,0,Stormy,Chalky,South,54,76,61,6.71,1395.1
Sugarcane,1079.7,17.7,1,0,Rainy,Peaty,West,129,73,40,6.5,5496.1
Wheat,494.0,22.8,0,0,Sunny,Peaty,West,95,56,110,5.65,2003.7
Barley,941.0,27.9,1,0,Cloudy,Loamy,South,95,56,34,4.76,2747.1
Rice,1335.9,22.3,1,0,Windy,Sandy,North,70,33,35,6.59,2991.4
Sugarcane,244.4,23.2,1,0,Rainy,Chalky,East,122,63,103,7.14,4902.0
Cotton,1190.1,27.2,0,1,Cloudy,Silty,East,96,61,50,6.41,1841.0
Sugarcane,1380.5,24.9,1,0,Cloudy,Sandy,West,90,20,71,6.07,5123.2
Rice,454.6,14.7,1,0,Windy,Sandy,East,63,42,110,6.87,2632.0
Sorghum,698.8,33.5,1,1,Cloudy,Chalky,South,97,83,56,6.43,1925.1
Sorghum,1055.3,32.1,0,1,Sunny,Loamy,North,112,47,32,7.85,2183.0
Soybean,634.2,19.3,0,1,Sunny,Loamy,South,126,23,89,7.49,2387.0
Sorghum,1309.4,27.3,1,0,Sunny,Loamy,Central,43,60,95,7.27,2544.1
Soybean,1217.7,20.3,0,1,Cloudy,Loamy,West,49,79,78,7.11,2295.9
Sugarcane,484.5,23.3,1,1,Sunny,Peaty,East,102,37,63,5.47,5577.6
Maize,677.1,29.9,0,0,Windy,Loamy,Central,112,82,66,7.03,2681.7
Barley,1131.0,31.9,0,0,Cloudy,Peaty,East,122,80,71,6.8,2027.4
Barley,1119.2,31.7,1,1,Stormy,Peaty,North,54,68,94,6.99,2320.2
Sugarcane,1565.5,28.5,1,1,Cloudy,Loamy,North,137,66,89,6.89,5987.6
Wheat,636.0,34.7,1,0,Windy,Clay,North,102,58,119,6.86,2415.4
Wheat,1337.8,23.3,0,0,Stormy,Silty,East,58,25,30,8.5,1758.3
Sorghum,625.8,24.7,1,0,Cloudy,Sandy,Central,102,72,88,6.44,1871.8
Barley,1050.1,11.4,0,0,Sunny,Peaty,North,95,95,33,7.25,1720.0
Barley,1167.7,26.4,0,0,Rainy,Chalky,Central,60,44,43,6.12,1787.9
Soybean,100.0,30.5,1,1,Rainy,Chalky,East,73,84,47,7.13,1824.9
Maize,1173.4,28.7,0,0,Sunny,Silty,Central,56,24,63,7.25,2763.3
Rice,1315.4,23.3,1,0,Rainy,Chalky,East,57,84,30,6.79,3023.0
Wheat,1228.8,32.1,0,0,Rainy,Clay,East,120,27,82,7.84,2417.3
Barley,1516.0,26.6,1,0,Sunny,Chalky,West,105,58,51,5.79,2579.8
Soybean,1189.6,31.6,0,0,Sunny,Sandy,East,90,62,109,6.11,1933.3
Cotton,738.8,29.9,0,1,Cloudy,Sandy,East,104,92,90,6.67,1182.1
Soybean,1271.7,35.5,1,0,Cloudy,Peaty,South,82,24,51,7.2,2076.7
Wheat,721.8,29.0,0,1,Sunny,Loamy,North,96,23,79,6.64,2796.2
Wheat,924.7,30.7,1,0,Windy,Clay,West,49,20,45,7.53,2333.1
Soybean,1149.5,26.5,0,1,Rainy,Peaty,West,76,75,57,5.97,2163.2
Rice,1034.4,24.0,0,1,Cloudy,Clay,West,87,64,115,5.59,3248.1
Sugarcane,1305.3,29.9,0,0,Rainy,Loamy,South,108,84,99,6.75,5536.0
Wheat,1646.6,36.0,1,0,Stormy,Chalky,East,95,22,118,6.44,1986.8
Soybean,558.8,23.3,1,0,Sunny,Chalky,North,115,41,71,6.93,1934.8
Barley,801.5,25.5,1,0,Windy,Loamy,Central,75,91,95,6.48,2664.5
Soybean,994.9,27.2,1,0,Stormy,Peaty,East,70,75,100,6.23,2024.0
Maize,761.0,31.1,1,1,Stormy,Loamy,South,94,37,110,6.44,3190.5
Sugarcane,877.3,29.1,0,0,Stormy,Silty,East,77,44,64,6.52,4855.4
Cotton,1132.7,32.5,0,0,Sunny,Sandy,East,112,67,49,6.26,1629.1
Rice,1092.9,38.8,1,1,Cloudy,Peaty,South,129,50,31,6.34,3596.5
Sorghum,974.2,23.2,0,0,Sunny,Clay,West,54,49,36,6.18,1823.1
Cotton,944.3,30.7,0,1,Cloudy,Silty,West,55,99,78,7.19,1601.6
Sugarcane,832.8,28.9,0,0,Stormy,Peaty,North,116,85,112,6.66,4588.3
Sugarcane,1321.4,27.1,0,1,Stormy,Loamy,North,128,29,105,8.31,5777.6
Sugarcane,1399.0,30.6,1,0,Windy,Loamy,West,133,90,38,6.63,5318.8
Cotton,1205.6,25.4,0,1,Cloudy,Loamy,Central,92,78,56,6.06,1853.5
Barley,555.2,28.9,1,1,Stormy,Loamy,East,95,70,107,8.5,2237.7
Sugarcane,821.3,19.2,1,0,Rainy,Clay,Central,46,28,31,6.83,5224.0
Soybean,959.9,23.8,0,0,Windy,Silty,East,96,73,114,7.29,1765.0
Cotton,617.8,33.3,1,0,Sunny,Chalky,West,94,81,97,6.97,1460.3
Sorghum,923.7,33.1,0,1,Windy,Sandy,North,91,28,89,7.0,1407.0
Sugarcane,906.7,28.6,0,1,Rainy,Clay,North,43,28,114,6.93,5372.6
Soybean,1225.2,24.3,0,1,Cloudy,Clay,Central,82,43,115,5.62,2438.8
Barley,750.5,32.0,1,0,Sunny,Chalky,North,79,58,78,6.79,2121.5
Maize,1249.0,34.4,1,0,Sunny,Chalky,West,69,94,31,5.44,2874.6
Barley,612.8,24.5,1,1,Cloudy,Sandy,Central,49,27,46,6.36,2252.4
Sorghum,654.6,18.3,0,0,Windy,Sandy,East,133,44,112,5.92,1457.2
Sugarcane,786.2,29.7,0,1,Stormy,Chalky,North,46,85,117,6.79,4648.6
Sorghum,914.4,32.5,0,0,Windy,Loamy,South,75,29,49,6.77,1874.7
Cotton,175.0,30.5,1,0,Rainy,Clay,North,74,43,105,6.88,1730.4
Wheat,1037.8,36.4,0,1,Stormy,Peaty,East,127,99,118,6.73,2073.9
Sugarcane,1412.8,36.4,0,0,Windy,Sandy,Central,78,78,116,6.01,4750.8
Wheat,1095.4,25.2,1,0,Cloudy,Sandy,East,75,50,61,6.29,2578.9
Soybean,836.8,28.2,1,0,Rainy,Chalky,South,59,30,80,7.24,1758.3
Maize,574.6,24.0,1,0,Rainy,Silty,West,88,25,117,7.35,2787.3
Rice,356.1,20.9,0,0,Rainy,Peaty,North,135,89,71,5.58,2769.0
Sorghum,407.1,21.2,0,1,Stormy,Peaty,Central,98,51,92,5.28,1522.4
Barley,860.7,31.3,0,0,Sunny,Sandy,West,88,58,118,5.92,1894.3
Maize,1532.1,28.8,1,1,Stormy,Loamy,East,129,67,90,7.34,3296.9
Sugarcane,100.0,32.3,1,0,Windy,Silty,Central,65,32,91,7.47,4861.6
Wheat,1110.1,42.2,1,0,Sunny,Peaty,West,75,78,32,5.76,2341.9
Barley,696.7,30.0,1,1,Windy,Sandy,Central,82,86,118,6.75,2413.8
Wheat,799.4,22.3,0,1,Sunny,Peaty,South,138,75,105,7.97,2385.2
