farm_id,region,crop_type,yield_kg_per_hectare,rainfall_mm,temperature_C,pesticide_usage_ml,soil_pH,soil_moisture_%,humidity_%,sunlight_hours,total_days,sowing_date,harvest_date,irrigation_type,fertilizer_type,crop_disease_status,NDVI_index
FARM05422,Cameroon,Potatoes,4032.9,1604.0,24.98,63012.0,5.38,47.3,61.83,5.78,115,1997-01-15,1997-05-15,Rainfed,NPK 15-15-15,Mild,0.63
FARM05423,Cameroon,"Rice, paddy",3363.6,1604.0,24.98,63012.0,6.82,50.02,55.74,7.21,110,1997-01-15,1997-05-15,Rainfed,NPK 15-15-15,None,0.61
FARM05424,Cameroon,Sorghum,888.9,1604.0,24.98,63012.0,6.67,37.4,61.53,5.86,126,1997-01-15,1997-05-15,Rainfed,DAP,None,0.45
FARM05425,Cameroon,Soybeans,623.5,1604.0,24.98,63012.0,6.54,54.5,56.34,7.44,122,1997-01-15,1997-05-15,Rainfed,NPK 15-15-15,None,0.43
FARM05426,Cameroon,Sweet potatoes,6530.6,1604.0,24.98,63012.0,6.13,30.73,60.48,7.67,130,1997-01-15,1997-05-15,Sprinkler,Urea,None,0.7
FARM05427,Cameroon,Wheat,1326.4,1604.0,24.98,63012.0,7.14,45.7,65.42,5.7,149,1997-01-15,1997-05-15,Sprinkler,Organic Compost,None,0.42
FARM05428,Cameroon,Yams,7894.7,1604.0,24.98,63012.0,6.29,39.94,67.06,8.43,241,1997-01-15,1997-05-15,Sprinkler,DAP,Mild,0.71
FARM05429,Cameroon,Cassava,9004.1,1604.0,25.66,25802.0,5.73,45.41,61.99,6.53,263,1998-01-15,1998-05-15,Rainfed,NPK 15-15-15,None,0.68
FARM05430,Cameroon,Maize,1891.1,1604.0,25.66,25802.0,5.88,47.54,66.24,7.19,110,1998-01-15,1998-05-15,Rainfed,Urea,Mild,0.45
FARM05431,Cameroon,Plantains and others,6795.8,1604.0,25.66,25802.0,6.26,41.93,59.04,7.51,111,1998-01-15,1998-05-15,Rainfed,NPK 15-15-15,None,0.73
FARM05432,Cameroon,Potatoes,5319.8,1604.0,25.66,25802.0,5.58,34.04,67.69,6.36,104,1998-01-15,1998-05-15,Rainfed,DAP,None,0.66
FARM05433,Cameroon,"Rice, paddy",3546.7,1604.0,25.66,25802.0,6.54,48.95,57.99,6.34,128,1998-01-15,1998-05-15,Rainfed,Urea,None,0.66
FARM05434,Cameroon,Sorghum,995.5,1604.0,25.66,25802.0,6.58,58.35,57.65,6.56,116,1998-01-15,1998-05-15,Rainfed,DAP,None,0.45
FARM05435,Cameroon,Soybeans,625.0,1604.0,25.66,25802.0,6.84,46.16,59.04,7.26,124,1998-01-15,1998-05-15,Rainfed,DAP,None,0.4
FARM05436,Cameroon,Sweet potatoes,7478.0,1604.0,25.66,25802.0,5.69,52.71,57.89,7.36,114,1998-01-15,1998-05-15,Sprinkler,Urea,None,0.72
FARM05437,Cameroon,Wheat,1327.9,1604.0,25.66,25802.0,6.78,55.44,62.95,8.01,147,1998-01-15,1998-05-15,Sprinkler,NPK 15-15-15,None,0.45
FARM05438,Cameroon,Yams,7936.0,1604.0,25.66,25802.0,6.71,38.41,65.89,7.89,241,1998-01-15,1998-05-15,Rainfed,NPK 15-15-15,None,0.75
FARM05439,Cameroon,Cassava,13659.4,1604.0,24.97,65300.0,6.12,45.63,61.29,7.88,276,1999-01-15,1999-05-15,Rainfed,DAP,None,0.77
FARM05440,Cameroon,Maize,2590.7,1604.0,24.97,65300.0,6.48,41.53,62.47,7.6,116,1999-01-15,1999-05-15,Rainfed,Organic Compost,None,0.54
FARM05441,Cameroon,Plantains and others,6110.2,1604.0,24.97,65300.0,6.29,43.88,55.7,7.53,125,1999-01-15,1999-05-15,Sprinkler,Urea,None,0.73
FARM05442,Cameroon,Potatoes,6003.1,1604.0,24.97,65300.0,5.58,56.42,61.61,6.57,103,1999-01-15,1999-05-15,Rainfed,NPK 15-15-15,None,0.6
FARM05443,Cameroon,"Rice, paddy",3309.5,1604.0,24.97,65300.0,6.2,49.03,68.31,6.45,110,1999-01-15,1999-05-15,Rainfed,NPK 15-15-15,Mild,0.61
FARM05444,Cameroon,Sorghum,1123.9,1604.0,24.97,65300.0,6.51,51.86,66.88,5.66,117,1999-01-15,1999-05-15,Sprinkler,DAP,None,0.38
FARM05445,Cameroon,Soybeans,637.3,1604.0,24.97,65300.0,6.86,47.69,56.85,8.02,119,1999-01-15,1999-05-15,Rainfed,Organic Compost,None,0.38
FARM05446,Cameroon,Sweet potatoes,6589.5,1604.0,24.97,65300.0,5.82,41.86,59.48,6.93,129,1999-01-15,1999-05-15,Rainfed,Organic Compost,None,0.7
FARM05447,Cameroon,Wheat,1329.4,1604.0,24.97,65300.0,6.33,51.3,74.85,7.16,142,1999-01-15,1999-05-15,Rainfed,NPK 15-15-15,None,0.37
FARM05448,Cameroon,Yams,9320.9,1604.0,24.97,65300.0,6.92,54.18,62.9,4.65,230,1999-01-15,1999-05-15,Rainfed,DAP,None,0.74
FARM05449,Cameroon,Cassava,13299.2,1604.0,24.88,54500.0,6.11,49.5,67.33,6.37,268,2000-01-15,2000-05-15,Rainfed,Urea,None,0.72
FARM05450,Cameroon,Maize,2461.5,1604.0,24.88,54500.0,6.01,50.36,67.65,7.67,121,2000-01-15,2000-05-15,Rainfed,NPK 15-15-15,Severe,0.5
FARM05451,Cameroon,Plantains and others,6132.3,1604.0,24.88,54500.0,6.35,41.74,56.81,7.16,125,2000-01-15,2000-05-15,Sprinkler,Urea,None,0.71
FARM05452,Cameroon,Potatoes,5904.4,1604.0,24.88,54500.0,5.84,51.45,64.17,6.37,103,2000-01-15,2000-05-15,Sprinkler,NPK 15-15-15,None,0.64
FARM05453,Cameroon,"Rice, paddy",3010.3,1604.0,24.88,54500.0,7.1,54.64,62.02,6.8,122,2000-01-15,2000-05-15,Rainfed,Urea,None,0.56
FARM05454,Cameroon,Sorghum,1200.0,1604.0,24.88,54500.0,6.31,49.94,68.24,8.48,115,2000-01-15,2000-05-15,Rainfed,DAP,None,0.38
FARM05455,Cameroon,Soybeans,637.5,1604.0,24.88,54500.0,6.94,38.93,69.12,6.71,107,2000-01-15,2000-05-15,Sprinkler,NPK 15-15-15,None,0.34
FARM05456,Cameroon,Sweet potatoes,6457.8,1604.0,24.88,54500.0,6.39,56.09,57.95,6.99,127,2000-01-15,2000-05-15,Rainfed,DAP,None,0.69
FARM05457,Cameroon,Wheat,1330.9,1604.0,24.88,54500.0,6.58,43.19,75.04,6.89,134,2000-01-15,2000-05-15,Sprinkler,Urea,None,0.4
FARM05458,Cameroon,Yams,9366.2,1604.0,24.88,54500.0,6.2,49.85,61.95,7.06,230,2000-01-15,2000-05-15,Rainfed,Organic Compost,None,0.7
FARM05459,Cameroon,Cassava,8191.8,1604.0,25.01,68700.0,5.64,52.68,63.74,7.86,274,2001-01-15,2001-05-15,Rainfed,NPK 15-15-15,None,0.7
FARM05460,Cameroon,Maize,2440.4,1604.0,25.01,68700.0,6.43,53.31,50.6,8.88,113,2001-01-15,2001-05-15,Rainfed,NPK 15-15-15,None,0.53
FARM05461,Cameroon,Plantains and others,6206.4,1604.0,25.01,68700.0,6.49,38.91,65.24,8.08,119,2001-01-15,2001-05-15,Rainfed,DAP,None,0.7
FARM05462,Cameroon,Potatoes,5167.4,1604.0,25.01,68700.0,6.03,48.5,52.59,7.08,109,2001-01-15,2001-05-15,Rainfed,Organic Compost,None,0.76
FARM05463,Cameroon,"Rice, paddy",3024.2,1604.0,25.01,68700.0,6.88,48.17,60.63,7.85,124,2001-01-15,2001-05-15,Sprinkler,Urea,None,0.56
FARM05464,Cameroon,Sorghum,1202.4,1604.0,25.01,68700.0,6.44,55.11,59.0,5.7,127,2001-01-15,2001-05-15,Rainfed,Urea,None,0.47
FARM05465,Cameroon,Soybeans,619.3,1604.0,25.01,68700.0,5.91,50.21,63.07,6.88,107,2001-01-15,2001-05-15,Rainfed,NPK 15-15-15,None,0.45
FARM05466,Cameroon,Sweet potatoes,6485.6,1604.0,25.01,68700.0,5.89,55.15,61.93,6.34,130,2001-01-15,2001-05-15,Rainfed,DAP,None,0.66
FARM05467,Cameroon,Wheat,1332.5,1604.0,25.01,68700.0,6.9,50.61,63.56,6.44,139,2001-01-15,2001-05-15,Rainfed,DAP,Moderate,0.47
FARM05468,Cameroon,Yams,9434.5,1604.0,25.01,68700.0,6.39,47.54,66.19,7.66,243,2001-01-15,2001-05-15,Rainfed,Urea,None,0.76
FARM05469,Cameroon,Cassava,7662.6,1604.0,25.26,81579.0,5.89,48.88,57.07,7.99,279,2002-01-15,2002-05-15,Rainfed,Urea,None,0.77
FARM05470,Cameroon,Maize,2067.9,1604.0,25.26,81579.0,6.54,55.53,60.27,5.83,113,2002-01-15,2002-05-15,Sprinkler,NPK 15-15-15,None,0.5
FARM05471,Cameroon,Plantains and others,5320.9,1604.0,25.26,81579.0,7.03,41.43,57.7,6.76,123,2002-01-15,2002-05-15,Rainfed,Urea,None,0.55
FARM05472,Cameroon,Potatoes,3945.2,1604.0,25.26,81579.0,5.93,52.44,57.4,6.37,103,2002-01-15,2002-05-15,Sprinkler,Organic Compost,None,0.61
FARM05473,Cameroon,"Rice, paddy",1113.7,1604.0,25.26,81579.0,6.37,44.78,68.81,7.43,126,2002-01-15,2002-05-15,Rainfed,NPK 15-15-15,Moderate,0.42
FARM05474,Cameroon,Sorghum,1412.9,1604.0,25.26,81579.0,6.52,43.7,56.01,7.79,131,2002-01-15,2002-05-15,Rainfed,Urea,None,0.46
FARM05475,Cameroon,Soybeans,561.1,1604.0,25.26,81579.0,6.54,53.03,57.79,8.71,122,2002-01-15,2002-05-15,Rainfed,NPK 15-15-15,None,0.38
FARM05476,Cameroon,Sweet potatoes,4555.4,1604.0,25.26,81579.0,6.47,43.5,69.86,7.85,118,2002-01-15,2002-05-15,Sprinkler,Urea,None,0.63
FARM05477,Cameroon,Wheat,1334.0,1604.0,25.26,81579.0,6.74,49.8,60.58,7.81,149,2002-01-15,2002-05-15,Rainfed,NPK 15-15-15,None,0.42
FARM05478,Cameroon,Yams,7664.3,1604.0,25.26,81579.0,6.29,45.47,60.83,6.09,246,2002-01-15,2002-05-15,Rainfed,NPK 15-15-15,None,0.76
FARM05479,Cameroon,Cassava,6614.5,1604.0,25.42,84948.0,5.83,36.13,62.61,6.36,277,2004-01-15,2004-05-15,Sprinkler,NPK 15-15-15,None,0.67
FARM05480,Cameroon,Maize,1916.6,1604.0,25.42,84948.0,6.88,50.3,56.18,6.94,119,2004-01-15,2004-05-15,Rainfed,Urea,Mild,0.51
FARM05481,Cameroon,Plantains and others,5331.2,1604.0,25.42,84948.0,7.19,48.55,57.32,8.95,119,2004-01-15,2004-05-15,Rainfed,Organic Compost,None,0.69
FARM05482,Cameroon,Potatoes,3115.9,1604.0,25.42,84948.0,5.96,38.36,58.54,6.96,116,2004-01-15,2004-05-15,Sprinkler,Organic Compost,None,0.63
FARM05483,Cameroon,"Rice, paddy",1241.6,1604.0,25.42,84948.0,6.53,44.42,65.17,8.04,112,2004-01-15,2004-05-15,Rainfed,NPK 15-15-15,None,0.4
FARM05484,Cameroon,Sorghum,1265.4,1604.0,25.42,84948.0,6.71,38.88,63.69,6.56,127,2004-01-15,2004-05-15,Rainfed,Organic Compost,Moderate,0.45
FARM05485,Cameroon,Soybeans,586.6,1604.0,25.42,84948.0,5.77,51.57,58.48,6.88,115,2004-01-15,2004-05-15,Sprinkler,NPK 15-15-15,None,0.38
FARM05486,Cameroon,Sweet potatoes,4155.8,1604.0,25.42,84948.0,6.16,54.85,60.47,6.88,123,2004-01-15,2004-05-15,Rainfed,Urea,None,0.61
FARM05487,Cameroon,Wheat,1337.3,1604.0,25.42,84948.0,6.85,52.16,64.12,6.5,142,2004-01-15,2004-05-15,Sprinkler,Urea,None,0.52
FARM05488,Cameroon,Yams,7675.2,1604.0,25.42,84948.0,6.45,52.86,51.46,7.45,242,2004-01-15,2004-05-15,Sprinkler,Organic Compost,None,0.7
FARM05489,Cameroon,Cassava,10577.1,1604.0,25.36,82959.0,5.75,45.33,62.24,5.86,260,2005-01-15,2005-05-15,Rainfed,NPK 15-15-15,None,0.76
FARM05490,Cameroon,Maize,2133.4,1604.0,25.36,82959.0,6.37,50.65,64.07,5.43,127,2005-01-15,2005-05-15,Rainfed,NPK 15-15-15,None,0.51
FARM05491,Cameroon,Plantains and others,7972.0,1604.0,25.36,82959.0,6.36,47.87,57.36,6.69,120,2005-01-15,2005-05-15,Rainfed,Urea,Severe,0.69
FARM05492,Cameroon,Potatoes,2590.0,1604.0,25.36,82959.0,6.16,48.84,63.63,7.34,112,2005-01-15,2005-05-15,Rainfed,Organic Compost,None,0.58
FARM05493,Cameroon,"Rice, paddy",1297.1,1604.0,25.36,82959.0,6.37,52.7,61.09,6.29,111,2005-01-15,2005-05-15,Rainfed,Urea,None,0.41
FARM05494,Cameroon,Sorghum,1317.3,1604.0,25.36,82959.0,7.43,53.79,68.28,8.76,130,2005-01-15,2005-05-15,Rainfed,Organic Compost,None,0.48
FARM05495,Cameroon,Soybeans,613.1,1604.0,25.36,82959.0,6.75,45.97,58.94,6.89,107,2005-01-15,2005-05-15,Rainfed,Urea,None,0.34
FARM05496,Cameroon,Sweet potatoes,6758.6,1604.0,25.36,82959.0,5.45,40.88,63.4,6.96,116,2005-01-15,2005-05-15,Rainfed,Urea,None,0.73
FARM05497,Cameroon,Wheat,1339.0,1604.0,25.36,82959.0,6.76,46.98,55.15,6.09,143,2005-01-15,2005-05-15,Sprinkler,Organic Compost,None,0.5
FARM05498,Cameroon,Yams,9781.4,1604.0,25.36,82959.0,6.07,46.82,61.33,7.4,249,2005-01-15,2005-05-15,Rainfed,Organic Compost,None,0.67
FARM05499,Cameroon,Cassava,10754.8,1604.0,25.39,95022.0,5.23,49.34,64.28,7.72,276,2006-01-15,2006-05-15,Rainfed,NPK 15-15-15,None,0.76
FARM05500,Cameroon,Maize,2222.4,1604.0,25.39,95022.0,7.06,52.08,58.92,7.05,120,2006-01-15,2006-05-15,Sprinkler,DAP,None,0.49
FARM05501,Cameroon,Plantains and others,7986.0,1604.0,25.39,95022.0,6.75,38.34,65.5,7.15,129,2006-01-15,2006-05-15,Rainfed,Organic Compost,None,0.79
FARM05502,Cameroon,Potatoes,2733.0,1604.0,25.39,95022.0,5.99,44.56,64.7,7.09,107,2006-01-15,2006-05-15,Rainfed,Organic Compost,None,0.52
FARM05503,Cameroon,"Rice, paddy",1290.5,1604.0,25.39,95022.0,6.56,43.09,61.59,6.17,113,2006-01-15,2006-05-15,Rainfed,Urea,None,0.4
FARM05504,Cameroon,Sorghum,1256.1,1604.0,25.39,95022.0,6.22,54.17,59.93,8.05,127,2006-01-15,2006-05-15,Rainfed,Organic Compost,None,0.46
FARM05505,Cameroon,Soybeans,622.6,1604.0,25.39,95022.0,6.43,46.87,48.68,6.65,110,2006-01-15,2006-05-15,Rainfed,DAP,None,0.35
FARM05506,Cameroon,Sweet potatoes,6660.3,1604.0,25.39,95022.0,6.19,45.35,58.42,8.28,112,2006-01-15,2006-05-15,Rainfed,NPK 15-15-15,None,0.67
FARM05507,Cameroon,Wheat,1340.8,1604.0,25.39,95022.0,6.43,50.61,65.42,5.93,146,2006-01-15,2006-05-15,Rainfed,Organic Compost,None,0.48
FARM05508,Cameroon,Yams,10074.7,1604.0,25.39,95022.0,5.41,44.95,59.92,7.62,238,2006-01-15,2006-05-15,Rainfed,DAP,None,0.77
FARM05509,Cameroon,Cassava,14000.0,1604.0,25.49,91888.0,5.92,47.84,62.78,7.05,278,2007-01-15,2007-05-15,Rainfed,Organic Compost,None,0.8
FARM05510,Cameroon,Maize,2000.0,1604.0,25.49,91888.0,6.45,56.98,59.11,6.97,118,2007-01-15,2007-05-15,Rainfed,NPK 15-15-15,None,0.46
FARM05511,Cameroon,Plantains and others,12061.9,1604.0,25.49,91888.0,6.55,56.85,55.26,6.42,111,2007-01-15,2007-05-15,Rainfed,Organic Compost,Mild,0.75
FARM05512,Cameroon,Potatoes,2658.7,1604.0,25.49,91888.0,6.05,45.88,63.96,7.43,119,2007-01-15,2007-05-15,Rainfed,NPK 15-15-15,None,0.61
FARM05513,Cameroon,"Rice, paddy",1000.0,1604.0,25.49,91888.0,6.72,47.0,56.06,7.32,122,2007-01-15,2007-05-15,Rainfed,NPK 15-15-15,None,0.43
FARM05514,Cameroon,Sorghum,1439.7,1604.0,25.49,91888.0,6.79,44.82,59.92,8.33,131,2007-01-15,2007-05-15,Sprinkler,NPK 15-15-15,None,0.46
FARM05515,Cameroon,Soybeans,1200.2,1604.0,25.49,91888.0,7.02,38.28,62.43,7.43,122,2007-01-15,2007-05-15,Rainfed,NPK 15-15-15,Mild,0.38
FARM05516,Cameroon,Sweet potatoes,5503.2,1604.0,25.49,91888.0,5.37,53.1,58.26,6.57,127,2007-01-15,2007-05-15,Rainfed,DAP,None,0.69
FARM05517,Cameroon,Wheat,1342.6,1604.0,25.49,91888.0,6.98,60.02,67.25,6.55,131,2007-01-15,2007-05-15,Rainfed,NPK 15-15-15,None,0.43
FARM05518,Cameroon,Yams,12100.2,1604.0,25.49,91888.0,6.52,45.7,68.86,7.16,240,2007-01-15,2007-05-15,Rainfed,Urea,Mild,0.79
FARM05519,Cameroon,Cassava,14000.0,1604.0,25.42,88213.0,5.57,43.83,57.77,8.08,277,2008-01-15,2008-05-15,Rainfed,Organic Compost,None,0.78
FARM05520,Cameroon,Maize,2000.0,1604.0,25.42,88213.0,5.97,46.55,57.92,7.21,126,2008-01-15,2008-05-15,Rainfed,NPK 15-15-15,Mild,0.55
FARM05521,Cameroon,Plantains and others,12000.0,1604.0,25.42,88213.0,6.24,48.34,59.25,7.71,129,2008-01-15,2008-05-15,Rainfed,Urea,None,0.8
FARM05522,Cameroon,Potatoes,2636.7,1604.0,25.42,88213.0,5.57,42.24,65.62,7.13,106,2008-01-15,2008-05-15,Rainfed,Urea,None,0.62
FARM05523,Cameroon,"Rice, paddy",1000.0,1604.0,25.42,88213.0,6.76,45.62,62.95,5.39,118,2008-01-15,2008-05-15,Sprinkler,NPK 15-15-15,None,0.38
FARM05524,Cameroon,Sorghum,1432.3,1604.0,25.42,88213.0,6.48,52.99,64.01,7.26,133,2008-01-15,2008-05-15,Rainfed,Urea,None,0.42
FARM05525,Cameroon,Soybeans,1199.9,1604.0,25.42,88213.0,6.3,48.55,66.26,6.74,124,2008-01-15,2008-05-15,Sprinkler,NPK 15-15-15,None,0.42
FARM05526,Cameroon,Sweet potatoes,5998.9,1604.0,25.42,88213.0,5.69,54.27,57.38,7.88,130,2008-01-15,2008-05-15,Rainfed,Urea,None,0.73
FARM05527,Cameroon,Wheat,1344.4,1604.0,25.42,88213.0,7.19,49.74,63.01,8.22,137,2008-01-15,2008-05-15,Sprinkler,NPK 15-15-15,Mild,0.43
FARM05528,Cameroon,Yams,12100.0,1604.0,25.42,88213.0,6.3,42.47,61.21,8.34,231,2008-01-15,2008-05-15,Rainfed,Urea,None,0.68
FARM05529,Cameroon,Cassava,13952.8,1604.0,25.54,81377.0,5.94,45.03,62.66,6.76,270,2009-01-15,2009-05-15,Sprinkler,Organic Compost,None,0.83
FARM05530,Cameroon,Maize,1978.7,1604.0,25.54,81377.0,6.46,49.16,65.54,6.52,110,2009-01-15,2009-05-15,Sprinkler,Urea,None,0.5
FARM05531,Cameroon,Plantains and others,11967.1,1604.0,25.54,81377.0,6.95,42.3,60.34,6.64,130,2009-01-15,2009-05-15,Rainfed,Urea,None,0.81
FARM05532,Cameroon,Potatoes,2875.4,1604.0,25.54,81377.0,5.54,41.65,58.16,6.8,100,2009-01-15,2009-05-15,Sprinkler,Urea,None,0.6
FARM05533,Cameroon,"Rice, paddy",2747.5,1604.0,25.54,81377.0,6.96,41.95,56.74,7.03,119,2009-01-15,2009-05-15,Rainfed,Urea,None,0.54
FARM05534,Cameroon,Sorghum,1408.5,1604.0,25.54,81377.0,6.77,50.49,67.96,6.16,116,2009-01-15,2009-05-15,Rainfed,NPK 15-15-15,Moderate,0.44
FARM05535,Cameroon,Soybeans,831.0,1604.0,25.54,81377.0,6.54,46.08,60.78,6.91,116,2009-01-15,2009-05-15,Rainfed,Urea,Mild,0.44
FARM05536,Cameroon,Sweet potatoes,5428.8,1604.0,25.54,81377.0,6.78,53.83,55.47,5.27,119,2009-01-15,2009-05-15,Sprinkler,Organic Compost,None,0.67
FARM05537,Cameroon,Wheat,1346.3,1604.0,25.54,81377.0,6.43,43.43,66.48,8.62,130,2009-01-15,2009-05-15,Rainfed,NPK 15-15-15,None,0.48
FARM05538,Cameroon,Yams,12120.5,1604.0,25.54,81377.0,6.18,35.63,54.1,6.71,238,2009-01-15,2009-05-15,Rainfed,NPK 15-15-15,None,0.72
FARM05539,Cameroon,Cassava,14063.6,1604.0,25.7,116063.0,5.57,47.26,54.66,6.56,272,2010-01-15,2010-05-15,Rainfed,DAP,None,0.83
FARM05540,Cameroon,Maize,1974.1,1604.0,25.7,116063.0,6.83,56.15,59.6,7.33,113,2010-01-15,2010-05-15,Sprinkler,Organic Compost,None,0.47
FARM05541,Cameroon,Plantains and others,12225.0,1604.0,25.7,116063.0,7.09,48.09,58.68,7.57,125,2010-01-15,2010-05-15,Rainfed,NPK 15-15-15,None,0.77
FARM05542,Cameroon,Potatoes,4408.8,1604.0,25.7,116063.0,6.38,41.05,62.11,5.27,114,2010-01-15,2010-05-15,Rainfed,DAP,None,0.64
FARM05543,Cameroon,"Rice, paddy",1093.6,1604.0,25.7,116063.0,6.93,39.79,53.16,6.35,127,2010-01-15,2010-05-15,Rainfed,Organic Compost,None,0.36
FARM05544,Cameroon,Sorghum,1425.7,1604.0,25.7,116063.0,6.63,53.9,62.17,8.03,120,2010-01-15,2010-05-15,Rainfed,Organic Compost,Moderate,0.46
FARM05545,Cameroon,Soybeans,843.7,1604.0,25.7,116063.0,6.47,43.88,65.98,7.6,119,2010-01-15,2010-05-15,Rainfed,NPK 15-15-15,Mild,0.38
FARM05546,Cameroon,Sweet potatoes,5417.9,1604.0,25.7,116063.0,5.32,55.62,56.94,5.96,118,2010-01-15,2010-05-15,Sprinkler,Urea,None,0.68
FARM05547,Cameroon,Wheat,1384.6,1604.0,25.7,116063.0,7.51,51.18,59.35,7.85,147,2010-01-15,2010-05-15,Rainfed,NPK 15-15-15,None,0.43
FARM05548,Cameroon,Yams,11159.0,1604.0,25.7,116063.0,6.46,44.07,57.66,7.5,233,2010-01-15,2010-05-15,Sprinkler,Urea,None,0.76
FARM05549,Cameroon,Cassava,14572.0,1604.0,25.25,137247.0,5.83,53.75,62.37,6.25,280,2011-01-15,2011-05-15,Sprinkler,Organic Compost,None,0.8
FARM05550,Cameroon,Maize,2024.0,1604.0,25.25,137247.0,6.96,43.29,56.79,6.89,115,2011-01-15,2011-05-15,Sprinkler,Urea,Mild,0.51
FARM05551,Cameroon,Plantains and others,11085.7,1604.0,25.25,137247.0,6.16,40.68,56.29,5.54,127,2011-01-15,2011-05-15,Rainfed,Organic Compost,None,0.73
FARM05552,Cameroon,Potatoes,7394.0,1604.0,25.25,137247.0,5.94,43.58,60.48,7.55,107,2011-01-15,2011-05-15,Rainfed,DAP,None,0.66
FARM05553,Cameroon,"Rice, paddy",1346.4,1604.0,25.25,137247.0,6.44,51.76,62.44,8.13,111,2011-01-15,2011-05-15,Rainfed,NPK 15-15-15,None,0.46
FARM05554,Cameroon,Sorghum,1503.8,1604.0,25.25,137247.0,6.92,53.6,61.69,6.62,122,2011-01-15,2011-05-15,Rainfed,Urea,None,0.48
FARM05555,Cameroon,Soybeans,827.6,1604.0,25.25,137247.0,6.58,45.93,59.33,6.89,118,2011-01-15,2011-05-15,Rainfed,Organic Compost,None,0.42
FARM05556,Cameroon,Sweet potatoes,4990.0,1604.0,25.25,137247.0,5.39,38.57,63.76,7.23,123,2011-01-15,2011-05-15,Rainfed,Urea,None,0.68
FARM05557,Cameroon,Wheat,1397.1,1604.0,25.25,137247.0,6.83,40.13,62.01,6.71,140,2011-01-15,2011-05-15,Rainfed,NPK 15-15-15,None,0.46
FARM05558,Cameroon,Yams,10135.4,1604.0,25.25,137247.0,6.67,42.58,56.41,5.24,249,2011-01-15,2011-05-15,Rainfed,NPK 15-15-15,Mild,0.76
FARM05559,Cameroon,Cassava,11538.8,1604.0,25.18,137247.0,5.99,41.44,50.42,7.76,272,2012-01-15,2012-05-15,Sprinkler,NPK 15-15-15,None,0.8
FARM05560,Cameroon,Maize,1715.2,1604.0,25.18,137247.0,6.77,49.24,63.21,7.86,114,2012-01-15,2012-05-15,Rainfed,Organic Compost,None,0.48
FARM05561,Cameroon,Plantains and others,10852.6,1604.0,25.18,137247.0,6.13,57.6,60.1,7.44,111,2012-01-15,2012-05-15,Sprinkler,NPK 15-15-15,None,0.78
FARM05562,Cameroon,Potatoes,10344.4,1604.0,25.18,137247.0,5.79,51.89,56.68,8.01,104,2012-01-15,2012-05-15,Rainfed,NPK 15-15-15,None,0.73
FARM05563,Cameroon,"Rice, paddy",1421.7,1604.0,25.18,137247.0,6.28,42.27,67.62,6.79,122,2012-01-15,2012-05-15,Sprinkler,NPK 15-15-15,None,0.43
FARM05564,Cameroon,Sorghum,1488.3,1604.0,25.18,137247.0,6.96,44.44,67.58,7.25,134,2012-01-15,2012-05-15,Sprinkler,NPK 15-15-15,None,0.45
FARM05565,Cameroon,Soybeans,1398.0,1604.0,25.18,137247.0,6.61,45.42,66.22,6.34,120,2012-01-15,2012-05-15,Rainfed,NPK 15-15-15,None,0.49
FARM05566,Cameroon,Sweet potatoes,6000.0,1604.0,25.18,137247.0,6.14,49.86,62.03,6.2,115,2012-01-15,2012-05-15,Rainfed,DAP,None,0.76
FARM05567,Cameroon,Wheat,1230.8,1604.0,25.18,137247.0,7.18,55.77,48.47,5.85,149,2012-01-15,2012-05-15,Rainfed,Urea,None,0.42
FARM05568,Cameroon,Yams,11264.3,1604.0,25.18,137247.0,6.54,45.58,65.82,7.17,241,2012-01-15,2012-05-15,Rainfed,NPK 15-15-15,None,0.83
FARM05569,Cameroon,Cassava,14789.4,1604.0,25.45,137247.0,6.1,55.61,57.31,6.97,272,2013-01-15,2013-05-15,Sprinkler,Organic Compost,None,0.86
FARM05570,Cameroon,Maize,1978.7,1604.0,25.45,137247.0,6.15,58.43,58.75,7.77,111,2013-01-15,2013-05-15,Rainfed,NPK 15-15-15,None,0.59
FARM05571,Cameroon,Plantains and others,11944.4,1604.0,25.45,137247.0,6.5,46.16,64.59,5.5,113,2013-01-15,2013-05-15,Sprinkler,NPK 15-15-15,None,0.83
FARM05572,Cameroon,Potatoes,13356.0,1604.0,25.45,137247.0,5.61,46.04,69.12,7.11,116,2013-01-15,2013-05-15,Sprinkler,Urea,None,0.78
FARM05573,Cameroon,"Rice, paddy",1164.1,1604.0,25.45,137247.0,6.38,46.11,67.15,8.28,125,2013-01-15,2013-05-15,Rainfed,Organic Compost,None,0.39
FARM05574,Cameroon,Sorghum,1507.4,1604.0,25.45,137247.0,6.57,48.23,61.68,6.99,123,2013-01-15,2013-05-15,Rainfed,Urea,None,0.42
FARM05575,Cameroon,Soybeans,1322.8,1604.0,25.45,137247.0,6.26,46.12,63.94,7.62,121,2013-01-15,2013-05-15,Rainfed,Urea,None,0.43
FARM05576,Cameroon,Sweet potatoes,5428.8,1604.0,25.45,137247.0,5.21,52.34,56.57,8.77,119,2013-01-15,2013-05-15,Rainfed,NPK 15-15-15,None,0.65
FARM05577,Cameroon,Wheat,1287.9,1604.0,25.45,137247.0,6.57,40.17,54.5,7.99,135,2013-01-15,2013-05-15,Rainfed,NPK 15-15-15,None,0.38
