State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
Punjab,Soybean,Clay,NPK,94,21,24,184,29.46,2060,7.47,2002
Gujarat,Barley,Loamy,NPK,74,18,91,50,35.04,3014,6.13,2019
West Bengal,Barley,Clay,Organic,138,108,101,98,22.84,3341,6.54,2009
Rajasthan,Wheat,Red Soil,NPK,30,40,32,145,35.49,2479,6.38,2019
Gujarat,Wheat,Loamy,Urea,25,62,103,250,18.4,3332,7.65,2017
Punjab,Groundnut,Clay,Organic,132,116,54,206,32.63,1973,5.82,2020
Madhya Pradesh,Rice,Black Soil,Urea,70,28,71,75,36.63,5600,6.91,2020
Punjab,Soybean,Alluvial,Urea,63,113,24,136,31.12,1595,5.86,2020
Kerala,Barley,Clay,Compost,35,67,55,222,26.77,2656,7.26,2009
Punjab,Soybean,Red Soil,Organic,89,95,73,284,18.91,2192,7.76,2000
Gujarat,Wheat,Sandy,NPK,74,29,183,142,36.37,2165,6.59,2005
Tamil Nadu,Millets,Clay,Urea,109,63,193,293,27.4,1574,6.72,2010
Gujarat,Sugarcane,Sandy,Compost,83,36,181,151,18.6,64367,7.82,2001
Haryana,Groundnut,Black Soil,Organic,26,86,84,274,31.78,1474,6.8,2006
Karnataka,Groundnut,Clay,Organic,130,114,166,120,27.63,1777,6.72,2019
Uttar Pradesh,Soybean,Loamy,DAP,32,22,199,189,20.5,1594,6.95,2020
Tamil Nadu,Maize,Sandy,DAP,80,41,61,144,22.29,3050,7.22,2020
Odisha,Soybean,Black Soil,Urea,117,30,191,209,19.31,2278,5.77,2020
Uttar Pradesh,Rice,Loamy,DAP,88,13,97,167,29.47,5506,7.55,2017
Karnataka,Pulses,Loamy,Urea,55,103,66,197,30.42,1341,6.59,2020
Rajasthan,Soybean,Loamy,NPK,87,68,92,168,28.1,1685,5.68,2018
West Bengal,Barley,Loamy,Urea,25,76,75,100,34.31,2591,7.47,2003
Haryana,Pulses,Clay,DAP,80,24,159,130,35.19,1485,6.44,2012
Haryana,Soybean,Alluvial,NPK,105,58,29,85,30.3,1683,5.75,2017
Odisha,Barley,Clay,DAP,11,110,42,116,18.27,2306,7.08,2019
Tamil Nadu,Rice,Clay,Urea,19,90,81,178,31.88,5014,7.7,2024
Kerala,Millets,Black Soil,Compost,134,87,34,163,26.35,1394,7.72,2023
Telangana,Rice,Black Soil,Organic,90,34,55,204,29.3,3997,7.89,2012
Madhya Pradesh,Maize,Alluvial,DAP,79,57,82,294,30.96,2965,7.67,2018
Punjab,Rice,Black Soil,Urea,41,96,107,160,25.0,4486,5.51,2016
Tamil Nadu,Barley,Red Soil,NPK,114,103,66,217,36.31,3762,6.45,2000
West Bengal,Sugarcane,Alluvial,DAP,93,111,96,274,20.69,61072,7.55,2005
Madhya Pradesh,Rice,Black Soil,DAP,138,67,142,261,31.41,6902,6.42,2018
Haryana,Barley,Alluvial,Organic,67,15,64,191,18.11,2412,7.0,2019
Gujarat,Groundnut,Clay,Urea,54,35,70,149,36.46,1322,7.02,2000
West Bengal,Cotton,Clay,Compost,106,53,98,246,20.26,1647,6.41,2007
Karnataka,Cotton,Alluvial,NPK,32,116,17,264,19.91,1903,7.76,2016
Odisha,Wheat,Red Soil,Urea,32,107,25,158,24.66,2134,6.76,2020
Karnataka,Groundnut,Red Soil,NPK,88,104,185,169,25.47,1542,6.66,2021
Telangana,Millets,Alluvial,DAP,53,98,125,128,22.29,1710,7.99,2014
West Bengal,Soybean,Black Soil,Organic,36,91,70,183,29.69,2742,6.73,2017
Andhra Pradesh,Maize,Sandy,Organic,35,23,24,210,26.85,2476,5.95,2006
Andhra Pradesh,Cotton,Red Soil,Compost,106,16,159,232,18.7,1327,6.78,2015
Rajasthan,Barley,Loamy,Organic,45,19,140,68,24.39,3052,7.54,2006
Tamil Nadu,Pulses,Clay,DAP,118,35,111,176,34.18,1160,7.44,2016
Haryana,Rice,Alluvial,Compost,64,47,63,254,31.77,3989,7.47,2003
Haryana,Barley,Loamy,Urea,78,105,23,78,32.47,3494,7.27,2011
Punjab,Soybean,Alluvial,Organic,70,41,45,238,31.94,1497,6.14,2012
Punjab,Barley,Clay,Compost,139,83,114,247,24.22,3220,7.66,2003
Punjab,Groundnut,Clay,DAP,64,33,91,256,20.01,1643,7.73,2020
Gujarat,Millets,Red Soil,NPK,131,118,76,257,23.45,1323,5.99,2000
Uttar Pradesh,Soybean,Red Soil,NPK,106,111,19,73,34.61,1843,5.83,2000
Maharashtra,Rice,Loamy,DAP,89,30,58,200,37.57,5501,7.94,2006
Uttar Pradesh,Sugarcane,Alluvial,DAP,96,112,120,289,27.87,87630,7.67,2008
Karnataka,Groundnut,Clay,NPK,47,6,74,59,18.21,1636,7.73,2000
Uttar Pradesh,Cotton,Loamy,Compost,128,88,66,231,20.81,1737,7.72,2015
Gujarat,Soybean,Sandy,NPK,87,19,36,154,24.44,1807,6.85,2017
Rajasthan,Wheat,Loamy,DAP,44,8,122,218,29.56,3761,7.12,2021
Karnataka,Rice,Black Soil,Organic,88,90,142,226,19.52,6333,6.86,2014
Uttar Pradesh,Cotton,Loamy,Urea,76,54,80,194,36.83,1952,5.63,2005
Gujarat,Wheat,Black Soil,Organic,96,42,92,290,25.3,3299,7.36,2001
Maharashtra,Soybean,Black Soil,Organic,43,27,66,233,36.22,2707,6.76,2008
Uttar Pradesh,Barley,Black Soil,DAP,106,63,129,285,33.58,2206,7.12,2003
Gujarat,Cotton,Sandy,NPK,80,94,102,222,33.08,1670,6.76,2012
Telangana,Groundnut,Loamy,Compost,12,119,24,207,30.12,1634,6.73,2022
Punjab,Soybean,Loamy,Organic,67,79,120,221,30.52,2105,5.93,2021
Telangana,Wheat,Sandy,NPK,41,32,110,287,30.74,3510,6.2,2010
Haryana,Barley,Clay,Compost,40,70,128,251,30.56,2806,5.9,2012
Punjab,Wheat,Red Soil,Organic,91,12,85,104,29.06,2214,5.99,2010
Haryana,Cotton,Loamy,Compost,52,33,167,196,37.69,1473,7.93,2018
Bihar,Sugarcane,Red Soil,NPK,114,15,29,206,32.62,66528,5.88,2007
Odisha,Sugarcane,Alluvial,Urea,10,105,174,51,33.51,74231,6.17,2006
Telangana,Cotton,Alluvial,NPK,70,22,140,213,35.42,1446,6.98,2024
Odisha,Sugarcane,Sandy,DAP,23,59,82,196,22.32,58987,7.03,2015
Odisha,Millets,Alluvial,Compost,15,54,131,184,19.69,1449,5.88,2002
Maharashtra,Cotton,Alluvial,Urea,112,18,50,203,27.65,2042,7.48,2016
Punjab,Sugarcane,Clay,Compost,19,78,176,256,28.27,86674,7.46,2017
Bihar,Maize,Clay,Compost,80,103,163,160,34.55,4296,6.09,2014
Haryana,Rice,Clay,Organic,99,13,139,297,26.87,6210,6.22,2016
Gujarat,Soybean,Alluvial,DAP,135,103,32,87,29.4,1849,7.84,2010
Karnataka,Soybean,Sandy,Compost,106,15,32,180,28.53,2803,7.56,2004
Gujarat,Barley,Black Soil,NPK,83,67,153,151,18.78,2534,7.24,2015
Karnataka,Pulses,Black Soil,NPK,124,112,18,257,30.29,1302,5.71,2014
Telangana,Maize,Red Soil,Organic,60,80,22,243,34.53,3141,6.55,2009
Andhra Pradesh,Wheat,Black Soil,DAP,65,71,165,144,21.16,3861,6.9,2013
Gujarat,Maize,Black Soil,DAP,50,57,164,141,29.87,2828,5.97,2001
Uttar Pradesh,Rice,Clay,NPK,41,43,60,120,29.86,3168,6.62,2015
Uttar Pradesh,Wheat,Clay,Urea,24,82,73,271,21.29,2961,7.0,2018
Tamil Nadu,Soybean,Alluvial,Organic,71,60,61,220,20.48,1640,6.32,2007
Punjab,Barley,Red Soil,Organic,37,32,47,299,37.56,3322,7.45,2014
Karnataka,Wheat,Loamy,NPK,73,79,109,239,25.87,3114,7.6,2009
Karnataka,Barley,Red Soil,NPK,139,43,155,248,22.55,3091,6.31,2004
West Bengal,Groundnut,Red Soil,Urea,136,29,60,277,21.44,2487,7.6,2019
Rajasthan,Soybean,Sandy,Urea,45,25,146,270,31.33,2216,5.76,2015
Punjab,Cotton,Alluvial,DAP,123,14,150,73,30.17,1179,7.59,2020
Maharashtra,Rice,Sandy,Organic,22,47,177,293,30.85,4317,5.88,2021
Tamil Nadu,Millets,Red Soil,Organic,24,19,64,216,19.77,1252,5.71,2011
Maharashtra,Soybean,Red Soil,NPK,98,87,118,117,35.84,2791,7.1,2022
Telangana,Barley,Red Soil,DAP,31,52,180,177,25.78,2985,6.68,2012
Telangana,Rice,Black Soil,Organic,83,90,53,142,24.27,5935,7.77,2008
Maharashtra,Barley,Sandy,DAP,34,25,119,93,27.24,1699,6.41,2016
Maharashtra,Groundnut,Red Soil,DAP,110,64,170,182,25.8,1578,6.22,2019
Bihar,Barley,Clay,NPK,126,112,161,104,35.24,2174,6.75,2011
Punjab,Sugarcane,Alluvial,DAP,50,100,173,270,36.55,80536,6.64,2024
Maharashtra,Groundnut,Alluvial,Urea,97,54,137,207,24.07,1374,6.36,2004
Uttar Pradesh,Cotton,Clay,Urea,119,27,114,78,35.25,965,7.23,2023
Rajasthan,Barley,Alluvial,Compost,129,17,19,203,33.6,3056,7.4,2011
Rajasthan,Pulses,Black Soil,NPK,106,73,109,260,36.58,952,7.63,2000
Odisha,Soybean,Black Soil,Compost,66,8,157,203,22.92,2436,7.93,2019
Andhra Pradesh,Sugarcane,Loamy,Urea,139,96,118,86,29.52,71558,6.17,2015
Telangana,Millets,Loamy,Compost,105,82,117,268,23.49,1152,7.29,2011
Karnataka,Barley,Loamy,NPK,130,76,149,271,34.45,2815,6.49,2008
West Bengal,Pulses,Alluvial,NPK,71,13,199,164,18.13,1459,7.19,2012
Kerala,Sugarcane,Black Soil,DAP,77,119,155,230,29.28,68437,6.69,2016
Karnataka,Wheat,Black Soil,Organic,90,39,103,207,24.78,2768,7.98,2016
Andhra Pradesh,Groundnut,Black Soil,DAP,26,105,72,52,24.45,1418,7.32,2003
West Bengal,Wheat,Clay,NPK,126,25,93,171,30.88,2564,7.88,2013
Bihar,Maize,Black Soil,Urea,59,62,34,92,35.0,3892,7.59,2018
Punjab,Sugarcane,Clay,Urea,121,22,21,56,30.17,59985,7.76,2006
Gujarat,Cotton,Loamy,DAP,103,101,158,174,35.03,2047,7.54,2002
Punjab,Barley,Loamy,NPK,94,76,34,98,23.3,2380,6.65,2000
Karnataka,Maize,Alluvial,Urea,83,119,20,170,28.38,4149,6.13,2011
Karnataka,Rice,Loamy,NPK,118,117,73,122,27.0,5688,6.43,2014
West Bengal,Rice,Alluvial,Urea,27,85,135,294,18.25,5105,5.55,2010
West Bengal,Rice,Red Soil,NPK,51,47,59,90,29.12,4708,6.81,2009
Telangana,Cotton,Red Soil,Compost,110,99,199,155,31.21,1368,6.76,2001
Bihar,Cotton,Sandy,NPK,54,102,98,126,29.82,1583,6.81,2003
Telangana,Soybean,Alluvial,NPK,91,10,108,256,32.7,1902,7.94,2016
Andhra Pradesh,Cotton,Sandy,DAP,26,90,125,231,29.41,1604,7.78,2016
Maharashtra,Wheat,Sandy,Compost,82,82,105,176,19.35,3836,5.9,2007
Punjab,Rice,Red Soil,Organic,23,71,186,246,20.34,4002,6.42,2022
West Bengal,Soybean,Alluvial,DAP,91,16,23,270,29.91,2722,6.56,2013
Haryana,Sugarcane,Red Soil,Organic,129,104,10,276,23.5,67780,6.4,2023
Andhra Pradesh,Groundnut,Sandy,Urea,129,16,34,140,19.61,1978,7.5,2003
Uttar Pradesh,Millets,Alluvial,Organic,56,113,196,204,26.59,1824,6.81,2005
Bihar,Pulses,Sandy,NPK,116,70,81,57,29.07,1249,6.93,2018
Karnataka,Cotton,Black Soil,Organic,117,6,78,81,24.58,1572,7.63,2023
Telangana,Rice,Alluvial,DAP,18,19,142,261,32.39,5238,7.51,2003
Andhra Pradesh,Soybean,Alluvial,DAP,88,27,114,113,30.86,2829,5.83,2002
Kerala,Rice,Sandy,Organic,24,33,156,187,24.66,3786,7.28,2019
Punjab,Rice,Black Soil,DAP,28,85,32,62,33.07,4266,6.59,2005
West Bengal,Groundnut,Clay,DAP,99,100,18,240,30.95,1717,6.24,2022
Karnataka,Rice,Red Soil,Organic,35,11,127,142,30.73,3078,5.63,2006
Gujarat,Groundnut,Sandy,Compost,101,98,103,212,29.06,1365,6.72,2013
Kerala,Cotton,Alluvial,Compost,91,32,187,110,18.25,1277,6.39,2011
Bihar,Maize,Red Soil,Urea,51,18,153,231,31.91,3156,6.13,2015
Andhra Pradesh,Wheat,Red Soil,DAP,28,48,42,57,25.52,3700,7.24,2019
Tamil Nadu,Rice,Red Soil,Organic,26,34,139,78,36.82,4776,7.42,2007
Karnataka,Wheat,Clay,DAP,85,85,23,144,34.33,3123,6.11,2022
Punjab,Pulses,Loamy,NPK,72,36,10,90,29.74,581,5.62,2001
Odisha,Cotton,Sandy,DAP,116,114,99,207,23.05,1428,7.62,2012
Haryana,Rice,Loamy,DAP,58,74,195,263,22.08,4669,5.52,2007
Madhya Pradesh,Maize,Loamy,Compost,64,119,98,198,24.81,3377,7.84,2024
Kerala,Wheat,Loamy,Organic,108,92,153,253,27.52,2191,7.07,2020
Maharashtra,Pulses,Red Soil,DAP,61,10,99,60,23.92,1083,6.3,2019
Madhya Pradesh,Maize,Black Soil,Compost,109,31,184,51,28.29,4336,6.12,2015
Punjab,Maize,Red Soil,Urea,126,86,181,227,21.32,4004,5.52,2003
Uttar Pradesh,Sugarcane,Red Soil,Compost,127,92,23,218,37.52,82100,6.09,2015
Telangana,Pulses,Alluvial,Compost,16,105,161,243,20.17,1249,5.84,2019
Uttar Pradesh,Millets,Alluvial,Compost,55,28,120,275,36.6,868,7.03,2005
Odisha,Maize,Loamy,DAP,55,106,192,180,36.24,2139,5.92,2003
Kerala,Sugarcane,Red Soil,DAP,109,38,152,129,28.5,83202,6.82,2015
Maharashtra,Cotton,Loamy,Urea,63,44,92,228,32.47,1921,6.98,2022
Tamil Nadu,Soybean,Alluvial,NPK,71,51,81,245,26.71,2246,6.25,2022
Odisha,Rice,Black Soil,NPK,138,83,171,136,30.58,4340,5.59,2020
Kerala,Soybean,Sandy,NPK,58,79,139,298,24.81,2237,5.59,2012
Rajasthan,Rice,Loamy,Urea,34,90,36,291,24.03,3717,5.57,2004
Madhya Pradesh,Cotton,Black Soil,NPK,19,28,83,261,29.55,1352,7.35,2014
Odisha,Wheat,Sandy,NPK,127,69,108,202,27.95,2891,6.3,2007
Madhya Pradesh,Sugarcane,Clay,Compost,101,22,81,207,29.58,70087,7.49,2006
Karnataka,Millets,Loamy,DAP,89,48,32,259,23.74,756,6.58,2013
Uttar Pradesh,Soybean,Loamy,DAP,80,80,77,155,25.34,1599,6.63,2006
Karnataka,Rice,Clay,Compost,87,61,151,188,19.69,5535,6.78,2021
Haryana,Barley,Clay,Compost,52,111,126,270,19.06,2685,7.28,2006
Rajasthan,Soybean,Loamy,Compost,99,32,115,66,23.07,2296,6.18,2022
Maharashtra,Barley,Clay,DAP,87,108,102,203,19.5,2649,5.8,2017
Tamil Nadu,Wheat,Red Soil,NPK,35,75,74,297,20.09,4052,6.89,2009
Bihar,Wheat,Sandy,Compost,130,27,77,298,34.23,2186,6.32,2017
Madhya Pradesh,Pulses,Sandy,Urea,54,89,137,72,18.8,698,6.61,2013
Tamil Nadu,Cotton,Sandy,Compost,72,38,72,233,31.16,1878,7.12,2009
Madhya Pradesh,Maize,Red Soil,Organic,77,15,122,229,23.45,2352,6.74,2006
Punjab,Barley,Clay,Compost,11,90,99,97,35.4,2515,7.05,2006
Odisha,Soybean,Black Soil,DAP,117,110,90,69,27.69,2419,6.86,2006
Haryana,Maize,Clay,Compost,39,39,112,286,24.11,4006,7.35,2004
Uttar Pradesh,Pulses,Loamy,Organic,58,97,169,51,28.34,1471,7.26,2000
Bihar,Cotton,Alluvial,Urea,53,46,125,137,25.64,2014,6.84,2013
West Bengal,Barley,Sandy,NPK,22,32,22,80,29.27,1714,7.2,2017
Madhya Pradesh,Rice,Clay,Compost,87,86,133,204,20.3,5969,7.68,2012
Tamil Nadu,Maize,Black Soil,Organic,135,82,156,179,37.9,2741,6.58,2024
Haryana,Maize,Loamy,Organic,107,86,161,298,26.51,3704,6.53,2007
Gujarat,Groundnut,Red Soil,Urea,35,96,97,127,24.96,1941,7.41,2007
Bihar,Millets,Red Soil,DAP,57,28,20,53,32.18,809,6.96,2009
Gujarat,Millets,Black Soil,Compost,75,12,196,290,25.28,1422,5.68,2016
Karnataka,Maize,Loamy,Organic,96,110,24,190,34.64,2292,7.73,2005
Uttar Pradesh,Sugarcane,Sandy,Urea,88,113,19,277,27.08,64971,5.58,2014
Telangana,Maize,Clay,NPK,32,57,50,212,32.37,3842,7.37,2014
Telangana,Rice,Loamy,Organic,90,76,164,285,20.16,4506,7.4,2024
West Bengal,Maize,Red Soil,Urea,57,8,197,295,34.89,2049,7.88,2015
Punjab,Rice,Black Soil,DAP,133,95,82,177,32.69,5125,5.64,2007
Tamil Nadu,Rice,Black Soil,DAP,139,104,61,296,22.24,6707,6.99,2018
Kerala,Sugarcane,Clay,Organic,93,9,137,249,20.92,57606,6.57,2019
West Bengal,Rice,Black Soil,Organic,29,101,37,243,24.33,4328,6.33,2014
Odisha,Soybean,Black Soil,Compost,55,53,74,183,37.48,2669,5.73,2002
Odisha,Cotton,Loamy,Urea,21,102,26,80,23.14,989,6.91,2005
Tamil Nadu,Wheat,Sandy,Organic,49,34,104,295,27.12,2432,6.7,2024
Kerala,Maize,Clay,Compost,75,76,181,187,18.62,3815,5.76,2007
Maharashtra,Rice,Loamy,Compost,109,107,147,285,25.94,5624,7.03,2015
Punjab,Maize,Sandy,Organic,87,67,72,70,29.41,4023,7.34,2014
Haryana,Rice,Loamy,DAP,25,51,184,283,37.03,3822,7.42,2012
Madhya Pradesh,Maize,Alluvial,Urea,92,30,47,251,28.32,4261,7.76,2019
Kerala,Wheat,Loamy,Urea,53,61,79,72,34.35,3846,6.52,2014
Telangana,Rice,Black Soil,DAP,109,41,113,180,28.93,4195,7.88,2017
Bihar,Sugarcane,Sandy,Organic,31,102,62,209,18.83,56151,7.66,2012
Maharashtra,Barley,Clay,Urea,27,11,181,197,24.3,3316,6.24,2023
Madhya Pradesh,Wheat,Clay,Organic,21,44,128,251,29.5,2640,5.9,2007
Madhya Pradesh,Soybean,Sandy,Organic,132,96,83,78,36.97,2486,6.59,2013
Maharashtra,Cotton,Black Soil,Compost,126,43,63,154,35.15,1685,6.5,2010
Karnataka,Soybean,Red Soil,DAP,60,66,29,101,22.57,2524,6.94,2005
Gujarat,Maize,Loamy,Organic,80,107,88,164,22.41,3927,6.96,2023
Madhya Pradesh,Wheat,Black Soil,NPK,57,96,40,223,22.03,2276,7.37,2024
Maharashtra,Rice,Alluvial,DAP,28,82,144,211,36.41,3883,6.77,2000
Kerala,Rice,Sandy,Urea,15,57,67,150,35.02,5199,5.76,2024
Maharashtra,Soybean,Loamy,Compost,93,118,114,133,33.47,2701,7.65,2001
Rajasthan,Wheat,Clay,Urea,62,106,19,110,25.85,3266,6.27,2012
West Bengal,Groundnut,Red Soil,Urea,116,8,19,174,28.08,2541,7.93,2000
Andhra Pradesh,Wheat,Alluvial,DAP,110,110,48,249,27.28,3815,5.79,2023
Karnataka,Cotton,Clay,Urea,57,86,165,120,23.07,1177,7.9,2023
Uttar Pradesh,Barley,Sandy,Organic,78,112,167,119,28.09,3313,5.73,2003
Andhra Pradesh,Cotton,Loamy,Urea,20,116,46,188,18.63,1532,6.08,2023
West Bengal,Pulses,Sandy,Compost,131,29,128,157,20.65,539,5.62,2022
West Bengal,Wheat,Loamy,Compost,78,11,76,259,35.7,2503,7.26,2001
West Bengal,Barley,Black Soil,NPK,32,106,52,292,33.01,2934,7.63,2020
Andhra Pradesh,Maize,Red Soil,Compost,46,32,61,283,26.45,4030,6.59,2019
Tamil Nadu,Sugarcane,Black Soil,Urea,18,73,110,298,28.33,64388,7.82,2015
Gujarat,Sugarcane,Black Soil,Compost,24,71,65,270,25.4,63381,6.98,2002
Maharashtra,Rice,Sandy,DAP,102,112,85,266,32.79,5545,7.08,2016
Bihar,Rice,Red Soil,Compost,26,99,77,240,33.66,5478,7.61,2004
Gujarat,Rice,Loamy,Organic,81,115,146,70,33.24,5068,6.24,2007
Telangana,Rice,Loamy,DAP,130,110,115,287,32.43,5843,6.39,2011
Kerala,Soybean,Alluvial,NPK,20,24,134,180,22.1,2127,7.76,2024
Punjab,Wheat,Clay,Organic,81,87,101,131,24.76,2495,7.75,2022
Tamil Nadu,Rice,Alluvial,Urea,115,116,32,137,27.39,4792,7.94,2011
Uttar Pradesh,Rice,Alluvial,Urea,134,15,118,160,24.62,4575,7.75,2000
Gujarat,Sugarcane,Loamy,Urea,44,108,70,279,33.07,85070,5.82,2000
Bihar,Maize,Sandy,Organic,128,71,177,59,24.59,2654,7.56,2014
Odisha,Pulses,Black Soil,Organic,23,91,53,204,20.78,1247,6.52,2016
West Bengal,Groundnut,Black Soil,Organic,23,11,161,61,25.98,1307,7.98,2001
Madhya Pradesh,Wheat,Black Soil,DAP,19,27,188,56,37.56,2491,6.68,2016
Telangana,Wheat,Red Soil,DAP,47,65,195,194,22.52,2462,6.88,2019
Punjab,Rice,Loamy,Urea,117,75,170,242,30.23,4944,6.82,2008
Karnataka,Barley,Sandy,Compost,128,114,25,241,26.65,2508,6.3,2011
Uttar Pradesh,Groundnut,Red Soil,Urea,43,38,31,299,19.44,2007,5.69,2003
Kerala,Sugarcane,Clay,NPK,19,110,66,163,27.75,67434,7.74,2012
Punjab,Wheat,Sandy,DAP,131,23,71,75,32.02,3848,7.51,2003
West Bengal,Rice,Alluvial,Organic,124,62,116,64,28.25,4633,5.85,2006
Madhya Pradesh,Maize,Sandy,DAP,10,13,80,292,35.41,2828,7.44,2013
Tamil Nadu,Wheat,Sandy,Organic,21,52,99,82,23.78,2873,7.06,2008
Madhya Pradesh,Rice,Black Soil,NPK,112,119,81,111,19.74,6077,6.52,2022
Andhra Pradesh,Wheat,Sandy,NPK,13,86,79,278,36.7,2208,6.14,2000
Madhya Pradesh,Soybean,Alluvial,DAP,107,45,39,96,25.56,1839,7.65,2000
Andhra Pradesh,Wheat,Alluvial,Organic,115,52,112,144,29.51,4235,7.25,2019
Telangana,Soybean,Loamy,NPK,94,49,160,84,33.81,1738,6.87,2003
Tamil Nadu,Wheat,Sandy,Urea,130,110,41,242,24.49,4215,7.02,2000
Kerala,Rice,Black Soil,Urea,91,29,95,249,32.3,4314,5.73,2021
Haryana,Rice,Sandy,Organic,28,82,66,125,20.72,4636,6.68,2009
West Bengal,Maize,Clay,DAP,139,112,118,172,23.83,2819,5.98,2001
Andhra Pradesh,Soybean,Clay,NPK,21,29,18,295,20.91,2568,6.02,2020
Karnataka,Maize,Black Soil,DAP,90,23,40,298,34.2,3429,7.15,2023
Madhya Pradesh,Groundnut,Loamy,Urea,83,43,80,132,22.46,1577,7.78,2014
Madhya Pradesh,Wheat,Loamy,NPK,107,83,146,74,32.33,2293,6.51,2002
Karnataka,Barley,Alluvial,DAP,15,84,22,106,36.83,2143,6.02,2024
Kerala,Soybean,Alluvial,Compost,134,31,195,81,28.54,2693,7.12,2022
Odisha,Rice,Red Soil,Organic,60,108,140,112,28.79,4128,7.68,2008
Telangana,Rice,Black Soil,Organic,20,78,44,61,27.21,3243,7.37,2016
Maharashtra,Wheat,Sandy,Compost,136,67,30,112,24.52,3633,7.67,2020
Haryana,Groundnut,Black Soil,Urea,82,72,73,126,27.5,1689,6.84,2012
Uttar Pradesh,Groundnut,Red Soil,NPK,11,119,104,141,30.04,1148,7.38,2002
Bihar,Barley,Alluvial,Organic,17,23,189,50,37.68,1762,5.85,2003
Andhra Pradesh,Wheat,Black Soil,Compost,133,32,43,228,36.72,3745,6.37,2003
Karnataka,Wheat,Black Soil,Compost,62,89,130,119,35.21,3983,6.47,2010
Bihar,Wheat,Alluvial,Urea,19,115,172,185,35.75,1937,6.78,2006
Tamil Nadu,Maize,Red Soil,Urea,121,82,24,245,27.35,4125,7.82,2010
Kerala,Cotton,Alluvial,DAP,17,37,129,182,31.13,1160,7.69,2023
Andhra Pradesh,Wheat,Loamy,Organic,45,116,105,266,35.87,2447,5.84,2010
Maharashtra,Rice,Sandy,DAP,115,14,15,135,25.86,4977,5.93,2009
Bihar,Millets,Alluvial,Compost,23,87,118,269,37.2,949,6.39,2004
Tamil Nadu,Groundnut,Red Soil,NPK,95,34,106,88,26.31,1873,6.23,2012
Punjab,Wheat,Clay,NPK,59,26,41,72,30.01,3822,7.04,2011
West Bengal,Wheat,Loamy,Urea,29,7,189,117,32.17,3758,7.76,2009
Madhya Pradesh,Rice,Clay,NPK,96,105,92,229,36.97,4145,7.91,2006
Punjab,Wheat,Alluvial,NPK,138,109,165,53,22.9,2936,7.13,2018
Andhra Pradesh,Rice,Loamy,NPK,47,86,127,175,32.9,5821,7.6,2018
Maharashtra,Sugarcane,Sandy,Compost,53,79,88,224,28.41,64194,6.81,2018
Haryana,Maize,Alluvial,NPK,95,52,87,70,23.38,3758,6.02,2011
Bihar,Wheat,Sandy,NPK,53,6,156,278,33.51,2223,6.81,2019
Telangana,Barley,Black Soil,NPK,83,80,116,233,29.03,2456,6.89,2021
West Bengal,Rice,Clay,DAP,128,58,135,154,31.2,4337,7.36,2014
Andhra Pradesh,Rice,Loamy,Compost,131,10,24,115,24.46,5934,6.05,2004
Kerala,Soybean,Sandy,Urea,60,111,143,236,27.62,2663,6.42,2023
Karnataka,Pulses,Red Soil,DAP,47,44,82,56,30.33,826,6.41,2013
Telangana,Cotton,Sandy,Organic,60,112,110,98,26.09,1801,7.9,2011
Telangana,Groundnut,Red Soil,Compost,19,97,107,65,21.98,1422,6.61,2020
Telangana,Soybean,Alluvial,Compost,129,98,175,194,37.2,1764,7.39,2010
Gujarat,Maize,Loamy,Organic,79,6,35,133,28.22,3796,7.38,2004
Andhra Pradesh,Groundnut,Sandy,Organic,94,77,101,299,32.65,1957,6.16,2015
West Bengal,Cotton,Sandy,Organic,66,115,134,136,26.22,1273,6.93,2017
Madhya Pradesh,Soybean,Loamy,Urea,135,6,188,147,25.1,2019,7.74,2011
Madhya Pradesh,Soybean,Sandy,NPK,48,97,82,124,26.14,2755,6.69,2004
Andhra Pradesh,Rice,Red Soil,Compost,42,101,132,83,26.18,5110,7.86,2015
Tamil Nadu,Maize,Sandy,NPK,27,78,62,210,28.87,3551,6.04,2011
Gujarat,Wheat,Clay,NPK,66,102,193,75,28.86,2070,5.69,2022
Karnataka,Rice,Alluvial,Organic,105,112,196,115,27.93,5463,7.73,2001
Telangana,Maize,Black Soil,Urea,57,59,87,174,20.71,2392,7.62,2005
Telangana,Soybean,Red Soil,DAP,51,76,101,112,27.91,2770,7.98,2022
Andhra Pradesh,Wheat,Clay,Urea,36,105,195,136,21.39,1820,7.2,2020
Tamil Nadu,Pulses,Alluvial,NPK,83,64,97,90,20.54,887,7.84,2024
Madhya Pradesh,Rice,Loamy,Urea,119,101,22,263,36.62,5318,7.57,2003
Madhya Pradesh,Groundnut,Red Soil,Organic,41,115,52,235,30.08,2094,7.61,2012
Maharashtra,Rice,Black Soil,DAP,35,10,85,147,31.17,5060,6.92,2009
Andhra Pradesh,Wheat,Alluvial,Organic,34,112,60,173,26.03,2513,6.46,2016
Gujarat,Rice,Black Soil,DAP,84,108,28,128,36.15,4854,7.84,2013
Odisha,Cotton,Loamy,NPK,32,113,158,59,30.74,1737,6.58,2023
Gujarat,Cotton,Loamy,DAP,66,23,131,64,33.36,848,6.85,2014
Kerala,Cotton,Red Soil,DAP,135,100,33,91,25.37,1764,6.62,2007
Madhya Pradesh,Millets,Sandy,DAP,96,31,35,142,37.16,1830,6.91,2022
