Year,State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield
2003,Mizoram,Other  Rabi pulses,Rabi,1925.0,2499.5,190536.5,462.0,0.92
2019,Meghalaya,Onion,Rabi,561.0,3844.4,96357.36,207.57,8.431
2009,Uttar Pradesh,Sugarcane,Kharif,1977324.0,585.8,308106625.7,336145.08,50.346338
2011,Kerala,Sesamum,Kharif,196.56,3035.1,32927.73,64.86,0.25375
2012,Meghalaya,Tobacco,Rabi,775.0,2945.3,116870.0,240.25,1.0175
2003,Maharashtra,Rapeseed &Mustard,Rabi,10300.0,1037.4,1019494.0,2472.0,0.222963
2011,Nagaland,Tapioca,Kharif,1710.0,1544.4,286459.2,564.3,23.469091
2005,Uttar Pradesh,Soyabean,Kharif,3852.0,751.9,461931.84,808.92,0.775
2008,Karnataka,Ragi,Kharif,797944.0,1164.1,114137909.8,71814.96,1.284286
2006,West Bengal,Mustard,Rabi,549335.08,2194.0,83581.82,1413.07,1.355831
2014,West Bengal,Gram,Rabi,26177.0,1483.5,3951679.92,8638.41,1.147143
2015,Andhra Pradesh,Rice,Kharif,1398884.0,940.7,220897772.4,461631.72,3.091538
2005,Telangana,Soyabean,Kharif,576698.82,980.7,130244.58,4469.57,1.317285
2015,Himachal Pradesh,Coriander,Rabi,118.0,1223.2,18633.38,38.94,0.514444
2016,Uttar Pradesh,Turmeric,Rabi,1146.0,965.3,175624.5,401.1,1.253438
2006,Tamil Nadu,Cardamom,Whole Year,4441.0,927.9,567160.11,977.02,0.0675
2005,Tamil Nadu,Sesamum,Kharif,65118.0,1364.1,7808950.56,13674.78,0.414444
2006,Himachal Pradesh,Other Kharif pulses,Kharif,6217.0,1207.0,793973.07,1367.74,0.901
2009,Madhya Pradesh,Ginger,Whole Year,7797.0,904.1,1214928.54,1325.49,1.159762
2012,Manipur,Dry chillies,Whole Year,8579.0,1176.7,1293713.2,2659.49,7.9
2001,Madhya Pradesh,Banana,Whole Year,18145.0,955.0,1853148.85,4717.7,26.1695
2015,Telangana,Cowpea(Lobia),Kharif,2167.0,747.9,342190.97,715.11,0.511667
2017,Haryana,Potato,Whole Year,34718.0,417.1,5466001.92,13192.84,26.061429
2007,Bihar,Wheat,Rabi,2131232.0,1600.2,284306348.8,340997.12,2.228421
2000,Chhattisgarh,Coriander,Whole Year,3415.0,896.4,335250.55,887.9,0.256
2020,Maharashtra,Groundnut,Kharif,470582.67,1198.9,120045.18,1466.22,1.93093
2013,Tamil Nadu,Potato,Kharif,3875.0,740.9,559898.75,1046.25,18.373333
2008,Bihar,Sugarcane,Whole Year,111902.0,1197.7,16006462.08,10071.18,38.28871
2018,Karnataka,Wheat,Rabi,157525.0,1419.1,25550555.0,55133.75,0.960741
2011,Odisha,Urad,Autumn,29714.0,1346.2,4977689.28,9805.62,0.209524
2005,West Bengal,Masoor,Rabi,61493.0,1650.1,7374240.56,12913.53,0.612778
2009,Puducherry,Coriander,Rabi,6.0,1434.6,934.92,1.02,0.5
2004,Punjab,Groundnut,Kharif,4300.0,366.4,465862.0,903.0,0.82
2016,Madhya Pradesh,Groundnut,Kharif,254000.0,1048.4,38925500.0,88900.0,1.393158
2011,Andhra Pradesh,Cowpea(Lobia),Kharif,4718.0,861.9,790359.36,1556.94,0.225
2014,Maharashtra,Other  Rabi pulses,Rabi,103300.0,1001.6,15594168.0,34089.0,0.327037
2009,Jammu and Kashmir,Sesamum,Kharif,4624.0,751.7,720511.68,786.08,0.443333
2003,Karnataka,Banana,Whole Year,33220.0,867.6,3288115.6,7972.8,14.362222
2005,Karnataka,Ragi,Kharif,883984.0,1316.2,106007361.3,185636.64,1.4915
2000,Bihar,Sweet potato,Whole Year,5009.0,1207.0,491733.53,1302.34,12.088333
2017,West Bengal,Tobacco,Whole Year,13985.0,1830.0,2201798.4,5314.3,1.29
2002,Nagaland,Sugarcane,Whole Year,2000.0,1536.6,189340.0,500.0,55.631667
2001,Punjab,Barley,Rabi,23000.0,479.3,2348990.0,5980.0,3.26
2006,Maharashtra,Wheat,Rabi,1230800.0,1439.4,157185468.0,270776.0,1.451667
2003,Karnataka,Urad,Kharif,129237.0,867.6,12791878.26,31016.88,0.224444
2001,Andhra Pradesh,Wheat,Rabi,13793.0,928.4,1408679.09,3586.18,0.6275
2011,Assam,Moong(Green Gram),Rabi,11512.0,1743.4,1928490.24,3798.96,0.524074
2001,West Bengal,Turmeric,Whole Year,12794.0,1556.6,1306651.22,3326.44,1.602222
2015,Nagaland,Sunflower,Kharif,340.0,1308.3,53689.4,112.2,0.788333
2010,Haryana,Cotton(lint),Kharif,493228.0,639.2,81930103.08,118374.72,2.095
2013,Delhi,Sugarcane,Whole Year,3.0,706.8,433.47,0.81,75.33
2019,Andhra Pradesh,Rice,Kharif,1526425.0,899.2,262178758.0,564777.25,3.517692
2000,Maharashtra,Mango,Whole Year,94159.5,703.9,6397.8,394.2,6.160423
2005,Goa,Sugarcane,Whole Year,1110.0,3392.8,133111.2,233.1,53.16
2017,Andhra Pradesh,Arecanut,Kharif,697.0,868.2,109735.68,264.86,5.5825
2019,Uttarakhand,Rice,Kharif,240411.0,1378.9,41292993.36,88952.07,1.933846
2013,Madhya Pradesh,Ragi,Kharif,336.0,1451.4,48548.64,90.72,0.463333
2010,Mizoram,Maize,Kharif,8721.0,2738.7,1448645.31,2093.04,1.62125
2008,Jharkhand,Ragi,Autumn,29768.73,1295.2,4258119.14,2679.19,0.812857
2002,Nagaland,Sesamum,Kharif,5000.0,1536.6,473350.0,1250.0,0.90625
2001,Assam,Rice,Autumn,495698.0,1824.7,50625636.74,128881.48,1.120435
2000,Karnataka,Sugarcane,Whole Year,417141.0,1213.3,40950731.97,108456.66,98.800385
2001,Kerala,Ragi,Kharif,1947.0,2946.7,198847.11,506.22,0.766667
2019,Madhya Pradesh,Sesamum,Kharif,315005.0,1446.7,54105258.8,116551.85,0.5458
2007,Puducherry,Turmeric,Rabi,4.0,1434.6,533.6,0.64,1.5
2014,Andhra Pradesh,Tobacco,Kharif,19733.0,687.6,2978893.68,6511.89,6.8325
2008,Himachal Pradesh,Ginger,Kharif,34508.41,1397.4,4762.32,190.26,8.053459
2019,Andhra Pradesh,Potato,Kharif,453.0,899.2,77807.28,167.61,12.21
2009,Madhya Pradesh,Garlic,Whole Year,52169.0,904.1,8128973.58,8868.73,3.153
2007,Bihar,Sannhamp,Kharif,3451.0,1600.2,460363.4,552.16,4.3544
2016,Andhra Pradesh,Tapioca,Kharif,7122.0,890.0,1091446.5,2492.7,13.003333
2012,Haryana,Mustard,Rabi,818709.78,699.6,215555.22,4704.46,1.46177
2017,Arunachal Pradesh,Sugarcane,Whole Year,2110.0,2745.5,332198.4,801.8,22.442308
2000,Himachal Pradesh,Rice,Kharif,81519.0,1068.4,8002720.23,21194.94,1.55
2019,Telangana,Small millets,Kharif,924.0,1031.7,158706.24,341.88,1.692
2004,Nagaland,Linseed,Rabi,7300.0,1711.5,790882.0,1533.0,0.64
2011,Karnataka,Sesamum,Kharif,60680.0,1179.0,10165113.6,20024.4,0.453214
2019,West Bengal,Linseed,Rabi,4055.0,1733.4,696486.8,1500.35,0.515625
2014,Uttarakhand,Masoor,Rabi,10417.0,1287.4,1572550.32,3437.61,0.679231
2019,Odisha,Mesta,Kharif,4690.0,1593.9,805554.4,1735.3,4.85
2003,Gujarat,Sugarcane,Whole Year,176200.0,902.5,17440276.0,42288.0,71.596667
2012,Haryana,Horse-gram,Kharif,343.0,307.9,51724.4,106.33,0.26
2006,Jammu and Kashmir,Garlic,Kharif,31.0,1786.5,3959.01,6.82,1.15
2011,Gujarat,Wheat,Rabi,1350600.0,890.5,226252512.0,445698.0,3.01
2017,Bihar,Maize,Autumn,223242.0,1112.0,35147220.48,84831.96,2.639189
2007,Himachal Pradesh,Gram,Rabi,1452.0,1095.4,193696.8,232.32,0.815556
2013,Meghalaya,Cowpea(Lobia),Rabi,1608.0,2448.4,232339.92,434.16,1.472727
2006,Tamil Nadu,Sugarcane,Whole Year,391201.0,927.9,49960279.71,86064.22,118.174643
2002,Chhattisgarh,Gram,Rabi,175588.0,1001.4,16622915.96,43897.0,0.62125
2002,Mizoram,Potato,Whole Year,369.0,2627.0,34933.23,92.25,1.976667
2014,Odisha,Rice,Autumn,583000.0,1536.9,88009680.0,192390.0,1.599167
2015,Meghalaya,Gram,Rabi,1824.0,3870.8,288027.84,601.92,1.07
2009,Chhattisgarh,Other  Rabi pulses,Rabi,1877.0,956.9,292474.14,319.09,0.464444
2007,Tamil Nadu,Turmeric,Whole Year,27303.0,1067.2,3642220.2,4368.48,5.253846
2009,Bihar,Khesari,Rabi,78827.0,889.3,12282823.14,13400.59,1.023684
2019,Tripura,Maize,Kharif,12485.0,2252.8,2144423.6,4619.45,1.42
2011,Jammu and Kashmir,Bajra,Kharif,18926.0,887.6,3170483.52,6245.58,0.568571
2007,Andhra Pradesh,Groundnut,Kharif,1500000.0,1004.2,200100000.0,240000.0,1.334286
2002,Gujarat,Gram,Rabi,57500.0,458.4,5443525.0,14375.0,0.520588
2017,Karnataka,Safflower,Rabi,33701.0,1111.7,5305885.44,12806.38,0.714615
2002,Karnataka,Banana,Whole Year,39813.0,860.8,3769096.71,9953.25,16.965185
2008,Bihar,Other Kharif pulses,Kharif,1161.0,1197.7,166069.44,104.49,0.604211
2014,Nagaland,Rapeseed &Mustard,Rabi,27280.0,1333.3,4118188.8,9002.4,1.010909
2011,Tamil Nadu,Potato,Whole Year,4673.0,926.5,782820.96,1542.09,19.59125
2018,Chhattisgarh,Peas & beans (Pulses),Rabi,10016.0,1515.5,1624595.2,3505.6,0.3752
2001,Gujarat,Ragi,Kharif,21000.0,666.5,2144730.0,5460.0,1.005
2011,Punjab,Maize,Kharif,126000.0,705.2,21107520.0,41580.0,4.359091
2007,Himachal Pradesh,Sannhamp,Kharif,32.0,1095.4,4268.8,5.12,0.185
2014,Delhi,Maize,Kharif,35.0,416.4,5283.6,11.55,22.37
2001,Jharkhand,Maize,Kharif,430762.01,1345.6,50896.2,1218.86,2.46352
2015,Nagaland,Linseed,Rabi,5790.0,1308.3,914298.9,1910.7,0.805455
2003,Rajasthan,Sesamum,Kharif,36224.11,299.4,4067.46,87.88,0.390887
2016,West Bengal,Sannhamp,Kharif,847.0,1795.8,129802.75,296.45,4.28
2002,Telangana,Turmeric,Kharif,21998.91,946.8,2131.94,79.89,4.759648
2016,Nagaland,Small millets,Kharif,8800.0,1959.8,1348600.0,3080.0,1.12
2010,Karnataka,Arhar/Tur,Kharif,891525.0,1317.7,148091217.8,213966.0,0.65037
2008,Tamil Nadu,Cardamom,Whole Year,4051.0,1201.9,579455.04,364.59,0.094
2019,Assam,Cotton(lint),Kharif,789.0,2084.7,135518.64,291.93,0.674444
2000,Mizoram,Other Kharif pulses,Kharif,1610.0,2834.3,158053.7,418.6,1.4075
2019,Tamil Nadu,Urad,Kharif,42597.0,910.1,7316460.72,15760.89,0.854333
2008,Haryana,Masoor,Rabi,4858.0,715.6,694888.32,437.22,0.639286
2014,Jammu and Kashmir,Bajra,Kharif,15797.0,1278.4,2384715.12,5213.01,0.558571
2014,Arunachal Pradesh,Turmeric,Whole Year,725.0,2403.2,109446.0,239.25,6.83
2005,Punjab,Groundnut,Kharif,3400.0,566.7,407728.0,714.0,0.978571
2003,Meghalaya,Tobacco,Whole Year,723.0,3321.3,71562.54,173.52,0.55
2005,Mizoram,Arhar/Tur,Kharif,97.0,2075.4,11632.24,20.37,0.9175
2017,Uttarakhand,Horse-gram,Kharif,12728.0,1475.8,2003896.32,4836.64,0.923636
2018,Karnataka,Banana,Whole Year,103377.31,917.2,8973.51,470.04,33.075248
2019,Madhya Pradesh,Small millets,Kharif,79810.0,1446.7,13708165.6,29529.7,0.5925
2016,Telangana,Sweet potato,Rabi,199.0,942.6,30496.75,69.65,9.564
2005,Jammu and Kashmir,Other Cereals,Kharif,262.0,1721.8,31419.04,55.02,0.1825
2019,Himachal Pradesh,Moong(Green Gram),Kharif,117.0,1217.7,20095.92,43.29,0.74875
2019,Arunachal Pradesh,Small millets,Kharif,26790.0,2433.3,4601450.4,9912.3,1.0152
2010,Madhya Pradesh,Bajra,Kharif,200498.0,856.3,33304722.78,48119.52,1.220323
2013,Uttar Pradesh,Bajra,Kharif,918984.0,995.2,132783998.2,248125.68,1.457188
2017,Jharkhand,Peas & beans (Pulses),Rabi,59150.0,1165.7,9312576.0,22477.0,1.19625
2004,Tamil Nadu,Banana,Whole Year,81498.0,1034.0,8829493.32,17114.58,41.73931
2020,Tamil Nadu,Ragi,Kharif,16209.12,933.8,2137.52,80.91,2.350726
2012,Haryana,Coriander,Whole Year,294.0,307.9,44335.2,91.14,1.002
2020,Bihar,Maize,Kharif,215976.14,1426.1,35526.48,2780.9,4.007393
2016,Jharkhand,Maize,Autumn,124673.0,1296.3,19106137.25,43635.55,2.102609
2017,Maharashtra,Other  Rabi pulses,Rabi,101725.0,1129.5,16015584.0,38655.5,0.575556
2005,Uttarakhand,Garlic,Whole Year,2222.0,1353.3,266462.24,466.62,9.173636
2018,Haryana,Coriander,Whole Year,2284.0,533.2,370464.8,799.4,3.366111
2000,Andhra Pradesh,Banana,Whole Year,49051.0,935.6,4815336.67,12753.26,17.630909
2016,Goa,Arecanut,Whole Year,1810.0,3266.9,277382.5,633.5,1.725
2018,Madhya Pradesh,Safflower,Rabi,13.0,1102.2,2108.6,4.55,0.263333
2010,Andhra Pradesh,Potato,Whole Year,5953.0,1297.0,988852.83,1428.72,10.99875
2002,Goa,Cashewnut,Whole Year,54373.0,2516.3,5147491.91,13593.25,0.43
2003,Uttar Pradesh,Sunflower,Kharif,12044.0,1075.6,1192115.12,2890.56,1.678364
2000,Odisha,Ragi,Kharif,83981.0,1066.0,8244414.77,21835.06,0.424231
2008,Madhya Pradesh,Horse-gram,Kharif,23676.0,895.0,3386615.04,2130.84,0.323846
2004,Meghalaya,Jute,Kharif,4019.0,4767.9,435418.46,843.99,4.8
2010,Himachal Pradesh,Ginger,Kharif,28925.35,1968.4,2044.54,329.23,7.663519
2014,Nagaland,Peas & beans (Pulses),Kharif,2330.0,1333.3,351736.8,768.9,1.353
2009,Kerala,Turmeric,Whole Year,2438.0,2821.5,379889.16,414.46,2.276429
2003,Odisha,Sugarcane,Whole Year,14565.0,1648.2,1441643.7,3495.6,54.546552
2018,Meghalaya,Small millets,Rabi,2902.0,5649.1,470704.4,1015.7,1.108
2006,Meghalaya,Banana,Kharif,6422.0,2454.7,820153.62,1412.84,10.317143
2008,Uttarakhand,Moth,Kharif,343.0,1363.7,49062.72,30.87,0.35
2006,Maharashtra,Urad,Kharif,490000.0,1439.4,62577900.0,107800.0,0.542424
2009,Uttar Pradesh,Sannhamp,Kharif,1813.0,585.8,282501.66,308.21,0.179062
2015,Karnataka,Safflower,Rabi,53833.0,1024.9,8500769.03,17764.89,0.360714
2013,Telangana,Ragi,Kharif,1204.0,1348.7,173965.96,325.08,1.593333
2013,Telangana,Urad,Kharif,32090.0,1348.7,4636684.1,8664.3,0.83125
2017,Bihar,Sesamum,Kharif,1571.0,1112.0,247338.24,596.98,0.886364
2000,Tamil Nadu,Cardamom,Whole Year,2144.0,971.1,210476.48,557.44,0.078
2015,Jammu and Kashmir,Dry chillies,Kharif,567.0,1572.6,89534.97,187.11,0.905556
2007,Himachal Pradesh,Wheat,Rabi,366592.0,1095.4,48903372.8,58654.72,1.500833
2018,Bihar,Ragi,Kharif,2883.0,1521.4,467622.6,1009.05,1.144286
2009,Madhya Pradesh,Mustard,Rabi,430988.29,1196.0,33484.65,2411.21,1.455738
2007,Punjab,Bajra,Kharif,4000.0,527.2,533600.0,640.0,1.0
2015,Manipur,Turmeric,Whole Year,2670.0,1329.1,421619.7,881.1,11.856667
2017,Sikkim,Small millets,Kharif,2469.0,2873.6,388719.36,938.22,1.0325
2001,Karnataka,Safflower,Rabi,92029.0,1002.9,9398921.77,23927.54,0.714667
2020,Telangana,Maize,Kharif,212495.0,887.0,34348.25,575.02,3.864467
2019,Punjab,Peas & beans (Pulses),Rabi,1800.0,653.2,309168.0,666.0,1.008571
2016,Haryana,Maize,Kharif,6300.0,554.7,965475.0,2205.0,3.132222
2010,West Bengal,Mustard,Rabi,1255357.27,1260.0,230231.48,10675.29,1.454839
2008,Tripura,Peas & beans (Pulses),Rabi,599.0,1827.8,85680.96,53.91,0.8675
2017,Puducherry,Sesamum,Kharif,4.0,1582.4,629.76,1.52,1.5
2015,Punjab,Groundnut,Kharif,1000.0,512.6,157910.0,330.0,1.9
2005,Kerala,Banana,Whole Year,61400.0,3030.9,7363088.0,12894.0,8.060714
2017,Andhra Pradesh,Bajra,Kharif,43367.0,868.2,6827700.48,16479.46,1.854545
2006,Assam,Arecanut,Whole Year,69104.0,1774.9,8825271.84,15202.88,0.817037
2003,Uttar Pradesh,Moth,Kharif,379.0,1075.6,37513.42,90.96,0.388947
2017,Karnataka,Arhar/Tur,Kharif,884913.0,1111.7,139320702.7,336266.94,0.844074
2004,Chhattisgarh,Castor seed,Kharif,137.0,1122.8,14842.58,28.77,0.34625
2015,Mizoram,Maize,Kharif,5672.0,2310.8,895665.52,1871.76,1.94625
2013,Uttarakhand,Tobacco,Whole Year,6.0,1735.4,866.94,1.62,3.67
2012,Chhattisgarh,Mesta,Kharif,1222.0,1366.8,184277.6,378.82,2.078421
2008,Mizoram,Other  Rabi pulses,Rabi,1370.0,1912.1,195964.8,123.3,1.504286
2002,Rajasthan,Gram,Rabi,592443.48,404.9,85504.54,5722.44,0.821388
2019,Gujarat,Arhar/Tur,Kharif,212698.0,1067.8,36533008.48,78698.26,1.1225
2001,Assam,Tapioca,Whole Year,2904.0,1824.7,296585.52,755.04,4.384348
2000,Haryana,Urad,Kharif,1527.0,383.7,149905.59,397.02,0.115833
2013,Jharkhand,Arhar/Tur,Rabi,39731.0,1253.6,5740732.19,10727.37,1.66087
2012,Meghalaya,Mesta,Kharif,4435.0,2945.3,668798.0,1374.85,6.01
2013,Mizoram,Maize,Kharif,5618.0,1848.8,811744.82,1516.86,1.65625
2011,Andhra Pradesh,Sunflower,Whole Year,157535.0,861.9,26390263.2,51986.55,0.978182
2000,Manipur,Rice,Kharif,156890.0,1969.7,15401891.3,40791.4,2.26
2006,Puducherry,Arecanut,Kharif,63.0,1434.6,8045.73,13.86,1.3
2014,Chhattisgarh,Gram,Rabi,293263.0,1274.7,44270982.48,96776.79,1.113077
2014,Tripura,Rice,Kharif,257273.0,2015.7,38837932.08,84900.09,2.885
2019,Andhra Pradesh,Banana,Whole Year,97695.0,899.2,16780093.2,36147.15,60.0
2017,Tamil Nadu,Black pepper,Whole Year,5265.0,970.9,828921.6,2000.7,0.163125
2011,Karnataka,Small millets,Kharif,23174.0,1179.0,3882108.48,7647.42,0.4965
2016,Jammu and Kashmir,Other  Rabi pulses,Rabi,548.0,902.8,83981.0,191.8,0.796667
2001,Kerala,Banana,Whole Year,50871.0,2946.7,5195455.23,13226.46,7.347857
2013,Chhattisgarh,Soyabean,Kharif,107772.0,1418.3,15571976.28,29098.44,1.091579
2018,Jammu and Kashmir,other oilseeds,Kharif,1.0,1016.3,162.2,0.35,0.5
2009,Rajasthan,Sesamum,Kharif,43490.56,464.4,7629.22,462.09,0.487178
2005,Himachal Pradesh,Gram,Rabi,1338.0,1248.1,160452.96,280.98,0.425556
2016,Bihar,Khesari,Rabi,52102.0,1205.6,7984631.5,18235.7,0.947714
2000,Assam,Sesamum,Kharif,14960.0,1965.5,1468623.2,3889.6,0.489565
2000,Chhattisgarh,Urad,Kharif,116722.0,896.4,11458598.74,30347.72,0.2825
2013,Telangana,Cotton(lint),Kharif,1712830.0,1348.7,247486806.7,462464.1,2.458889
2000,Andhra Pradesh,Other Kharif pulses,Kharif,19850.0,935.6,1948674.5,5161.0,0.275263
2000,Haryana,Sesamum,Kharif,3527.0,383.7,346245.59,917.02,0.15
2016,Punjab,Potato,Rabi,247944.46,527.4,39949.7,398.28,23.726658
2009,Chhattisgarh,Sunflower,Kharif,4523.0,956.9,704773.86,768.91,0.305385
2015,Delhi,Barley,Kharif,62.0,757.7,9790.42,20.46,2.92
2013,Madhya Pradesh,Gram,Rabi,2774323.0,1451.4,400861930.3,749067.21,0.866471
2016,Meghalaya,Castor seed,Rabi,72.0,3837.1,11034.0,25.2,1.004
2002,Gujarat,Castor seed,Kharif,242200.0,458.4,22929074.0,60550.0,1.162941
2003,Tripura,Potato,Whole Year,5665.0,2487.9,560721.7,1359.6,15.6275
2015,West Bengal,Soyabean,Kharif,600.0,1717.0,94746.0,198.0,0.62
2016,Delhi,Wheat,Rabi,19622.0,747.1,3007071.5,6867.7,4.44
2008,Nagaland,Gram,Rabi,250.0,1540.9,35760.0,22.5,0.855
2000,Haryana,Sannhamp,Whole Year,452.0,383.7,44372.84,117.52,0.136667
2013,Maharashtra,Ragi,Kharif,124500.0,1409.8,17989005.0,33615.0,1.244
2007,Assam,Linseed,Rabi,7632.0,2154.1,1018108.8,1221.12,0.5076
2011,Andhra Pradesh,Jowar,Kharif,103263.0,861.9,17298617.76,34076.79,1.584737
2008,Meghalaya,Rapeseed &Mustard,Rabi,7197.0,3114.3,1029458.88,647.73,0.651429
2001,Gujarat,Wheat,Rabi,470100.0,666.5,48011313.0,122226.0,2.474737
2018,Tamil Nadu,Onion,Kharif,12414.0,986.2,2013550.8,4344.9,8.912692
2020,Chhattisgarh,Rice,Kharif,2279332.63,1449.7,269846.5,14123.56,3.225547
2008,Himachal Pradesh,Turmeric,Kharif,208.0,1357.1,29752.32,18.72,0.54875
2008,Meghalaya,Banana,Whole Year,6522.0,3114.3,932906.88,586.98,10.374286
2019,Assam,Other  Rabi pulses,Rabi,15006.0,2084.7,2577430.56,5552.22,0.695185
2000,West Bengal,Mango,Whole Year,161777.41,1975.2,20139.25,889.81,5.888912
2018,Madhya Pradesh,Potato,Whole Year,145736.5,1102.2,23638460.3,51007.78,21.3004
2018,Madhya Pradesh,Dry chillies,Whole Year,87838.93,1102.2,14247474.45,30743.63,2.91907
2002,Bihar,Banana,Whole Year,17307.0,1105.8,1638453.69,4326.75,22.179565
2000,Puducherry,Jowar,Kharif,6.0,1434.6,589.02,1.56,1.0
2018,Uttarakhand,Other  Rabi pulses,Rabi,5.0,1373.0,811.0,1.75,0.666667
2014,Himachal Pradesh,Dry chillies,Kharif,466.0,1019.9,70347.36,153.78,0.335
2004,Meghalaya,Arecanut,Whole Year,11233.0,4767.9,1216983.22,2358.93,1.154286
2000,Assam,Arecanut,Whole Year,73237.0,1965.5,7189676.29,19041.62,0.957391
2000,Haryana,Moong(Green Gram),Kharif,5331.0,383.7,523344.27,1386.06,0.062667
2003,Kerala,Rubber,Whole Year,51089.76,2173.6,3428.89,130.39,1.388808
2011,Chhattisgarh,Sunflower,Kharif,3489.0,1302.7,584477.28,1151.37,0.509
2020,Gujarat,Castor seed,Kharif,28439.52,1030.1,7178.16,325.03,1.452207
2009,Arunachal Pradesh,Wheat,Rabi,3170.0,1701.9,493949.4,538.9,1.59
2018,Nagaland,Jowar,Kharif,280.0,1372.7,45416.0,98.0,0.966
2013,Andhra Pradesh,Soyabean,Kharif,3025.0,1062.3,437082.25,816.75,1.62
2003,Haryana,Maize,Kharif,16570.0,592.3,1640098.6,3976.8,0.960588
2013,Gujarat,Soyabean,Kharif,59954.0,1006.5,8662753.46,16187.58,0.791111
2009,Andhra Pradesh,Potato,Whole Year,5040.0,711.0,785332.8,856.8,10.294
2004,Gujarat,Tobacco,Whole Year,71300.0,719.8,7724642.0,14973.0,1.625714
2000,Karnataka,Sannhamp,Whole Year,1424.0,1213.3,139794.08,370.24,0.285
2017,Uttar Pradesh,Sunflower,Summer,2093.0,652.1,329521.92,795.34,1.450952
2009,Himachal Pradesh,Ragi,Kharif,2208.0,969.9,344050.56,375.36,0.778571
2018,Telangana,Maize,Kharif,426342.0,1350.3,69152672.4,149219.7,3.95625
2013,Madhya Pradesh,Barley,Kharif,83559.0,1451.4,12073439.91,22560.93,2.11
2018,Punjab,Rapeseed &Mustard,Rabi,30500.0,585.5,4947100.0,10675.0,1.476818
2013,Maharashtra,Urad,Kharif,334400.0,1409.8,48317456.0,90288.0,0.555484
2002,Odisha,Linseed,Rabi,16530.0,1102.8,1564895.1,4132.5,0.329286
2003,Maharashtra,Grapes,Whole Year,23014.36,2127.3,2165.14,29.1,19.657373
2008,Arunachal Pradesh,Oilseeds total,Whole Year,31785.0,2244.4,4546526.4,2860.65,0.995
2008,Telangana,Cotton(lint),Kharif,1747712.6,532.9,272922.72,8177.25,0.422251
2012,Tamil Nadu,Banana,Whole Year,40656.14,977.8,5212.14,488.7,31.581053
2015,Himachal Pradesh,Other Kharif pulses,Kharif,6504.0,1223.2,1027046.64,2146.32,0.895
2012,Tripura,Sesamum,Kharif,2085.0,1882.2,314418.0,646.35,0.55375
2015,Arunachal Pradesh,Potato,Whole Year,5970.0,2593.2,942722.7,1970.1,6.9065
2019,Mizoram,other oilseeds,Kharif,26642.0,2178.5,4576029.92,9857.54,0.114286
2017,Goa,other oilseeds,Whole Year,841.0,2772.5,132407.04,319.58,2.08
2013,Nagaland,Sunflower,Kharif,260.0,1350.9,37567.4,70.2,0.721667
2014,Meghalaya,Mesta,Kharif,4496.0,3484.4,678716.16,1483.68,6.07
2009,Assam,Banana,Whole Year,44980.0,1727.1,7008783.6,7646.6,13.768889
2016,Uttarakhand,Ragi,Kharif,106365.0,1580.9,16300436.25,37227.75,1.542727
2011,Chhattisgarh,Turmeric,Whole Year,1047.0,1302.7,175393.44,345.51,1.063333
2010,Andhra Pradesh,Banana,Whole Year,58876.0,1297.0,9779892.36,14130.24,31.562632
2009,Andhra Pradesh,Garlic,Whole Year,530.0,711.0,82584.6,90.1,2.556667
2005,Puducherry,Banana,Whole Year,316.0,1434.6,37894.72,66.36,22.333333
2002,Uttar Pradesh,Ragi,Rabi,590.0,664.0,55855.3,147.5,1.441481
2010,Gujarat,Banana,Whole Year,23500.0,1107.5,3903585.0,5640.0,70.365
2017,Rajasthan,Coriander,Rabi,43456.95,488.1,12782.95,363.13,0.747024
2005,Karnataka,Sugarcane,Whole Year,221462.0,1316.2,26557723.04,46507.02,90.637727
2013,Karnataka,Onion,Kharif,112723.0,1235.6,16287346.27,30435.21,6.9688
2008,Madhya Pradesh,Sesamum,Whole Year,243804.0,895.0,34873724.16,21942.36,0.4182
2007,Tripura,Gram,Rabi,101.0,2831.8,13473.4,16.16,0.7425
2003,Assam,Castor seed,Kharif,1493.0,2213.7,147777.14,358.32,0.414286
2014,Haryana,Ginger,Whole Year,285.0,301.3,43023.6,94.05,13.933333
2006,Tamil Nadu,Gram,Whole Year,5933.0,927.9,757703.43,1305.26,0.53
2003,Haryana,Jowar,Kharif,100945.0,592.3,9991536.1,24226.8,0.186364
2003,Arunachal Pradesh,Potato,Whole Year,4022.0,2782.2,398097.56,965.28,7.232667
2018,Haryana,Maize,Kharif,5900.0,533.2,956980.0,2065.0,3.206
2014,Kerala,Potato,Whole Year,852.0,3046.4,128617.92,281.16,18.56
2003,Tamil Nadu,Rapeseed &Mustard,Rabi,376.0,345.6,37216.48,90.24,0.386667
2019,Meghalaya,Small millets,Rabi,2893.0,3844.4,496901.68,1070.41,1.1
2005,Gujarat,Castor seed,Kharif,341600.0,942.4,40964672.0,71736.0,2.059545
2013,Gujarat,Sugarcane,Whole Year,173065.0,1006.5,25006161.85,46727.55,60.885714
2007,Himachal Pradesh,Ginger,Kharif,2273.0,1095.4,303218.2,363.68,10.15
2003,West Bengal,Gram,Rabi,46492.0,1526.7,4601778.16,11158.08,0.973571
2015,Haryana,Garlic,Whole Year,3973.0,426.8,627376.43,1311.09,9.771429
