State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year,Humidity_pct,Solar_Radiation_W_m2,Irrigation_Method,Pesticide_Usage_kg_ha
Uttar Pradesh,Rice,Black Soil,Urea,130.0,20.0,134.0,166.0,26.91,1659.069056035832,7.29,2021,39.64088239557334,512.5548586651148,Drip,0.3079526182272393
Gujarat,Wheat,Loamy,DAP,10.0,54.0,94.0,120.0,30.38,290.96868257025716,6.23,2006,41.19402144307834,404.3941448316606,Drip,0.9204880880609152
Karnataka,Rice,Loamy,DAP,115.0,77.0,120.0,94.0,32.21,1940.7341931137628,6.69,2022,47.10571012163082,731.7636788673879,Drip,3.618451901004208
Punjab,Rice,Sandy,Urea,120.0,94.0,158.0,200.0,29.54,2493.9318522882745,6.38,2017,40.40241571768529,359.2706556507597,Drip,1.2593345118915749
Karnataka,Rice,Alluvial,Urea,10.0,59.0,149.0,83.0,24.3,884.3956315995256,7.68,2009,83.8059254775855,370.1896096312842,Drip,0.7760676400072336
Tamil Nadu,Groundnut,Sandy,Urea,60.0,51.0,40.0,146.0,30.28,242.02576912971477,6.96,2017,34.81402473969853,631.422657570358,Drip,1.6474405680062234
Karnataka,Sugarcane,Loamy,Urea,59.0,66.0,147.0,103.0,28.87,479.47335919600766,6.21,2013,61.47068337421528,571.3266250796543,Sprinkler,0.6036247328365991
Gujarat,Rice,Alluvial,Organic,20.0,34.0,99.0,217.0,33.56,642.9473298606504,6.43,2009,54.62380961937969,397.4035182519222,Drip,1.0255213470272
Karnataka,Cotton,Loamy,DAP,44.0,119.0,106.0,299.0,32.64,338.2376829230727,7.58,2006,88.94271701451638,560.7289015101693,Sprinkler,0.808746856111585
Odisha,Cotton,Loamy,DAP,32.0,8.0,106.0,81.0,28.33,142.76939668206998,7.92,2006,36.72233413008314,646.7850444997309,,3.260720761666065
Karnataka,Soybean,Clay,Urea,139.0,67.0,94.0,50.0,22.96,760.0980697881766,7.87,2006,53.871335942744494,496.9736942403014,Flood,5.160784867982971
Andhra Pradesh,Soybean,Black Soil,Compost,109.0,119.0,167.0,168.0,24.38,893.7056312930403,7.32,2004,88.16822599652212,759.8822900074582,Sprinkler,2.850670819573112
Tamil Nadu,Maize,Sandy,Compost,121.0,62.0,98.0,178.0,24.97,849.7982018119302,6.59,2000,81.93042755363882,327.59381891319646,,1.1563667228762788
Punjab,Rice,Sandy,Compost,101.0,55.0,41.0,193.0,26.33,988.915781594882,5.5,2013,79.02432425695679,569.3823453859102,Sprinkler,1.4037098765404683
Haryana,Rice,Red Soil,Compost,31.0,49.0,81.0,144.0,29.7,670.3754286215392,6.98,2017,45.4741696226964,616.6528336221004,Drip,0.2672312356100086
Andhra Pradesh,Groundnut,Clay,Organic,54.0,55.0,112.0,162.0,32.28,492.05029199641103,6.77,2012,40.25325524340395,589.1343901605246,,2.7476623891553764
Andhra Pradesh,Sugarcane,Loamy,DAP,92.0,107.0,169.0,204.0,27.85,769.393106616173,6.87,2024,70.11859319546586,479.5644273354352,Flood,1.8150370379493037
Andhra Pradesh,Rice,Loamy,DAP,27.0,5.0,135.0,253.0,28.24,842.5967294966533,6.81,2007,85.76255934765516,470.9558517988851,Sprinkler,4.654575332085491
Haryana,Rice,Clay,DAP,100.0,112.0,56.0,50.0,28.98,742.4107912109463,5.82,2007,63.405773580835785,544.4145171087257,Sprinkler,0.4478155454519199
Odisha,Sugarcane,Alluvial,Compost,64.0,14.0,199.0,150.0,25.17,338.17272495382065,7.17,2009,64.29676136819398,581.575448665207,Sprinkler,2.8519516953051784
Odisha,Rice,Sandy,Urea,59.0,52.0,116.0,193.0,22.8,1205.0162238483063,7.23,2016,46.79874561961705,560.2473436282363,Drip,2.308281678541889
Haryana,Wheat,Loamy,Compost,100.0,47.0,171.0,109.0,18.02,614.9719087663972,7.26,2005,76.16957599151621,604.0057890793389,Drip,0.6180716562141113
Uttar Pradesh,Wheat,Red Soil,DAP,90.0,81.0,94.0,299.0,24.13,679.3882574930568,7.45,2014,41.2226249134514,398.11300429332647,Sprinkler,2.201500983236208
Madhya Pradesh,Groundnut,Sandy,Compost,60.0,8.0,131.0,130.0,30.88,321.84733972330093,7.2,2014,49.42075418425462,477.22290208763656,,5.163893897995838
Madhya Pradesh,Groundnut,Black Soil,Urea,117.0,77.0,148.0,174.0,24.09,989.2585176333238,6.47,2024,55.526186316985005,405.9984067876246,Drip,5.012734279249379
Odisha,Cotton,Clay,Urea,33.0,119.0,168.0,218.0,26.78,327.40703009446986,6.72,2015,60.456622721067305,461.3887223913858,Flood,2.543265803816743
Gujarat,Groundnut,Sandy,Compost,97.0,16.0,160.0,133.0,30.85,461.03776892428516,6.84,2007,44.544583944904815,601.5220891814305,Drip,0.0985340920405439
Haryana,Maize,Black Soil,DAP,96.0,68.0,149.0,50.0,31.16,604.0610061343891,6.85,2018,36.89020948435221,510.79839207252286,Sprinkler,4.115584571417108
Odisha,Cotton,Red Soil,Organic,62.0,39.0,85.0,145.0,21.91,157.56750168077153,7.49,2019,66.63720254649795,760.685916314977,Sprinkler,2.144594806837772
Gujarat,Sugarcane,Alluvial,DAP,86.0,75.0,71.0,253.0,33.91,452.8979780234599,7.23,2014,47.31783319441534,519.3406367189717,Sprinkler,0.7433864639099103
Madhya Pradesh,Rice,Clay,Organic,26.0,62.0,120.0,152.0,34.67,1115.5880056479573,8.0,2002,64.87429328535674,505.9691880579736,Drip,0.414664329675063
Karnataka,Groundnut,Alluvial,DAP,108.0,40.0,153.0,114.0,21.62,582.158004374605,8.0,2005,39.26176291645214,510.6182919440216,Sprinkler,0.247057714380815
Odisha,Maize,Loamy,Compost,66.0,77.0,90.0,245.0,23.39,470.0573055580748,6.83,2024,58.86840611128905,436.2191307140064,Sprinkler,0.1030853862491573
Tamil Nadu,Groundnut,Alluvial,Organic,54.0,119.0,160.0,152.0,35.03,517.9142323746756,5.5,2007,61.95536595309515,494.21633876224064,Drip,2.805687076536709
Karnataka,Groundnut,Loamy,DAP,113.0,55.0,181.0,139.0,27.3,888.3098464918224,7.66,2015,33.109412209345614,612.7788027111646,Drip,0.5379640243244982
Karnataka,Cotton,Black Soil,Compost,47.0,85.0,52.0,188.0,18.02,162.3356235258375,6.38,2014,50.196256691635234,511.3970668127772,Sprinkler,0.0491037638754615
Odisha,Sugarcane,Sandy,DAP,20.0,18.0,57.0,234.0,20.06,171.58161945032336,6.19,2012,38.064880616338456,420.6540270116528,Sprinkler,1.0125740504142269
Gujarat,Sugarcane,Red Soil,Urea,15.0,30.0,94.0,299.0,26.71,291.25956485033015,6.48,2019,33.80249822836606,407.49153795213647,Drip,1.317905388544638
Tamil Nadu,Cotton,Black Soil,Urea,96.0,77.0,119.0,238.0,21.43,510.19340329651396,6.45,2014,89.39761394339672,454.9798108334157,Sprinkler,0.3708051506819693
Gujarat,Soybean,Red Soil,DAP,25.0,111.0,74.0,262.0,25.76,352.40231967592746,7.21,2017,49.34123069848338,507.38634344108806,,0.0900958560969306
Andhra Pradesh,Cotton,Alluvial,Compost,139.0,73.0,176.0,140.0,28.34,698.7933622293992,5.65,2012,78.5924667512781,619.3586535476262,Drip,0.4192839264457624
Gujarat,Cotton,Red Soil,DAP,10.0,51.0,125.0,101.0,36.6,218.49979143509603,5.99,2023,45.27843928582583,365.9511358633563,Sprinkler,2.273268674873564
Gujarat,Wheat,Alluvial,Compost,137.0,61.0,104.0,181.0,26.47,1065.067246153519,7.02,2007,70.89016333343577,468.0173722111244,Drip,0.1716467344536148
Uttar Pradesh,Groundnut,Red Soil,Organic,81.0,20.0,24.0,185.0,34.35,203.2166063270263,7.22,2013,75.61367159338118,514.4310019435079,Drip,1.6195284300265052
Maharashtra,Cotton,Clay,Urea,70.0,81.0,31.0,97.0,36.41,146.18142742699234,7.23,2010,65.73832443647066,316.6294232370565,Drip,0.3166132460687234
Punjab,Groundnut,Black Soil,Organic,53.0,91.0,117.0,164.0,36.44,514.7355504222121,6.2,2005,58.2945713130095,416.6401717033593,Sprinkler,0.4355389689787026
Maharashtra,Groundnut,Clay,Compost,88.0,46.0,10.0,206.0,29.8,306.1199521498043,6.07,2023,54.71045484883611,432.01114602638137,Flood,0.9987096093334792
Tamil Nadu,Wheat,Sandy,DAP,72.0,46.0,157.0,203.0,18.02,497.40495952345117,6.41,2024,50.93209599257972,420.4029626149502,Drip,0.2125559529120114
Tamil Nadu,Groundnut,Sandy,Urea,115.0,70.0,94.0,214.0,30.81,810.6602868494189,6.94,2000,85.77174865486955,519.1889545021647,Sprinkler,0.3803933754734617
Haryana,Maize,Loamy,Compost,78.0,47.0,199.0,198.0,34.21,532.1543428530487,7.84,2024,79.83716446726375,483.9440390498203,Sprinkler,0.8583450775122576
Gujarat,Cotton,Loamy,Compost,79.0,59.0,199.0,139.0,27.68,342.31031944940804,5.5,2001,87.90161463999075,444.4713897398964,Drip,0.7999673338828285
Karnataka,Groundnut,Loamy,Urea,60.0,119.0,92.0,139.0,37.96,394.22558803710996,6.61,2012,37.45783340913268,542.7962626552635,Sprinkler,2.7667690829146125
Maharashtra,Soybean,Sandy,DAP,71.0,53.0,96.0,88.0,33.12,370.3207080788327,5.81,2000,73.85204851221866,672.307471764625,Flood,0.1554524466998431
Haryana,Soybean,Red Soil,Urea,85.0,49.0,156.0,299.0,31.43,720.2271375080968,5.58,2023,86.30042740926227,663.9256516741752,Flood,3.938675181436123
Andhra Pradesh,Wheat,Alluvial,DAP,10.0,40.0,195.0,178.0,34.43,344.9896321712019,7.47,2023,40.87398396993961,307.72282279376634,Flood,3.388164231213869
Punjab,Maize,Red Soil,DAP,23.0,86.0,13.0,160.0,30.08,239.82830009922966,7.16,2003,33.98977604200665,557.7072183835139,Sprinkler,2.9047968729008597
Gujarat,Sugarcane,Black Soil,Compost,101.0,55.0,10.0,108.0,18.02,363.80216012983755,7.09,2023,74.46723895740354,482.19767099361616,Flood,0.7403089504508086
Haryana,Sugarcane,Sandy,DAP,80.0,40.0,68.0,299.0,25.26,309.40260864326234,7.43,2022,64.46838679079471,515.5155342865356,Drip,3.461875782078258
Maharashtra,Cotton,Alluvial,DAP,66.0,105.0,134.0,98.0,35.07,290.36955213068416,6.42,2001,80.50972660549633,460.1716966457452,Flood,0.4037479233449089
Andhra Pradesh,Wheat,Alluvial,Urea,74.0,108.0,129.0,145.0,23.48,540.5446028585433,6.46,2020,38.38634259757737,511.7588629887202,,0.2657128543128672
Uttar Pradesh,Soybean,Alluvial,Urea,87.0,41.0,160.0,207.0,26.86,537.7023152019892,8.0,2019,77.71603871159341,515.1407396072019,Drip,0.0919964309038874
Madhya Pradesh,Maize,Loamy,DAP,53.0,5.0,37.0,221.0,22.11,185.05649101362843,6.59,2015,42.09763920286467,442.1048242651077,Sprinkler,5.603964640920305
Punjab,Cotton,Alluvial,Compost,44.0,95.0,10.0,247.0,37.96,177.2031742271417,7.3,2002,39.81935657194227,410.3632452174819,Sprinkler,0.7363701432349575
Tamil Nadu,Groundnut,Alluvial,Urea,81.0,39.0,149.0,299.0,37.87,540.3327344984797,6.77,2016,39.85594787585958,455.1304317380516,Flood,4.992773716126587
Uttar Pradesh,Cotton,Sandy,Organic,37.0,88.0,57.0,214.0,23.04,164.5165897019678,5.5,2004,78.87448321388293,523.4259264456765,Drip,0.6365947808589107
Gujarat,Rice,Red Soil,Compost,89.0,5.0,10.0,99.0,29.0,452.9960948713547,5.5,2007,69.911833241772,559.8996341684264,,4.762519925456723
Madhya Pradesh,Cotton,Red Soil,Urea,10.0,91.0,110.0,158.0,24.22,252.10123209408133,6.35,2011,61.38392548614716,585.3348977340147,Sprinkler,4.685336655222723
Madhya Pradesh,Groundnut,Clay,Urea,112.0,21.0,145.0,199.0,31.7,621.5361544533982,7.53,2024,51.52982904741015,450.5809976933088,Drip,5.145536864092633
Punjab,Rice,Clay,Organic,91.0,86.0,95.0,299.0,31.1,1624.299293529402,7.34,2022,82.6320324487865,528.3844567302737,Drip,1.3709670005742958
Karnataka,Sugarcane,Black Soil,DAP,83.0,62.0,77.0,74.0,32.84,341.7583353708479,7.43,2011,53.546706445358126,596.2502591953298,Flood,4.019029429127291
Uttar Pradesh,Maize,Sandy,Urea,110.0,30.0,93.0,265.0,30.07,523.002883404625,6.06,2000,78.99596636829463,616.5594895144128,Drip,6.022337456564998
Karnataka,Wheat,Clay,Organic,136.0,48.0,82.0,190.0,37.96,736.8488533703187,7.93,2000,56.3480945142131,494.11671458684776,Drip,0.7849505111749621
Odisha,Maize,Clay,Organic,112.0,84.0,29.0,239.0,22.21,520.2624482967236,6.08,2014,52.61666576549445,477.9068275060387,Sprinkler,1.0855767525406994
Uttar Pradesh,Cotton,Sandy,Urea,10.0,65.0,63.0,169.0,18.26,144.77768980757997,6.92,2016,57.76078714017639,519.1124233836392,Sprinkler,2.5405114687305472
Andhra Pradesh,Sugarcane,Red Soil,Compost,25.0,81.0,130.0,115.0,25.88,444.6107683509803,6.76,2001,48.08267244984852,385.0292527102594,Sprinkler,0.7143782142625243
Gujarat,Wheat,Black Soil,Urea,50.0,119.0,120.0,232.0,19.09,586.5863512307368,6.64,2016,74.85656281057507,480.6390488964492,Sprinkler,2.803297752629694
Uttar Pradesh,Cotton,Black Soil,Organic,74.0,9.0,111.0,225.0,19.52,219.10142098163865,7.73,2019,60.16322340554875,574.458639847313,Flood,0.1535291545340696
Uttar Pradesh,Soybean,Black Soil,Urea,93.0,115.0,48.0,248.0,22.36,418.33189411830386,6.26,2008,43.93276170880904,564.1947129443702,,1.4825683302071624
Odisha,Soybean,Clay,Compost,46.0,65.0,92.0,176.0,22.82,405.45564167903166,5.8,2011,83.97447439647411,472.9732395636111,Drip,0.2609315849554929
Punjab,Groundnut,Red Soil,DAP,80.0,31.0,10.0,133.0,22.63,182.43276863166707,6.78,2003,53.03347328239269,521.7718201087166,Flood,0.6943645032856035
Punjab,Sugarcane,Black Soil,DAP,45.0,17.0,112.0,62.0,31.15,251.1355694128626,6.48,2012,62.613171666839314,417.5349659709312,,0.598498476453644
Andhra Pradesh,Sugarcane,Sandy,Urea,50.0,55.0,180.0,237.0,25.22,592.0658527899188,8.0,2003,84.38832665787282,570.3492148225025,Sprinkler,3.651858199272768
Punjab,Maize,Black Soil,Urea,20.0,92.0,22.0,208.0,27.11,258.6251276292559,7.26,2006,67.45427975483952,492.2178563863527,Sprinkler,0.4301455541314368
Madhya Pradesh,Soybean,Loamy,Organic,39.0,57.0,70.0,106.0,33.32,265.2367396987702,6.48,2013,37.013882442501846,472.40485483038617,Drip,3.3051910998830203
Maharashtra,Rice,Red Soil,Compost,22.0,111.0,120.0,137.0,23.72,1072.7975797271106,6.01,2008,86.3899274168085,463.8276163906613,Sprinkler,3.159373266249687
Odisha,Rice,Loamy,Organic,37.0,13.0,170.0,142.0,26.62,718.988274442284,5.5,2022,67.66248318428507,493.7106133100142,Sprinkler,1.381831566189002
Maharashtra,Sugarcane,Red Soil,Organic,113.0,61.0,78.0,68.0,30.26,501.55316019821214,6.03,2000,50.09433687942517,455.2122355068042,Flood,0.532737006031455
Maharashtra,Sugarcane,Alluvial,DAP,38.0,20.0,65.0,117.0,18.02,159.67636142892135,6.85,2000,38.35632435980324,565.8143036002564,,0.5146842768464993
Odisha,Cotton,Sandy,Organic,139.0,73.0,10.0,93.0,18.02,342.80106131981637,7.8,2019,77.64151135621776,460.4716451983819,Drip,1.2506953909832703
Maharashtra,Sugarcane,Alluvial,Organic,92.0,91.0,108.0,146.0,30.15,626.1952096188941,7.58,2003,67.20436535571082,659.2964096027381,Drip,0.0176960721415985
Maharashtra,Wheat,Clay,DAP,80.0,47.0,199.0,122.0,30.99,479.7595573607617,6.93,2000,62.007665518579294,646.521050348138,Drip,1.51580133594405
Maharashtra,Rice,Clay,DAP,41.0,5.0,117.0,57.0,37.96,598.7732231180761,6.54,2021,83.63355498305745,410.8456510145495,Flood,6.105855408645167
Andhra Pradesh,Cotton,Alluvial,Compost,100.0,68.0,101.0,299.0,29.06,498.584576936421,6.96,2009,77.31583267347185,506.970426942928,Drip,0.3361436528121498
Tamil Nadu,Wheat,Red Soil,Compost,52.0,76.0,120.0,269.0,32.89,624.1849311304461,6.4,2001,39.100492783965066,434.9343378663805,Sprinkler,1.703562022969534
Andhra Pradesh,Sugarcane,Black Soil,Compost,78.0,75.0,101.0,119.0,27.02,455.2424726626022,8.0,2020,48.70332406773289,467.3352436811389,Sprinkler,6.528724060086387
Karnataka,Sugarcane,Loamy,Urea,139.0,102.0,58.0,197.0,29.87,687.9005068578452,6.63,2023,44.90934838886794,700.2427467644798,Sprinkler,3.939698792697656
Uttar Pradesh,Soybean,Sandy,DAP,70.0,26.0,147.0,208.0,37.79,379.360521600947,6.71,2014,74.63677755436062,469.24285828842005,Drip,3.799314620768652
Punjab,Cotton,Black Soil,Urea,117.0,84.0,114.0,265.0,18.02,652.6838344705067,5.5,2002,32.011946084146764,536.0226037077429,Flood,3.450257992453934
Odisha,Wheat,Clay,Urea,47.0,101.0,103.0,116.0,30.54,407.63875296986276,6.63,2024,64.193381092279,554.1321294008278,Sprinkler,0.7392992359265083
Madhya Pradesh,Groundnut,Black Soil,Compost,72.0,5.0,49.0,257.0,37.96,206.23089569492015,7.37,2022,75.74752114444144,399.937062751676,,4.425796503065225
Maharashtra,Sugarcane,Alluvial,DAP,139.0,72.0,173.0,136.0,29.78,1157.6026843357524,6.0,2008,82.60593820570497,414.49045255907953,Sprinkler,5.67200640612044
Haryana,Maize,Alluvial,Urea,50.0,45.0,138.0,78.0,37.69,362.90508945657325,6.23,2016,50.52490492295445,379.3977628591881,Drip,1.369534474335124
Odisha,Maize,Loamy,Organic,139.0,59.0,72.0,230.0,24.51,819.2575672172427,7.34,2020,79.27543828032077,411.4029266102223,Drip,0.8756802804417569
Gujarat,Sugarcane,Clay,Organic,100.0,73.0,156.0,272.0,27.96,949.8204276826425,5.71,2012,36.63790421731243,214.99698906828175,,1.0696527548119494
Odisha,Groundnut,Red Soil,DAP,52.0,45.0,75.0,299.0,28.34,333.96480850977656,7.53,2002,80.7871375040711,554.4582400793628,Flood,0.8135512584256788
Uttar Pradesh,Rice,Sandy,Urea,97.0,39.0,60.0,88.0,18.02,549.5988527876378,6.39,2003,37.649319739918944,705.4193841256069,Drip,0.4775766959235606
Madhya Pradesh,Maize,Alluvial,Compost,110.0,62.0,61.0,228.0,21.4,508.607305186124,6.49,2003,53.83723743362204,514.7820739036526,Flood,1.9270187319159016
Odisha,Wheat,Sandy,Urea,97.0,25.0,10.0,147.0,21.81,236.70469820981845,5.96,2010,77.83772194677321,358.37311406593926,Sprinkler,1.6538001039682209
Madhya Pradesh,Sugarcane,Clay,Organic,14.0,25.0,128.0,235.0,32.9,337.2331600807823,7.04,2006,38.99504564092643,435.7223617100052,Sprinkler,1.2419696064151688
Odisha,Sugarcane,Red Soil,Organic,46.0,84.0,10.0,68.0,33.19,214.8151401848411,8.0,2010,43.75508371395849,454.1123154975003,Drip,0.2015098015721108
Andhra Pradesh,Sugarcane,Alluvial,Compost,64.0,23.0,35.0,84.0,30.02,148.68633088238175,7.33,2023,73.33515410358397,398.2415222786624,Flood,3.188044342877728
Andhra Pradesh,Groundnut,Loamy,DAP,71.0,83.0,10.0,120.0,32.91,255.48408353496484,6.15,2010,73.20219219276447,586.0182638395156,Drip,0.3845827317815579
Tamil Nadu,Rice,Sandy,Urea,97.0,77.0,97.0,183.0,27.2,1495.317769984322,7.59,2009,68.46885797311784,581.0260044375334,Drip,0.2433457803219179
Karnataka,Cotton,Clay,Organic,80.0,5.0,94.0,130.0,35.1,170.3698294591422,6.54,2004,71.636906668026,384.45482061823407,Sprinkler,1.95139897481449
Odisha,Sugarcane,Sandy,Urea,23.0,39.0,84.0,225.0,28.2,266.11323638311603,7.76,2012,62.56346660085577,572.5081044447508,Drip,1.017137548860468
Maharashtra,Cotton,Red Soil,Compost,88.0,101.0,45.0,252.0,28.48,235.84739583213002,7.35,2011,45.10794353441717,652.6812663577265,Sprinkler,0.1233433496940837
Odisha,Wheat,Loamy,Compost,96.0,29.0,38.0,221.0,26.61,265.67548551215293,5.5,2009,50.74175961023517,690.255820522956,Drip,0.8787730422551011
Gujarat,Wheat,Red Soil,DAP,95.0,46.0,127.0,296.0,32.11,770.8275322365891,6.05,2006,40.89586300808554,786.5212023085962,Sprinkler,2.9548934931936457
Madhya Pradesh,Wheat,Alluvial,Compost,114.0,77.0,72.0,207.0,25.72,607.2801488003674,7.45,2018,84.5070336800177,409.80073505568026,,1.9103188811054703
Maharashtra,Maize,Black Soil,DAP,105.0,87.0,119.0,87.0,33.79,725.1763256690715,6.88,2018,65.00350768596724,782.4220426395203,Sprinkler,0.9012995322763158
Tamil Nadu,Wheat,Red Soil,Urea,91.0,53.0,54.0,277.0,21.61,409.81213774169277,6.03,2018,54.05108500581839,464.5793611491212,Sprinkler,0.4259033102572954
Madhya Pradesh,Sugarcane,Red Soil,Organic,71.0,41.0,112.0,132.0,21.8,363.87043644279555,6.31,2011,57.72034821864796,440.7534544619486,Sprinkler,1.998234233461458
Andhra Pradesh,Groundnut,Sandy,Organic,11.0,109.0,173.0,244.0,32.12,531.6637747227545,5.5,2019,86.83700037670891,532.7072374877845,Sprinkler,4.370587484324878
Haryana,Groundnut,Red Soil,DAP,90.0,119.0,134.0,293.0,27.64,858.6537805920353,6.71,2021,39.20108418696481,441.7938665906988,Flood,2.0784581052532047
Maharashtra,Rice,Clay,Organic,81.0,94.0,80.0,210.0,25.53,1035.6229958386712,8.0,2014,65.17378992100782,539.9044140646527,Drip,3.352265295999928
Andhra Pradesh,Groundnut,Alluvial,DAP,84.0,64.0,116.0,67.0,33.29,514.1431391421381,7.35,2004,60.35332073306796,367.9922812262698,Flood,1.474314497157187
Gujarat,Maize,Sandy,DAP,25.0,34.0,89.0,109.0,24.64,207.46530670255117,8.0,2023,66.68725412607887,476.1247397936565,Flood,2.5314915098547544
Maharashtra,Cotton,Sandy,Urea,33.0,34.0,103.0,274.0,26.99,195.03883124830992,7.41,2013,31.08661102925043,628.558223436168,Flood,4.531094555458495
Maharashtra,Rice,Black Soil,Urea,113.0,79.0,84.0,164.0,36.24,1518.771643170409,7.51,2011,82.3274345366491,494.2938708568844,Drip,2.967188045939896
Maharashtra,Groundnut,Alluvial,Compost,72.0,75.0,93.0,183.0,37.05,445.53742126826296,8.0,2020,85.92709694901674,514.1595786739883,Drip,4.812648367702415
Karnataka,Wheat,Clay,DAP,99.0,108.0,114.0,233.0,37.24,839.3995156696218,7.04,2010,63.907991015352536,547.5258604717311,Sprinkler,1.1282404427671535
Maharashtra,Groundnut,Alluvial,Urea,74.0,83.0,48.0,228.0,26.52,311.74030504039155,6.64,2004,71.79904943261354,617.066162931766,Flood,4.691408095497978
Karnataka,Soybean,Red Soil,DAP,75.0,11.0,47.0,197.0,35.26,188.61457908128722,7.51,2015,85.34996287063774,334.47752878105666,Sprinkler,1.9434337118340013
Andhra Pradesh,Rice,Black Soil,DAP,109.0,96.0,27.0,161.0,22.67,1030.0522793355044,7.82,2017,72.43431805880391,558.4524051837435,Drip,4.081192045216777
Tamil Nadu,Sugarcane,Clay,DAP,54.0,28.0,15.0,154.0,22.91,165.50450344787862,6.42,2011,39.15234257485568,473.18608607582365,Drip,0.0803455157188101
Karnataka,Sugarcane,Black Soil,Urea,77.0,49.0,36.0,240.0,18.02,292.55165714993916,6.25,2004,64.57730161000879,516.6637895311839,Sprinkler,2.1450260064279774
Karnataka,Maize,Alluvial,DAP,56.0,70.0,111.0,218.0,37.82,539.7717927899646,6.87,2015,66.40290278297135,605.9950169762376,Flood,3.7674216336486106
Maharashtra,Groundnut,Loamy,DAP,57.0,119.0,54.0,158.0,23.16,264.20877970209204,7.37,2011,55.44784027814316,380.5813348588156,Drip,0.382810256334462
Tamil Nadu,Groundnut,Alluvial,Compost,62.0,119.0,130.0,257.0,27.42,630.3205175732294,7.34,2022,74.18665413748337,398.735555855691,Drip,2.1681584154748936
Maharashtra,Maize,Red Soil,DAP,82.0,81.0,104.0,167.0,22.89,543.7064633896185,5.74,2001,86.06202088614089,306.4570040286194,Sprinkler,3.4854211252607383
Andhra Pradesh,Cotton,Black Soil,Compost,55.0,55.0,10.0,114.0,32.17,145.3495192914097,8.0,2005,85.53411077440657,445.0841058236224,Sprinkler,0.6792125200636825
Maharashtra,Wheat,Loamy,DAP,121.0,79.0,138.0,121.0,25.98,936.6378409242101,6.31,2022,57.050362284247925,633.0432344378817,Flood,1.039215911276082
Punjab,Wheat,Red Soil,Compost,40.0,91.0,146.0,105.0,20.61,455.2241079255359,6.58,2020,36.79428275044532,487.94128115265306,Flood,1.6856982278308308
Uttar Pradesh,Cotton,Black Soil,Urea,66.0,51.0,48.0,157.0,30.7,150.53123009032643,6.12,2024,89.09047193774008,365.9875104345214,Sprinkler,1.4644733904000342
Andhra Pradesh,Cotton,Black Soil,Urea,57.0,119.0,125.0,268.0,19.86,379.3438233925273,8.0,2003,80.33388518675605,451.4321255424953,Drip,0.0799559371148334
Odisha,Soybean,Alluvial,Organic,128.0,69.0,56.0,117.0,23.31,499.96003759349514,6.94,2012,37.47976087219601,351.21382965093767,Sprinkler,0.2077723129757714
Madhya Pradesh,Maize,Black Soil,DAP,81.0,78.0,107.0,191.0,18.02,574.516385152416,6.16,2009,85.25051295704233,387.4813898268839,,0.2117581430679561
Madhya Pradesh,Rice,Black Soil,Organic,112.0,83.0,33.0,128.0,19.92,1004.6639043764666,7.39,2016,82.1937817237277,538.8818910263714,,0.6083490717386183
Tamil Nadu,Wheat,Sandy,Organic,17.0,75.0,10.0,158.0,29.18,235.17733693634582,7.32,2013,61.13028342756432,382.6126673693971,Flood,0.5643654109295088
Punjab,Cotton,Black Soil,Compost,83.0,89.0,81.0,66.0,18.02,212.2944554599875,6.63,2023,65.47652614469575,611.2634305203302,Sprinkler,2.711316036834668
Karnataka,Cotton,Alluvial,Urea,107.0,41.0,95.0,161.0,19.59,305.5262309951782,7.38,2014,53.94016223220781,492.8879709169664,Flood,1.7007456345253722
Punjab,Maize,Sandy,DAP,77.0,43.0,81.0,163.0,28.14,304.46790313641037,6.18,2007,33.28569832932188,508.55947039445255,Flood,2.887644285683439
Uttar Pradesh,Sugarcane,Sandy,DAP,114.0,25.0,38.0,217.0,25.01,326.89597862096554,6.42,2022,50.11183449875406,472.1627032392106,Sprinkler,0.1449178657106875
Andhra Pradesh,Rice,Loamy,Compost,54.0,76.0,80.0,193.0,37.96,865.980184159934,5.5,2023,78.17120691588069,577.2847838543723,Drip,1.328008919917698
Tamil Nadu,Cotton,Red Soil,Organic,127.0,87.0,117.0,88.0,37.96,546.0270346310614,5.82,2017,30.27792138027617,578.315988777701,,0.782460549396094
Punjab,Sugarcane,Sandy,Compost,139.0,76.0,100.0,257.0,23.13,1235.4895006776092,8.0,2002,50.00995030146865,533.5054351912172,Sprinkler,3.793430943501323
Gujarat,Soybean,Clay,Organic,60.0,117.0,112.0,192.0,31.37,527.1604404731025,7.95,2024,53.8901216154566,556.4789105907648,Drip,2.460559343801189
Karnataka,Rice,Sandy,DAP,57.0,61.0,66.0,191.0,32.48,717.414252651715,6.82,2016,62.24373617627537,478.7910330079574,Drip,4.069065929148099
Punjab,Sugarcane,Clay,Compost,128.0,84.0,166.0,176.0,24.7,1114.6543725621927,7.97,2023,85.19133698476563,554.2203006909049,Sprinkler,0.0950788503919708
Tamil Nadu,Soybean,Loamy,Organic,133.0,25.0,38.0,139.0,19.51,348.6440111326189,6.65,2023,50.78075966195768,466.2122224526193,Sprinkler,2.5518220866374404
Gujarat,Groundnut,Clay,Compost,54.0,48.0,129.0,193.0,28.08,485.56316193679686,6.59,2006,50.81719211377366,500.2231622162402,Drip,1.5530938930649645
