State,Crop,Soil_Type,Fertilizer,N,P,K,Rainfall_mm,Temperature_C,Yield_kg_per_acre,Soil_pH,Year
Madhya Pradesh,Soybean,Black,Compost,95,39,10,139,36.98,3637,6.62,2002
Punjab,Barley,Loamy,Compost,38,26,152,143,20.85,1736,7.44,2016
Haryana,Pulses,Loamy,Compost,78,47,46,62,25.64,1672,6.05,2018
Uttar Pradesh,Tea,Red Soil,Compost,56,19,150,254,29.09,3898,5.91,2010
Uttar Pradesh,Maize,Red Soil,Organic,103,90,145,115,19.54,983,6.52,2017
Gujarat,Rice,Black,Organic,94,64,142,86,18.08,3388,7.82,2001
Uttar Pradesh,Pulses,Sandy,Urea,48,105,197,226,31.41,741,7.28,2008
Andhra Pradesh,Pulses,Black,Urea,109,110,137,279,30.84,3392,6.55,2023
Bihar,Rice,Sandy,DAP,42,16,136,115,26.22,960,6.79,2016
Haryana,Jute,Clay,Urea,110,115,10,85,27.79,1260,5.71,2013
Andhra Pradesh,Sugarcane,Red Soil,DAP,32,53,173,231,26.31,1001,7.96,2003
Punjab,Soybean,Clay,DAP,19,46,44,75,18.48,2883,7.17,2016
Tamil Nadu,Wheat,Clay,DAP,78,42,113,124,24.71,2013,6.21,2016
Haryana,Cotton,Red Soil,Compost,109,86,32,249,21.54,3003,6.96,2011
Kerala,Tea,Clay,NPK,43,49,18,157,19.97,2168,5.77,2019
Haryana,Groundnut,Loamy,NPK,105,39,43,217,37.13,1571,7.91,2017
Rajasthan,Jute,Sandy,Organic,10,34,183,92,29.99,2734,5.94,2002
Rajasthan,Soybean,Black,DAP,78,92,137,199,32.57,2259,7.12,2010
Karnataka,Coffee,Red Soil,Compost,13,110,13,197,24.31,2132,6.11,2024
Karnataka,Coffee,Loamy,Urea,25,34,167,57,25.86,1528,7.29,2017
Madhya Pradesh,Cotton,Black,Urea,33,82,111,78,22.74,1961,7.44,2003
West Bengal,Soybean,Black,Organic,89,10,84,89,19.94,1697,7.18,2016
West Bengal,Pulses,Black,Organic,11,71,108,267,21.58,1613,7.04,2017
Haryana,Wheat,Clay,DAP,137,84,81,207,33.95,2119,7.73,2004
Andhra Pradesh,Groundnut,Clay,DAP,93,11,12,258,31.55,6375,5.7,2013
Karnataka,Soybean,Clay,Urea,133,56,151,177,28.94,1338,6.33,2009
Gujarat,Cotton,Clay,Urea,42,18,197,133,27.5,4749,6.12,2014
West Bengal,Groundnut,Loamy,Urea,110,77,182,165,36.45,2828,7.97,2000
Karnataka,Groundnut,Clay,Urea,21,19,43,232,19.45,1751,6.47,2015
Odisha,Maize,Red Soil,NPK,76,25,54,193,23.61,1070,7.33,2010
Odisha,Tea,Black,DAP,74,39,70,223,25.0,886,7.21,2022
Gujarat,Pulses,Loamy,DAP,83,70,92,111,33.65,1511,6.03,2019
Uttar Pradesh,Maize,Clay,Urea,52,95,132,284,37.85,1927,6.1,2005
Odisha,Cotton,Black,Compost,53,6,111,56,22.81,3571,6.2,2023
Kerala,Cotton,Loamy,Urea,38,39,25,257,35.49,3273,6.53,2021
Rajasthan,Sugarcane,Black,Organic,21,86,75,94,34.61,1704,6.09,2015
West Bengal,Soybean,Loamy,Compost,104,82,177,236,22.49,1512,5.55,2001
Rajasthan,Soybean,Sandy,Organic,55,24,154,288,25.99,1708,7.7,2000
Odisha,Sugarcane,Loamy,Compost,139,86,128,233,26.19,1990,7.91,2023
Karnataka,Barley,Clay,Organic,44,14,171,225,37.56,1314,6.35,2023
Madhya Pradesh,Rice,Black,Urea,90,29,133,204,21.62,2150,6.35,2008
Madhya Pradesh,Coffee,Black,Urea,99,70,153,230,33.98,2051,5.52,2021
Rajasthan,Soybean,Black,Compost,17,29,111,264,24.68,2079,7.2,2011
Odisha,Rice,Red Soil,Organic,102,58,197,137,32.62,4223,7.56,2016
Uttar Pradesh,Coffee,Red Soil,NPK,99,37,75,122,26.4,3990,5.87,2024
Kerala,Soybean,Clay,Compost,124,40,22,212,29.57,2525,5.9,2014
Punjab,Tea,Sandy,Compost,114,99,193,228,34.65,2378,7.48,2018
Karnataka,Jute,Red Soil,DAP,67,18,120,261,34.08,6034,7.04,2021
Haryana,Barley,Loamy,Compost,123,69,168,86,35.33,556,5.61,2009
Karnataka,Wheat,Clay,NPK,84,114,43,283,19.19,3341,7.06,2011
Madhya Pradesh,Barley,Sandy,Urea,129,84,48,258,31.84,6919,6.27,2013
Odisha,Cotton,Loamy,Organic,30,58,145,288,20.8,1659,6.42,2008
Tamil Nadu,Sugarcane,Black,DAP,110,114,129,272,26.32,2369,7.42,2012
West Bengal,Jute,Red Soil,Organic,108,56,135,168,28.97,1933,7.53,2002
Maharashtra,Cotton,Loamy,Urea,45,7,64,106,26.05,2287,6.5,2020
West Bengal,Jute,Sandy,Compost,105,103,36,57,28.39,3454,7.87,2013
Haryana,Wheat,Clay,NPK,46,45,127,256,37.93,4518,6.52,2020
Odisha,Maize,Loamy,DAP,21,10,62,144,20.7,1743,7.43,2009
Gujarat,Cotton,Clay,NPK,122,29,48,166,31.51,3151,6.71,2015
Odisha,Cotton,Black,NPK,22,17,74,271,25.92,3381,7.74,2006
Karnataka,Cotton,Sandy,NPK,32,102,154,159,20.66,1686,7.77,2003
West Bengal,Groundnut,Sandy,NPK,108,12,167,69,21.17,2413,5.72,2019
Punjab,Rice,Red Soil,Urea,114,25,190,173,36.99,2549,7.84,2022
Gujarat,Barley,Sandy,NPK,39,102,22,280,35.59,826,7.56,2024
Madhya Pradesh,Maize,Loamy,NPK,26,72,30,102,36.14,2688,7.48,2010
Andhra Pradesh,Jute,Loamy,Urea,122,29,156,168,37.83,728,6.0,2015
Andhra Pradesh,Barley,Loamy,Organic,71,83,62,61,22.17,3002,7.51,2019
Tamil Nadu,Tea,Black,Urea,93,72,28,226,25.11,2382,7.63,2003
Kerala,Rice,Sandy,Compost,121,49,66,66,31.38,3472,6.22,2021
Madhya Pradesh,Coffee,Sandy,Urea,95,64,34,113,27.68,549,7.88,2021
Uttar Pradesh,Maize,Loamy,Organic,28,16,40,91,26.37,3544,5.62,2022
Rajasthan,Tea,Red Soil,Compost,109,36,90,143,25.16,3348,5.87,2016
West Bengal,Jute,Red Soil,Compost,85,100,192,206,29.88,4793,6.84,2012
Tamil Nadu,Pulses,Sandy,DAP,18,96,32,196,29.51,858,6.94,2010
Andhra Pradesh,Groundnut,Sandy,NPK,37,17,41,287,21.23,2846,7.11,2002
Rajasthan,Cotton,Clay,Compost,137,35,199,60,27.43,722,5.54,2008
Uttar Pradesh,Groundnut,Sandy,Compost,61,82,83,147,29.07,2767,7.9,2005
Madhya Pradesh,Barley,Loamy,Organic,92,24,19,227,29.41,3684,5.61,2021
Rajasthan,Maize,Black,Compost,120,22,63,120,22.2,1299,5.86,2020
Madhya Pradesh,Tea,Sandy,Organic,126,97,61,157,32.85,1727,5.54,2010
Uttar Pradesh,Jute,Sandy,NPK,78,64,157,107,18.5,2025,6.92,2015
Maharashtra,Wheat,Loamy,DAP,108,67,169,83,25.1,875,7.83,2018
Gujarat,Tea,Clay,DAP,34,10,123,69,33.6,2658,7.16,2004
Rajasthan,Groundnut,Sandy,NPK,132,36,23,99,29.28,739,7.56,2013
West Bengal,Cotton,Red Soil,NPK,62,97,187,151,23.22,1770,5.53,2016
Rajasthan,Wheat,Red Soil,Urea,66,47,165,265,31.9,4882,6.86,2002
Madhya Pradesh,Barley,Red Soil,Compost,48,6,119,187,29.35,2222,6.65,2003
Madhya Pradesh,Wheat,Black,Compost,118,64,62,209,33.92,985,6.75,2015
Rajasthan,Jute,Black,Compost,51,27,161,101,32.7,1129,5.68,2015
Kerala,Rice,Sandy,Organic,131,87,88,64,30.2,814,7.21,2020
Madhya Pradesh,Pulses,Sandy,Urea,84,35,31,278,27.76,2778,6.76,2024
Punjab,Cotton,Sandy,Compost,85,119,39,133,20.66,997,7.41,2003
Haryana,Jute,Black,Organic,18,9,13,180,23.23,3175,6.71,2018
West Bengal,Coffee,Sandy,Organic,83,87,68,86,26.38,2193,5.87,2016
Punjab,Groundnut,Loamy,DAP,16,38,17,175,29.99,721,7.12,2012
Haryana,Maize,Clay,Organic,36,14,21,298,28.27,740,5.93,2021
Maharashtra,Jute,Red Soil,NPK,131,93,128,89,23.76,1198,7.68,2022
Maharashtra,Sugarcane,Red Soil,Organic,14,6,168,121,18.13,1814,7.03,2023
Bihar,Wheat,Loamy,NPK,38,15,43,89,27.92,3814,5.89,2000
Bihar,Soybean,Sandy,NPK,92,54,91,285,23.71,2574,7.91,2011
Maharashtra,Sugarcane,Black,DAP,118,35,107,105,32.69,2891,6.8,2003
Andhra Pradesh,Jute,Sandy,DAP,74,60,136,200,18.48,1691,5.68,2010
Kerala,Barley,Sandy,Organic,95,83,84,153,29.7,818,7.07,2004
Andhra Pradesh,Soybean,Red Soil,DAP,80,77,114,188,36.83,2721,6.13,2001
Odisha,Soybean,Red Soil,DAP,54,91,58,159,21.49,2095,7.51,2016
Kerala,Soybean,Black,Compost,45,87,88,241,27.43,1459,7.54,2007
Tamil Nadu,Tea,Red Soil,Organic,79,13,194,185,19.83,2057,7.95,2005
West Bengal,Sugarcane,Sandy,Organic,28,103,102,142,30.51,1340,6.75,2020
Gujarat,Coffee,Loamy,Organic,117,25,163,143,29.01,1356,6.64,2008
Kerala,Barley,Black,DAP,100,77,27,105,26.15,2489,7.38,2012
Punjab,Groundnut,Loamy,DAP,99,32,105,109,28.43,2647,5.83,2010
Uttar Pradesh,Pulses,Sandy,NPK,28,66,47,187,35.93,818,6.87,2015
Gujarat,Barley,Black,Urea,48,114,96,88,21.93,1747,6.87,2015
Haryana,Groundnut,Loamy,Urea,135,119,97,77,18.45,1537,5.72,2001
Gujarat,Jute,Black,Urea,135,11,59,98,35.23,4371,6.54,2009
Uttar Pradesh,Jute,Sandy,Compost,67,84,17,213,29.54,3093,7.63,2011
Karnataka,Groundnut,Black,DAP,70,20,178,174,35.81,2899,7.64,2007
Rajasthan,Soybean,Sandy,NPK,136,101,143,62,29.94,1426,5.75,2010
Kerala,Cotton,Black,NPK,114,8,78,273,34.2,1084,5.73,2009
Tamil Nadu,Sugarcane,Black,Urea,10,8,181,85,26.59,1295,6.16,2012
West Bengal,Groundnut,Red Soil,Compost,101,107,130,150,33.0,3657,7.69,2024
Odisha,Sugarcane,Sandy,Compost,122,44,73,75,36.26,1035,5.82,2016
Haryana,Rice,Clay,Urea,65,21,166,135,29.44,5393,7.3,2006
West Bengal,Tea,Black,Urea,126,105,165,53,21.62,2133,5.75,2023
Maharashtra,Pulses,Loamy,DAP,67,107,148,272,23.38,5174,7.06,2002
Uttar Pradesh,Rice,Red Soil,Compost,53,56,130,131,21.97,3702,6.39,2019
Haryana,Groundnut,Red Soil,NPK,70,97,74,241,22.94,733,7.47,2012
Andhra Pradesh,Barley,Black,Urea,56,56,116,215,24.13,1352,6.08,2018
Maharashtra,Sugarcane,Clay,DAP,89,40,156,176,29.1,2494,7.1,2006
West Bengal,Rice,Red Soil,NPK,127,42,146,137,29.76,1455,6.09,2008
Madhya Pradesh,Sugarcane,Sandy,Compost,29,107,164,176,26.53,2803,7.28,2018
Uttar Pradesh,Coffee,Black,Urea,56,54,171,169,30.31,6753,7.68,2012
Bihar,Tea,Black,Urea,58,67,181,264,19.63,4816,5.82,2021
Maharashtra,Barley,Clay,DAP,23,105,109,71,19.76,1449,7.67,2007
West Bengal,Rice,Sandy,DAP,10,67,91,179,21.44,5635,6.98,2021
Rajasthan,Sugarcane,Sandy,Compost,126,66,152,80,28.36,80549,5.82,2017
West Bengal,Coffee,Clay,Urea,63,103,60,168,22.28,1897,6.57,2022
Rajasthan,Barley,Loamy,DAP,127,11,150,60,23.67,2602,5.9,2001
Rajasthan,Soybean,Sandy,Urea,12,31,92,269,26.01,2153,7.25,2017
Maharashtra,Wheat,Loamy,Compost,21,96,186,95,34.24,4671,7.4,2017
West Bengal,Soybean,Loamy,Urea,83,90,121,145,18.28,5371,5.76,2010
West Bengal,Pulses,Black,NPK,25,18,65,239,30.99,2811,6.77,2000
Rajasthan,Groundnut,Black,Urea,111,75,188,246,31.38,937,7.54,2013
Punjab,Cotton,Red Soil,Organic,126,105,174,241,33.97,4729,7.84,2015
Andhra Pradesh,Wheat,Black,Organic,17,90,154,279,36.66,4816,6.78,2010
Odisha,Coffee,Sandy,Compost,131,9,195,59,18.4,2089,7.88,2000
West Bengal,Groundnut,Sandy,Compost,101,59,166,217,21.08,829,6.84,2006
Bihar,Coffee,Loamy,Compost,99,6,170,177,35.72,815,6.49,2015
Bihar,Rice,Sandy,NPK,69,66,69,287,27.17,1073,7.62,2013
Uttar Pradesh,Pulses,Black,NPK,37,95,129,201,29.29,1984,6.73,2014
Haryana,Tea,Black,Urea,110,25,192,148,31.26,4597,6.68,2013
Bihar,Pulses,Black,DAP,50,106,147,221,31.58,3510,6.73,2020
Gujarat,Coffee,Clay,Organic,55,83,184,161,36.63,3841,7.62,2010
Maharashtra,Sugarcane,Sandy,Organic,44,25,32,109,37.94,2818,7.58,2015
Maharashtra,Pulses,Red Soil,Organic,91,14,158,239,32.4,2369,6.51,2018
Andhra Pradesh,Rice,Sandy,Urea,124,91,22,136,23.74,2331,6.33,2016
West Bengal,Tea,Sandy,Urea,56,62,110,194,35.6,1147,6.73,2005
West Bengal,Tea,Clay,Compost,19,43,170,114,18.98,1188,6.93,2010
Karnataka,Coffee,Sandy,DAP,65,9,33,296,22.62,1797,6.1,2016
Haryana,Jute,Loamy,Compost,39,69,117,272,35.95,1640,7.48,2008
Tamil Nadu,Coffee,Black,Urea,118,17,20,272,23.12,2336,6.72,2017
Madhya Pradesh,Maize,Black,NPK,14,89,26,283,22.41,4062,6.34,2016
Uttar Pradesh,Pulses,Clay,Compost,128,94,184,106,20.76,1187,5.77,2011
Karnataka,Soybean,Black,Urea,42,118,34,232,35.18,1763,6.1,2022
Madhya Pradesh,Maize,Loamy,Urea,127,113,103,155,28.0,3321,7.87,2021
Tamil Nadu,Maize,Clay,NPK,74,89,30,230,31.5,3268,6.26,2021
Gujarat,Coffee,Red Soil,NPK,20,57,93,233,22.78,2523,5.92,2004
Maharashtra,Rice,Black,NPK,94,86,149,275,33.16,2476,6.65,2010
Rajasthan,Wheat,Sandy,DAP,35,105,46,58,33.2,2087,6.27,2003
Andhra Pradesh,Soybean,Loamy,Urea,72,49,51,71,24.25,2242,5.59,2003
Uttar Pradesh,Coffee,Loamy,NPK,95,36,154,190,26.21,5678,6.31,2002
Andhra Pradesh,Tea,Black,DAP,68,40,110,138,22.19,1023,6.86,2023
Odisha,Coffee,Red Soil,Organic,36,85,57,225,37.53,1996,6.88,2022
Gujarat,Pulses,Sandy,Organic,107,103,112,67,30.91,1270,6.39,2024
Kerala,Maize,Red Soil,Organic,114,117,37,164,36.69,3102,6.62,2016
Odisha,Groundnut,Red Soil,Urea,108,64,50,253,24.07,2186,7.91,2006
Tamil Nadu,Jute,Black,DAP,138,15,108,217,33.64,1666,6.44,2003
Tamil Nadu,Groundnut,Sandy,DAP,64,67,56,194,33.32,1922,6.15,2022
Kerala,Jute,Black,Organic,15,25,155,192,31.83,3165,6.11,2012
Punjab,Maize,Black,Compost,104,56,114,155,37.31,1824,6.64,2011
Kerala,Jute,Loamy,Organic,111,59,133,64,25.87,2908,7.4,2000
Bihar,Sugarcane,Black,Urea,12,30,22,256,20.61,1811,6.01,2020
Tamil Nadu,Pulses,Clay,Organic,32,72,150,112,31.43,4760,7.27,2018
Karnataka,Rice,Sandy,Organic,62,38,109,296,32.59,4699,5.55,2020
Karnataka,Tea,Loamy,DAP,92,56,40,216,29.5,1661,6.55,2019
Rajasthan,Maize,Sandy,Organic,94,116,139,62,22.14,1984,7.44,2017
Maharashtra,Jute,Loamy,NPK,87,86,25,130,28.09,1179,6.35,2010
Bihar,Soybean,Clay,NPK,119,108,146,81,24.24,3529,6.91,2019
Kerala,Maize,Black,Compost,10,103,82,186,26.55,3499,6.01,2002
West Bengal,Barley,Loamy,Urea,60,109,175,89,30.9,1969,7.35,2016
Andhra Pradesh,Tea,Loamy,Urea,13,97,63,197,32.9,3149,5.63,2011
Bihar,Wheat,Loamy,DAP,122,56,193,267,22.64,1829,7.63,2009
Maharashtra,Tea,Clay,Urea,41,33,109,268,26.11,1923,6.0,2007
Maharashtra,Soybean,Sandy,Compost,43,42,118,262,23.38,3423,7.69,2014
Karnataka,Coffee,Clay,NPK,101,46,96,131,21.97,81895,6.38,2004
Andhra Pradesh,Barley,Loamy,DAP,104,25,182,126,33.67,2603,7.31,2003
Rajasthan,Wheat,Loamy,NPK,81,46,171,257,36.19,1432,6.3,2020
Gujarat,Cotton,Black,Compost,48,17,146,250,25.4,5370,7.76,2019
Punjab,Soybean,Clay,DAP,127,117,17,240,33.03,2075,5.82,2018
Karnataka,Groundnut,Clay,Organic,12,109,16,125,35.94,1948,5.95,2020
Kerala,Sugarcane,Red Soil,Urea,132,68,45,221,34.92,1893,6.73,2003
Odisha,Coffee,Sandy,Compost,59,21,27,87,21.66,85516,5.7,2014
Punjab,Tea,Red Soil,DAP,21,13,12,260,37.13,1075,5.99,2016
Gujarat,Cotton,Red Soil,NPK,63,45,37,237,25.53,4237,7.86,2011
Tamil Nadu,Barley,Sandy,DAP,66,5,79,120,24.78,1283,7.94,2002
Maharashtra,Jute,Black,Organic,121,6,181,298,19.25,1578,6.44,2009
Haryana,Coffee,Black,Compost,56,64,158,276,27.72,2034,7.81,2014
Uttar Pradesh,Cotton,Sandy,DAP,94,52,37,97,20.18,2091,6.86,2009
Kerala,Rice,Sandy,Compost,75,33,63,67,22.97,2193,6.17,2023
Rajasthan,Pulses,Clay,Compost,84,101,191,193,24.34,2900,7.26,2022
Maharashtra,Jute,Clay,NPK,112,14,74,232,34.18,28970,7.15,2017
Tamil Nadu,Tea,Clay,Urea,47,118,109,88,35.51,2067,7.97,2000
Gujarat,Pulses,Clay,Organic,59,62,30,245,24.05,869,6.16,2002
Odisha,Groundnut,Loamy,DAP,107,64,22,236,35.17,2777,7.18,2020
Rajasthan,Cotton,Loamy,Urea,91,108,66,138,35.14,2094,5.63,2011
Rajasthan,Barley,Black,NPK,39,25,58,273,33.29,1716,5.78,2000
Gujarat,Groundnut,Loamy,Urea,88,32,127,111,20.93,1541,5.51,2002
West Bengal,Pulses,Loamy,Compost,100,79,63,281,31.81,4672,8.0,2002
Punjab,Cotton,Clay,Compost,61,38,147,190,36.9,2032,7.51,2004
Madhya Pradesh,Groundnut,Clay,Organic,88,12,62,158,31.65,1319,7.47,2018
Kerala,Soybean,Sandy,DAP,39,63,53,130,24.63,2629,6.77,2024
Haryana,Coffee,Clay,DAP,115,90,56,290,28.01,3959,6.25,2000
Maharashtra,Maize,Sandy,NPK,60,76,62,278,30.91,1174,5.88,2003
Kerala,Sugarcane,Sandy,Organic,90,53,83,183,28.21,4205,6.21,2003
Kerala,Wheat,Loamy,DAP,38,83,55,260,20.4,991,6.44,2016
Punjab,Soybean,Clay,Compost,83,21,22,126,24.24,2309,7.39,2013
Karnataka,Groundnut,Loamy,Organic,26,64,174,298,34.05,3201,6.85,2017
Gujarat,Barley,Clay,Urea,93,91,111,237,35.23,1415,5.69,2000
Karnataka,Rice,Loamy,Organic,78,92,33,139,20.75,1079,5.55,2021
Odisha,Maize,Loamy,Organic,43,49,11,63,37.05,1655,5.76,2015
Punjab,Wheat,Loamy,DAP,15,87,90,144,24.58,4353,6.53,2002
Uttar Pradesh,Soybean,Black,NPK,62,73,109,103,31.25,2696,7.83,2022
Madhya Pradesh,Rice,Loamy,NPK,135,36,151,181,33.04,1015,7.09,2020
Gujarat,Rice,Red Soil,DAP,52,48,147,88,34.24,5375,7.5,2008
Gujarat,Rice,Red Soil,DAP,124,69,172,121,36.91,1558,6.67,2022
Bihar,Maize,Red Soil,DAP,120,91,162,74,24.26,2441,6.4,2003
Madhya Pradesh,Coffee,Sandy,NPK,89,105,140,126,35.17,3211,5.77,2020
Rajasthan,Cotton,Loamy,DAP,104,12,120,209,20.63,3122,7.69,2004
Tamil Nadu,Soybean,Red Soil,Urea,127,81,111,236,32.1,1650,7.46,2010
Odisha,Cotton,Sandy,Urea,17,76,26,279,32.84,2653,5.92,2020
Punjab,Tea,Red Soil,Compost,113,91,21,240,31.55,2550,6.78,2008
Gujarat,Maize,Clay,Urea,34,47,191,215,23.05,2237,6.72,2002
Gujarat,Rice,Black,Organic,105,5,125,169,35.46,5341,7.06,2005
Madhya Pradesh,Rice,Loamy,Compost,102,113,33,269,21.38,1413,7.87,2023
Uttar Pradesh,Jute,Black,Urea,70,55,38,102,19.07,1222,6.95,2010
Madhya Pradesh,Jute,Black,Organic,131,28,180,271,32.35,2703,6.85,2008
Kerala,Maize,Clay,Urea,60,103,162,244,27.51,85024,5.63,2014
Madhya Pradesh,Tea,Clay,Organic,30,28,131,205,34.98,3075,5.66,2022
Maharashtra,Sugarcane,Clay,DAP,14,21,197,180,25.67,1109,5.97,2002
Punjab,Barley,Sandy,Organic,101,9,99,286,21.37,2854,5.58,2000
Haryana,Sugarcane,Red Soil,DAP,70,24,74,295,34.73,794,7.36,2019
Rajasthan,Cotton,Loamy,Organic,31,25,93,275,28.98,1712,7.31,2021
Madhya Pradesh,Maize,Clay,Organic,79,108,128,257,21.78,1299,5.84,2018
Uttar Pradesh,Barley,Loamy,Urea,10,62,165,199,32.41,4174,7.59,2013
Rajasthan,Sugarcane,Loamy,Organic,21,35,25,145,28.22,1212,5.89,2016
Andhra Pradesh,Cotton,Loamy,Urea,99,114,184,215,30.09,2628,6.25,2021
Punjab,Groundnut,Clay,Organic,55,104,113,249,27.22,775,6.12,2013
Gujarat,Pulses,Clay,NPK,43,15,101,296,34.57,915,6.43,2016
Kerala,Coffee,Red Soil,Compost,87,56,195,121,34.59,1516,6.14,2024
Bihar,Barley,Clay,Urea,54,19,36,111,32.19,1013,6.72,2013
West Bengal,Wheat,Clay,Urea,82,87,190,234,20.11,2027,6.52,2011
Andhra Pradesh,Barley,Loamy,DAP,35,11,179,55,34.78,1906,7.97,2015
Rajasthan,Cotton,Red Soil,NPK,56,119,196,255,31.42,1152,5.64,2000
Rajasthan,Coffee,Black,DAP,130,32,184,81,31.94,2224,5.86,2012
Kerala,Rice,Clay,NPK,65,55,171,148,25.26,794,5.63,2005
Punjab,Coffee,Clay,NPK,103,111,174,187,35.59,5942,7.06,2016
Tamil Nadu,Cotton,Black,Organic,116,62,143,180,32.51,3924,5.64,2011
Maharashtra,Coffee,Loamy,DAP,72,9,144,236,20.25,1329,7.59,2022
Gujarat,Soybean,Red Soil,Compost,57,9,162,125,26.16,3278,6.78,2018
Andhra Pradesh,Rice,Loamy,NPK,70,98,42,226,35.73,2476,6.82,2005
Kerala,Cotton,Sandy,NPK,90,100,64,108,18.94,2485,6.9,2006
Madhya Pradesh,Sugarcane,Clay,Urea,35,12,195,80,37.23,1132,5.93,2000
Odisha,Pulses,Sandy,Organic,45,68,16,142,31.58,1111,5.99,2000
Haryana,Cotton,Clay,Compost,10,14,66,118,30.63,1264,6.3,2004
Tamil Nadu,Sugarcane,Sandy,NPK,17,42,135,239,23.41,2661,6.98,2005
Kerala,Wheat,Black,Urea,122,115,21,101,22.98,1539,6.03,2015
Gujarat,Soybean,Clay,DAP,108,100,25,138,36.84,56425,5.79,2024
Odisha,Coffee,Clay,NPK,56,116,52,176,23.97,3693,7.93,2015
Haryana,Groundnut,Sandy,Urea,136,96,126,218,33.51,1140,5.55,2013
Maharashtra,Coffee,Red Soil,DAP,65,85,144,80,25.86,2422,7.51,2000
Haryana,Jute,Sandy,Organic,23,99,120,262,20.79,1360,7.47,2012
West Bengal,Soybean,Clay,DAP,37,12,60,299,18.21,925,6.24,2019
Odisha,Rice,Clay,NPK,87,108,169,133,28.89,80196,5.84,2009
Madhya Pradesh,Pulses,Red Soil,Compost,139,29,84,280,37.52,1079,5.86,2023
Odisha,Soybean,Loamy,DAP,118,77,17,176,25.38,4038,7.24,2009
Tamil Nadu,Barley,Red Soil,Compost,23,70,54,199,25.14,1932,7.11,2008
Karnataka,Groundnut,Loamy,Compost,65,83,68,181,24.88,2023,7.46,2012
Tamil Nadu,Rice,Clay,DAP,124,54,141,62,28.41,3198,7.84,2002
Madhya Pradesh,Barley,Black,Organic,16,71,113,94,26.81,2904,7.23,2017
Andhra Pradesh,Rice,Black,DAP,12,53,166,176,35.6,2408,5.89,2019
Karnataka,Barley,Sandy,Urea,120,40,166,219,28.11,1633,6.11,2001
Maharashtra,Tea,Red Soil,Compost,116,72,107,163,28.16,2782,7.61,2016
Tamil Nadu,Pulses,Red Soil,NPK,27,82,165,226,20.77,3092,6.02,2018
Karnataka,Sugarcane,Black,Compost,47,109,88,69,37.65,875,5.68,2022
Rajasthan,Coffee,Loamy,NPK,124,45,133,293,23.0,2018,7.26,2012
Tamil Nadu,Soybean,Red Soil,Urea,24,93,181,254,19.47,631,6.51,2012
Karnataka,Wheat,Loamy,Urea,128,66,13,130,31.26,2598,7.8,2000
Punjab,Barley,Loamy,Urea,37,118,99,231,29.91,1101,7.13,2001
Andhra Pradesh,Tea,Loamy,DAP,48,14,113,213,26.3,51066,5.73,2000
Gujarat,Pulses,Loamy,Compost,26,25,146,274,26.44,1899,7.87,2023
Odisha,Wheat,Sandy,NPK,95,40,128,178,33.7,2472,6.15,2004
Karnataka,Jute,Sandy,Urea,135,16,142,192,21.91,4626,6.34,2023
Gujarat,Soybean,Black,Urea,53,95,65,254,34.41,1230,6.51,2002
Tamil Nadu,Tea,Sandy,NPK,34,108,105,66,30.97,1911,5.63,2006
Haryana,Wheat,Red Soil,Compost,22,6,187,201,26.38,2175,6.74,2023
Gujarat,Groundnut,Sandy,Compost,34,17,84,107,27.16,1018,5.81,2021
Rajasthan,Maize,Red Soil,NPK,77,57,152,121,23.13,3248,6.5,2012
Kerala,Coffee,Red Soil,Organic,76,36,41,291,33.04,4264,6.38,2022
Uttar Pradesh,Rice,Loamy,Compost,118,99,37,268,28.26,2269,7.43,2017
Uttar Pradesh,Rice,Black,NPK,120,20,31,158,24.42,4917,7.51,2023
Andhra Pradesh,Cotton,Loamy,NPK,120,36,26,72,29.92,2766,5.88,2020
West Bengal,Jute,Loamy,Urea,43,36,68,223,37.91,2168,6.42,2006
Karnataka,Groundnut,Sandy,NPK,120,102,99,121,26.71,3337,6.43,2000
Rajasthan,Coffee,Sandy,DAP,17,15,115,57,36.41,1888,5.88,2004
Odisha,Maize,Red Soil,Urea,122,14,194,108,24.9,1799,7.5,2016
Maharashtra,Cotton,Sandy,Urea,92,19,35,267,19.09,2734,7.27,2007
Madhya Pradesh,Wheat,Sandy,Compost,51,21,34,160,22.08,5485,5.98,2014
Kerala,Cotton,Clay,Organic,110,44,147,236,26.37,1215,6.42,2019
Andhra Pradesh,Barley,Red Soil,Compost,15,22,54,62,22.39,1001,5.76,2003
Madhya Pradesh,Groundnut,Red Soil,DAP,35,59,92,216,18.0,2438,7.07,2001
Bihar,Tea,Clay,Urea,73,77,20,278,36.3,687,5.8,2004
Uttar Pradesh,Tea,Red Soil,Urea,68,29,190,290,34.88,1613,7.96,2000
Haryana,Maize,Black,NPK,118,108,113,205,32.85,1958,7.45,2024
Punjab,Soybean,Black,Organic,130,63,77,266,21.36,1496,6.48,2004
Maharashtra,Coffee,Clay,Organic,42,82,104,238,20.41,4087,6.95,2005
Maharashtra,Tea,Sandy,NPK,30,93,165,65,19.35,3943,7.78,2001
Madhya Pradesh,Groundnut,Black,DAP,79,118,74,168,32.48,5249,6.89,2000
Punjab,Pulses,Clay,Organic,121,26,58,51,36.58,2045,5.94,2003
West Bengal,Rice,Black,Urea,13,34,184,295,26.61,2233,6.45,2006
West Bengal,Pulses,Loamy,DAP,103,88,61,259,20.38,1539,7.61,2021
